eng_TAMsimp,TOTAL,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,1544,563,286,59,311,145,63,68,39,5,4,1
PAST,592,204,90,171,18,78,11,5,14,0,1,0
PRES PART,246,73,51,51,21,32,10,0,5,2,1,0
PRES PROG,185,35,21,16,45,19,16,15,18,0,0,0
PRES ~ PRES PART,144,59,25,13,16,9,9,6,7,0,0,0
FUT,132,33,12,6,26,41,2,10,2,0,0,0
PAST PROG,124,19,12,66,0,21,1,1,4,0,0,0
PRES ~ PRES PROG,123,37,8,7,23,18,10,10,9,0,0,1
PAST ~ PAST PROG,102,22,11,53,1,12,2,0,1,0,0,0
PAST ~ PRES PART,94,42,12,30,1,7,1,0,1,0,0,0
PAST ~ PRES,61,24,11,2,7,11,4,1,1,0,0,0
FUT ~ PRES,53,10,7,6,4,14,6,4,2,0,0,0
FUT ~ MOD shall,51,11,9,7,12,4,8,0,0,0,0,0
PRES ~ PRES PERF,47,11,9,1,8,8,2,4,4,0,0,0
PRES PERF,43,18,4,3,5,5,3,3,2,0,0,0
TO INF,43,10,5,4,10,8,3,0,3,0,0,0
PAST PERF,43,7,1,24,0,8,0,0,3,0,0,0
PAST PROG ~ PRES PART,39,9,5,22,1,1,0,0,1,0,0,0
FUT ~ FUT going-to,35,9,2,2,5,12,0,3,1,0,0,1
PAST ~ PRES PERF,31,13,1,0,2,7,4,2,1,0,1,0
FUT ~ PRES PROG,31,9,3,0,6,6,2,4,1,0,0,0
PRES PART ~ PRES PROG,30,6,2,4,6,4,2,2,3,0,1,0
PAST ~ PAST PERF,26,7,1,12,0,4,0,0,2,0,0,0
PAST ~ TO INF,16,2,6,3,1,4,0,0,0,0,0,0
FUT ~ TO INF,12,2,1,0,2,1,6,0,0,0,0,0
MOD may ~ PRES,12,3,1,3,4,0,0,0,0,1,0,0
MOD could ~ PAST,11,5,2,3,0,1,0,0,0,0,0,0
FUT going-to ~ PRES PROG,11,2,0,1,2,5,0,1,0,0,0,0
FUT going-to ~ PRES,11,3,0,1,4,3,0,0,0,0,0,0
PRES ~ TO INF,10,4,3,0,2,0,0,0,0,0,0,1
FUT ~ PRES PART,9,0,4,0,4,0,1,0,0,0,0,0
PRES PART ~ TO INF,9,2,2,3,0,2,0,0,0,0,0,0
IMPV ~ PRES,8,4,0,2,0,0,0,1,1,0,0,0
MOD can ~ PRES,7,3,0,1,2,1,0,0,0,0,0,0
MOD could,7,3,0,1,2,1,0,0,0,0,0,0
MOD is to ~ PRES,7,0,1,0,1,0,3,2,0,0,0,0
PRES PERF ~ PRES PROG,6,2,1,0,1,1,0,1,0,0,0,0
IMPV,5,1,0,0,0,1,0,1,2,0,0,0
MOD shall ~ PRES,5,2,0,0,2,0,0,1,0,0,0,0
PAST PERF ~ PAST PROG,5,0,1,1,0,3,0,0,0,0,0,0
MOD can,5,3,1,0,0,0,0,1,0,0,0,0
MOD should,5,0,0,2,1,1,0,0,1,0,0,0
FUT going-to ~ MOD shall,4,0,1,0,0,0,0,3,0,0,0,0
MOD would,4,2,0,0,1,1,0,0,0,0,0,0
MOD would ~ PRES,4,1,0,0,0,0,1,0,2,0,0,0
MOD would ~ PAST,4,1,1,1,0,0,0,0,1,0,0,0
PAST ~ PRES PROG,4,0,0,0,2,1,1,0,0,0,0,0
MOD is to ~ MOD shall,4,3,0,0,0,0,0,1,0,0,0,0
PAST ~ PAST PERF PROG,4,2,0,2,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,4,2,0,1,0,0,1,0,0,0,0,0
PRES PERF PROG ~ PRES PROG,4,1,0,0,0,2,0,1,0,0,0,0
FUT ~ MOD must,4,0,1,1,1,0,0,1,0,0,0,0
IMPV ~ MOD may,4,0,1,3,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,3,1,0,0,0,0,2,0,0,0,0,0
FUT ~ MOD is to,3,0,0,0,2,0,0,1,0,0,0,0
MOD should ~ TO INF,3,0,1,1,1,0,0,0,0,0,0,0
PRES ~ PRES PERF PROG,3,1,0,0,1,0,0,1,0,0,0,0
MOD should ~ MOD would,3,0,1,1,0,0,1,0,0,0,0,0
MOD shall ~ TO INF,3,0,0,0,1,0,2,0,0,0,0,0
PRES PERF PROG,3,0,0,0,2,1,0,0,0,0,0,0
MOD may,3,1,0,0,0,0,0,0,1,1,0,0
MOD can ~ TO INF,3,1,0,0,1,1,0,0,0,0,0,0
PRES PART ~ PRES PERF,3,1,0,0,0,1,0,1,0,0,0,0
MOD is to,3,1,0,0,0,0,0,0,1,1,0,0
MOD was to ~ PAST,3,2,0,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,3,0,0,0,3,0,0,0,0,0,0,0
MOD let ~ PRES,3,1,1,0,1,0,0,0,0,0,0,0
MOD was to ~ PAST PROG,2,1,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES PART,2,1,0,0,0,0,1,0,0,0,0,0
PAST PERF ~ PAST PERF PROG,2,0,0,1,0,1,0,0,0,0,0,0
