,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,6.35,5.33,-59.8,17.68,-5.45,-0.32,0.96,-1.6,0.0,0.13,0.0
PAST,0.9,0.02,21.99,-20.51,0.26,-3.31,-5.39,-0.76,-0.82,0.0,0.0
PRES PART,-0.28,1.78,2.17,-1.99,0.12,0.0,-4.02,-0.45,0.65,0.37,0.0
PRES PROG,-4.03,-0.76,-1.73,3.93,-0.37,2.06,2.34,4.5,0.0,0.0,0.0
PRES ~ PRES PART,1.75,0.32,-1.26,-0.41,-1.7,0.53,0.08,0.47,0.0,0.0,0.0
FUT,-0.98,-1.32,-3.44,1.25,8.1,-0.89,1.49,-0.49,0.0,0.0,0.0
PAST PROG,-4.49,-1.01,24.03,-7.83,0.89,-1.36,-1.04,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-0.11,-2.33,-2.58,0.84,0.31,1.17,1.6,1.69,0.0,0.0,0.94
PAST ~ PAST PROG,-1.51,-0.58,18.66,-5.15,0.0,-0.49,-1.48,-0.58,0.0,0.0,0.0
PAST ~ PRES PART,2.02,-0.18,4.74,-4.81,-0.81,-0.89,-1.3,-0.43,0.0,0.0,0.0
PAST ~ PRES,0.67,0.32,-2.04,-0.15,0.76,0.47,-0.14,-0.14,0.0,0.0,0.0
FUT ~ PRES,-1.28,-0.07,-0.16,-0.64,2.3,1.56,0.85,0.16,0.0,0.0,0.0
FUT ~ MOD shall,-0.88,0.25,0.0,1.2,-0.4,2.83,-0.58,-0.38,0.0,0.0,0.0
PRES ~ PRES PERF,-0.57,0.38,-1.97,0.28,0.43,0.0,1.0,1.16,0.0,0.0,0.0
PRES PERF,0.73,-0.41,-0.71,-0.08,0.0,0.36,0.65,0.18,0.0,0.0,0.0
TO INF,-0.6,-0.17,-0.41,0.94,0.62,0.36,-0.39,0.77,0.0,0.0,0.0
PAST PERF,-1.5,-1.79,9.54,-2.53,0.62,-0.58,-0.39,0.77,0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.52,-0.08,8.9,-1.45,-1.09,-0.38,-0.4,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,-0.23,-0.81,-0.65,-0.0,3.17,-0.39,0.84,0.0,0.0,0.0,1.48
PAST ~ PRES PERF,0.61,-1.12,-1.76,-0.52,1.01,1.35,0.48,0.0,0.0,1.18,0.0
FUT ~ PRES PROG,-0.07,-0.21,-1.76,0.37,0.57,0.4,1.55,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,-0.63,-0.52,0.0,0.53,0.11,0.42,0.5,1.12,0.0,1.2,0.0
PAST ~ PAST PERF,-0.17,-0.78,3.95,-1.39,0.25,-0.2,-0.21,0.67,0.0,0.0,0.0
PAST ~ TO INF,-0.95,1.61,0.14,-0.15,0.89,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,-0.44,0.0,-0.63,0.17,0.0,5.31,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-0.12,0.0,0.4,1.13,-0.42,0.0,0.0,0.0,1.37,0.0,0.0
MOD could ~ PAST,0.47,0.17,0.68,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PROG,-0.28,-0.41,0.0,0.18,2.15,0.0,0.46,0.0,0.0,0.0,0.0
FUT going-to ~ PRES,0.0,-0.41,0.0,1.26,0.83,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.13,0.74,-0.43,0.19,-0.21,0.0,0.0,0.0,0.0,0.0,2.02
FUT ~ PRES PART,-1.19,1.46,-0.43,1.58,-0.21,0.48,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.14,0.2,0.88,-0.21,0.51,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.56,-0.21,0.48,-0.21,-0.22,0.0,0.58,0.62,0.0,0.0,0.0
MOD can ~ PRES,0.16,-0.22,0.0,0.6,0.22,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,0.16,-0.22,0.0,0.6,0.22,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,-0.98,0.0,-0.22,-0.0,0.0,2.59,1.58,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,-0.0,-0.22,0.23,0.26,0.0,0.68,0.0,0.0,0.0,0.0
IMPV,0.0,0.0,0.0,0.0,0.31,0.0,0.76,1.99,0.0,0.0,0.0
MOD shall ~ PRES,0.18,0.0,0.0,0.84,0.0,0.0,0.76,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PROG,-0.48,0.25,0.26,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.73,0.25,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0
MOD should,-0.48,0.0,0.8,0.28,0.31,0.0,0.0,0.81,0.0,0.0,0.0
FUT going-to ~ MOD shall,-0.5,0.32,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0
MOD would,0.22,0.0,0.0,0.35,0.38,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.0,0.0,0.0,0.0,0.0,0.78,0.0,2.2,0.0,0.0,0.0
MOD would ~ PAST,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
PAST ~ PRES PROG,-0.5,0.0,0.0,1.02,0.38,0.78,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,1.01,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,0.22,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.22,0.0,0.33,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,0.0,0.0,0.0,0.0,1.11,0.0,0.84,0.0,0.0,0.0,0.0
FUT ~ MOD must,-0.5,0.32,0.33,0.35,0.0,0.0,0.84,0.0,0.0,0.0,0.0
IMPV ~ MOD may,-0.5,0.32,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,-0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,-0.25,0.0,0.0,1.28,0.0,0.0,0.96,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.25,0.41,0.42,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF PROG,-0.0,0.0,0.0,0.44,0.0,0.0,0.96,0.0,0.0,0.0,0.0
MOD should ~ MOD would,-0.25,0.41,0.42,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,-0.25,0.0,0.0,0.44,0.0,2.25,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,-0.25,0.0,0.0,1.28,0.48,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.97,0.0,0.0
MOD can ~ TO INF,-0.0,0.0,0.0,0.44,0.48,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0,0.0,0.0,0.48,0.0,0.96,0.0,0.0,0.0,0.0
MOD is to,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.97,0.0,0.0
MOD was to ~ PAST,0.62,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,-0.25,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.41,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST PROG,0.27,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PART,0.27,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,0.0,0.57,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,0.0,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,0.57,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.55,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.27,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0
PRES ~ PRES PROG keep,0.27,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.0,0.55,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,0.55,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.27,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,2.14,0.0,0.0
PAST ~ VB,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0
PRES PERF ~ TO INF,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PROG,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ VB,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0
FUT ~ PAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0
FUT ~ MOD would,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0
MOD must,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0
MOD was to,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0
TO INF ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0
