eng_TAMsimp,0.0,1.0
PRES,-0.12,0.12
PAST,0.1,-0.1
PRES PART,0.08,-0.08
PRES PROG,0.06,-0.06
PRES ~ PRES PART,0.04,-0.04
FUT,-0.22,0.22
PRES ~ PRES PROG,-0.07,0.07
PAST PROG,0.13,-0.13
PAST ~ PAST PROG,0.24,-0.24
PAST ~ PRES PART,0.09,-0.09
PAST ~ PRES,-0.13,0.13
FUT ~ PRES,-0.16,0.16
PRES ~ PRES PERF,0.07,-0.07
FUT ~ MOD shall,0.2,-0.2
PRES PERF,0.14,-0.14
PAST PERF,0.04,-0.04
TO INF,0.02,-0.02
PAST PROG ~ PRES PART,0.21,-0.21
FUT ~ FUT going-to,-0.45,0.45
PAST ~ PRES PERF,-0.03,0.03
FUT ~ PRES PROG,-0.06,0.06
PRES PART ~ PRES PROG,-0.01,0.01
PAST ~ PAST PERF,0.25,-0.25
PAST ~ TO INF,0.11,-0.11
FUT ~ TO INF,0.11,-0.11
MOD may ~ PRES,0.28,-0.28
FUT going-to ~ PRES,-0.19,0.19
FUT going-to ~ PRES PROG,-0.37,0.37
MOD could ~ PAST,-0.0,0.0
FUT ~ PRES PART,-0.08,0.08
PRES ~ TO INF,0.36,-0.36
MOD is to ~ PRES,-0.02,0.02
PRES PART ~ TO INF,-0.27,0.27
IMPV ~ PRES,-0.21,0.21
MOD can ~ PRES,0.36,-0.36
PRES PERF ~ PRES PROG,0.19,-0.19
MOD could,0.03,-0.03
MOD should,-0.04,0.04
IMPV,0.16,-0.16
MOD shall ~ PRES,-0.04,0.04
MOD can,0.16,-0.16
MOD would,0.11,-0.11
MOD would ~ PAST,0.36,-0.36
PAST ~ PAST PERF PROG,0.36,-0.36
IMPV ~ MOD may,0.36,-0.36
PAST ~ PRES PROG,0.11,-0.11
PAST PROG ~ PRES,0.36,-0.36
FUT going-to ~ MOD shall,0.11,-0.11
MOD is to ~ MOD shall,0.11,-0.11
PAST PERF ~ PAST PROG,0.11,-0.11
MOD would ~ PRES,-0.14,0.14
FUT ~ MOD must,-0.39,0.39
MOD shall ~ TO INF,0.03,-0.03
FUT ~ MOD is to,0.03,-0.03
MOD let ~ PRES,-0.31,0.31
MOD was to ~ PAST,0.03,-0.03
PRES PART ~ PRES PERF,0.03,-0.03
MOD is to ~ PRES PART,0.36,-0.36
PRES PERF PROG ~ PRES PROG,0.03,-0.03
MOD is to,0.03,-0.03
MOD may,0.36,-0.36
MOD can ~ MOD shall,0.36,-0.36
MOD can ~ TO INF,0.36,-0.36
PAST PERF ~ PAST PERF PROG,0.36,-0.36
PRES ~ PRES PROG keep,-0.14,0.14
FUT PROG ~ PRES PART,-0.14,0.14
PRES ~ PRES PERF PROG,-0.64,0.64
PAST PERF ~ PRES PART,0.36,-0.36
PAST PERF ~ PRES,0.36,-0.36
FUT ~ MOD may,0.36,-0.36
PRES PERF PROG,0.36,-0.36
MOD was to ~ TO INF,0.36,-0.36
FUT ~ PAST PROG,-0.14,0.14
MOD should ~ TO INF,-0.14,0.14
MOD must ~ MOD shall,-0.64,0.64
MOD can ~ PRES PART,0.36,-0.36
MOD was to ~ PAST PROG,0.36,-0.36
MOD must ~ PRES,0.36,-0.36
MOD may ~ TO INF,-0.14,0.14
MOD may ~ PAST,-0.14,0.14
MOD let,-0.14,0.14
MOD is to ~ TO INF,0.36,-0.36
MOD should ~ MOD would,-0.14,0.14
PRES PROG ~ PRES PROG keep,0.36,-0.36
PRES PROG ~ TO INF,0.36,-0.36
MOD could ~ PRES PART,-0.64,0.64
MOD might,-0.64,0.64
MOD is to ~ MOD would,0.36,-0.36
MOD can ~ MOD may,0.36,-0.36
FUT going-to ~ PRES PART,0.36,-0.36
FUT PROG ~ PRES PROG,0.36,-0.36
IMPV ~ PRES PROG,-0.64,0.64
PRES PART ~ PRES PERF PROG,0.36,-0.36
MOD may ~ PRES PART,0.36,-0.36
IMPV ~ PAST,-0.64,0.64
FUT ~ FUT PROG,0.36,-0.36
HAB used to ~ PAST,0.36,-0.36
FUT ~ VB,-0.64,0.64
PAST ~ VB,0.36,-0.36
MOD was to ~ PRES PART,-0.64,0.64
MOD must,0.36,-0.36
MOD should ~ PRES,0.36,-0.36
MOD was to,0.36,-0.36
MOD that VB ~ PRES PART,0.36,-0.36
FUT ~ PAST,0.36,-0.36
MOD would ~ PRES PERF,0.36,-0.36
MOD would ~ PRES PROG,-0.64,0.64
FUT ~ MOD would,0.36,-0.36
MOD should ~ PRES PERF,0.36,-0.36
PAST PERF PROG ~ PAST PROG,0.36,-0.36
MOD should ~ PAST,0.36,-0.36
FUT ~ MOD can,0.36,-0.36
MOD should ~ MOD was to,0.36,-0.36
MOD shall ~ PRES PERF,0.36,-0.36
FUT PROG ~ MOD is to,0.36,-0.36
MOD shall ~ PAST,0.36,-0.36
PAST PROG ~ TO INF,0.36,-0.36
MOD shall,0.36,-0.36
MOD need not ~ TO INF,0.36,-0.36
MOD must ~ PRES PROG,-0.64,0.64
MOD shall ~ PRES PART,-0.64,0.64
