eng_TAMsimp,0.0,1.0
PRES,0.77,1.3
PAST,0.37,2.7
PRES PART,0.4,2.47
PRES PROG,0.44,2.26
PRES ~ PRES PART,0.47,2.13
FUT,1.36,0.73
PRES ~ PRES PROG,0.76,1.31
PAST PROG,0.3,3.29
PAST ~ PAST PROG,0.14,7.08
PAST ~ PRES PART,0.37,2.7
PAST ~ PRES,0.97,1.03
FUT ~ PRES,1.08,0.93
PRES ~ PRES PERF,0.41,2.43
FUT ~ MOD shall,0.2,5.0
PRES PERF,0.28,3.56
PAST PERF,0.46,2.15
TO INF,0.52,1.93
PAST PROG ~ PRES PART,0.18,5.5
FUT ~ FUT going-to,4.14,0.24
PAST ~ PRES PERF,0.63,1.58
FUT ~ PRES PROG,0.72,1.38
PRES PART ~ PRES PROG,0.58,1.73
PAST ~ PAST PERF,0.13,7.67
PAST ~ TO INF,0.33,3.0
FUT ~ TO INF,0.33,3.0
MOD may ~ PRES,0.09,11.0
FUT going-to ~ PRES,1.2,0.83
FUT going-to ~ PRES PROG,2.67,0.38
MOD could ~ PAST,0.57,1.75
FUT ~ PRES PART,0.8,1.25
PRES ~ TO INF,0.0,inf
MOD is to ~ PRES,0.6,1.67
PRES PART ~ TO INF,1.67,0.6
IMPV ~ PRES,1.33,0.75
MOD can ~ PRES,0.0,inf
PRES PERF ~ PRES PROG,0.2,5.0
MOD could,0.5,2.0
MOD should,0.67,1.5
IMPV,0.25,4.0
MOD shall ~ PRES,0.67,1.5
MOD can,0.25,4.0
MOD would,0.33,3.0
MOD would ~ PAST,0.0,inf
PAST ~ PAST PERF PROG,0.0,inf
IMPV ~ MOD may,0.0,inf
PAST ~ PRES PROG,0.33,3.0
PAST PROG ~ PRES,0.0,inf
FUT going-to ~ MOD shall,0.33,3.0
MOD is to ~ MOD shall,0.33,3.0
PAST PERF ~ PAST PROG,0.33,3.0
MOD would ~ PRES,1.0,1.0
FUT ~ MOD must,3.0,0.33
MOD shall ~ TO INF,0.5,2.0
FUT ~ MOD is to,0.5,2.0
MOD let ~ PRES,2.0,0.5
MOD was to ~ PAST,0.5,2.0
PRES PART ~ PRES PERF,0.5,2.0
MOD is to ~ PRES PART,0.0,inf
PRES PERF PROG ~ PRES PROG,0.5,2.0
MOD is to,0.5,2.0
MOD may,0.0,inf
MOD can ~ MOD shall,0.0,inf
MOD can ~ TO INF,0.0,inf
PAST PERF ~ PAST PERF PROG,0.0,inf
PRES ~ PRES PROG keep,1.0,1.0
FUT PROG ~ PRES PART,1.0,1.0
PRES ~ PRES PERF PROG,inf,0.0
PAST PERF ~ PRES PART,0.0,inf
PAST PERF ~ PRES,0.0,inf
FUT ~ MOD may,0.0,inf
PRES PERF PROG,0.0,inf
MOD was to ~ TO INF,0.0,inf
FUT ~ PAST PROG,1.0,1.0
MOD should ~ TO INF,1.0,1.0
MOD must ~ MOD shall,inf,0.0
MOD can ~ PRES PART,0.0,inf
MOD was to ~ PAST PROG,0.0,inf
MOD must ~ PRES,0.0,inf
MOD may ~ TO INF,1.0,1.0
MOD may ~ PAST,1.0,1.0
MOD let,1.0,1.0
MOD is to ~ TO INF,0.0,inf
MOD should ~ MOD would,1.0,1.0
PRES PROG ~ PRES PROG keep,0.0,inf
PRES PROG ~ TO INF,0.0,inf
MOD could ~ PRES PART,inf,0.0
MOD might,inf,0.0
MOD is to ~ MOD would,0.0,inf
MOD can ~ MOD may,0.0,inf
FUT going-to ~ PRES PART,0.0,inf
FUT PROG ~ PRES PROG,0.0,inf
IMPV ~ PRES PROG,inf,0.0
PRES PART ~ PRES PERF PROG,0.0,inf
MOD may ~ PRES PART,0.0,inf
IMPV ~ PAST,inf,0.0
FUT ~ FUT PROG,0.0,inf
HAB used to ~ PAST,0.0,inf
FUT ~ VB,inf,0.0
PAST ~ VB,0.0,inf
MOD was to ~ PRES PART,inf,0.0
MOD must,0.0,inf
MOD should ~ PRES,0.0,inf
MOD was to,0.0,inf
MOD that VB ~ PRES PART,0.0,inf
FUT ~ PAST,0.0,inf
MOD would ~ PRES PERF,0.0,inf
MOD would ~ PRES PROG,inf,0.0
FUT ~ MOD would,0.0,inf
MOD should ~ PRES PERF,0.0,inf
PAST PERF PROG ~ PAST PROG,0.0,inf
MOD should ~ PAST,0.0,inf
FUT ~ MOD can,0.0,inf
MOD should ~ MOD was to,0.0,inf
MOD shall ~ PRES PERF,0.0,inf
FUT PROG ~ MOD is to,0.0,inf
MOD shall ~ PAST,0.0,inf
PAST PROG ~ TO INF,0.0,inf
MOD shall,0.0,inf
MOD need not ~ TO INF,0.0,inf
MOD must ~ PRES PROG,inf,0.0
MOD shall ~ PRES PART,inf,0.0
