,prose,prophetic,poetry,instruction,list
PRES,-91.5,0.94,109.51,4.45,-8.84
PAST,29.94,-10.73,-20.39,-2.67,15.21
PRES PART,2.95,-2.41,-0.5,0.23,0.0
PRES PROG,0.95,0.93,-14.16,4.74,-1.1
PRES ~ PRES PART,-2.09,0.94,0.35,0.93,-0.28
FUT,-3.19,16.22,-4.45,-2.51,-0.76
PRES ~ PRES PROG,0.84,1.04,-5.94,0.58,-0.14
PAST PROG,15.86,-2.29,-11.43,-1.62,-0.14
PAST ~ PAST PROG,15.72,-2.22,-9.2,-2.76,-0.58
PAST ~ PRES PART,4.69,-0.37,-6.07,-2.37,2.9
PAST ~ PRES,-1.74,0.11,2.09,-0.1,0.53
FUT ~ PRES,-0.78,2.64,-1.47,0.4,0.0
FUT ~ MOD shall,2.6,0.36,-4.44,-1.12,0.0
PRES ~ PRES PERF,-1.25,0.2,1.82,-0.11,0.0
PAST PERF,11.31,-4.16,-2.59,-0.95,0.0
TO INF,-0.78,3.47,-0.92,-0.95,0.27
PRES PERF,0.67,0.5,-0.92,-0.95,0.0
PAST PROG ~ PRES PART,6.11,-1.28,-2.22,-0.75,0.0
FUT ~ FUT going-to,0.51,1.57,-3.05,-0.77,0.0
PAST ~ PRES PERF,0.23,0.26,-0.31,-0.14,0.0
FUT ~ PRES PROG,-1.56,5.64,-1.7,-0.14,0.0
PRES PART ~ PRES PROG,2.33,-0.8,-1.5,0.36,0.0
PAST ~ PAST PERF,4.62,-1.81,-2.04,0.0,0.43
PAST ~ TO INF,3.35,-1.29,-1.26,-0.21,0.6
FUT ~ TO INF,-0.6,2.06,-0.15,0.0,0.0
MOD may ~ PRES,0.0,0.0,0.32,0.26,0.0
MOD could ~ PAST,-0.0,-1.39,-0.63,0.0,7.96
FUT going-to ~ PRES,0.26,0.0,-0.63,0.81,0.0
FUT going-to ~ PRES PROG,-0.43,1.02,-0.63,0.81,0.0
PRES ~ TO INF,-0.28,-0.13,1.59,0.0,0.0
FUT ~ PRES PART,-1.06,1.62,0.17,0.0,0.0
