,SBH,LBH
PRES,1.73,0.58
PAST,0.45,2.23
PRES PART,0.8,1.25
PRES PROG,2.24,0.45
PAST PROG,1.64,0.61
PAST ~ PAST PROG,0.89,1.12
PRES ~ PRES PROG,2.39,0.42
PAST ~ PRES PART,0.64,1.56
PRES ~ PRES PART,1.49,0.67
PAST PERF,0.42,2.37
FUT,5.83,0.17
FUT ~ MOD shall,1.38,0.72
PAST PROG ~ PRES PART,1.66,0.6
PAST ~ PRES,2.0,0.5
PRES PART ~ PRES PROG,1.6,0.63
PRES PERF,1.6,0.63
PAST ~ PAST PERF,0.37,2.7
FUT ~ PRES,2.02,0.49
FUT ~ FUT going-to,1.59,0.63
PAST ~ PRES PERF,1.38,0.72
PRES ~ PRES PERF,0.95,1.05
PAST ~ TO INF,1.27,0.79
TO INF,0.47,2.11
MOD could ~ PAST,0.38,2.64
FUT going-to ~ PRES,2.23,0.45
FUT ~ PRES PROG,inf,0.0
MOD may ~ PRES,0.63,1.58
MOD can ~ PRES,1.59,0.63
MOD could,0.32,3.16
FUT going-to ~ PRES PROG,inf,0.0
PAST ~ PAST PERF PROG,0.32,3.15
PRES PART ~ TO INF,0.32,3.15
MOD would ~ PRES,0.95,1.05
MOD would ~ PAST,0.0,inf
MOD should,0.95,1.05
IMPV ~ PRES,0.32,3.15
MOD is to ~ MOD shall,0.95,1.05
MOD is to ~ PRES,inf,0.0
FUT ~ MOD is to,0.64,1.57
IMPV ~ MOD may,inf,0.0
IMPV,0.64,1.57
PAST PERF ~ PAST PROG,0.16,6.31
FUT ~ TO INF,0.64,1.57
MOD would,0.64,1.57
MOD was to ~ PAST,0.64,1.57
PRES PERF PROG ~ PRES PROG,0.64,1.57
MOD should ~ TO INF,0.0,inf
PRES ~ TO INF,0.64,1.57
MOD was to ~ TO INF,0.0,inf
MOD was to ~ PAST PROG,inf,0.0
FUT PROG ~ PRES PART,inf,0.0
MOD can ~ PRES PART,inf,0.0
PAST PERF ~ PRES PART,inf,0.0
MOD let ~ PRES,inf,0.0
MOD is to ~ TO INF,inf,0.0
PAST PERF PROG ~ PAST PROG,inf,0.0
MOD may,inf,0.0
PRES PART ~ PRES PERF,inf,0.0
MOD must ~ PRES,inf,0.0
PAST PERF ~ PAST PERF PROG,inf,0.0
FUT ~ MOD must,inf,0.0
PRES PERF PROG,0.32,3.15
FUT ~ PRES PART,inf,0.0
MOD shall ~ PRES,0.32,3.15
PRES PERF ~ PRES PROG,inf,0.0
MOD must ~ MOD shall,0.32,3.15
IMPV ~ PAST,0.0,inf
PRES PERF ~ TO INF,inf,0.0
PRES PERF ~ PRES PERF PROG,inf,0.0
FUT going-to ~ PRES PART,inf,0.0
PRES PART ~ PRES PERF PROG,inf,0.0
HAB used to ~ PAST PERF,0.0,inf
HAB used to ~ PAST,inf,0.0
IMPV ~ PRES PROG,inf,0.0
FUT going-to ~ MOD shall,inf,0.0
FUT ~ PAST,inf,0.0
PRES ~ PRES PERF PROG,inf,0.0
FUT ~ FUT PROG,0.0,inf
MOD is to ~ PRES PART,inf,0.0
MOD can,inf,0.0
PAST PROG ~ TO INF,inf,0.0
MOD let,inf,0.0
MOD let ~ TO INF,inf,0.0
MOD may ~ PAST,inf,0.0
MOD might,0.0,inf
MOD must,inf,0.0
MOD must ~ PRES PROG,inf,0.0
MOD shall,inf,0.0
MOD shall ~ PAST,inf,0.0
MOD shall ~ TO INF,inf,0.0
FUT PROG ~ MOD is to,inf,0.0
MOD should ~ MOD was to,0.0,inf
MOD should ~ MOD would,0.0,inf
MOD should ~ PAST,inf,0.0
MOD that VB ~ PRES PART,0.0,inf
MOD was to,0.0,inf
MOD was to ~ PRES PART,0.0,inf
MOD is to ~ MOD would,0.0,inf
MOD would ~ PRES PROG,inf,0.0
MOD is to,inf,0.0
MOD could ~ PRES PART,inf,0.0
PAST PERF ~ PRES,inf,0.0
PAST PROG ~ PRES,inf,0.0
MOD can ~ MOD shall,inf,0.0
TO INF ~ VB,0.0,inf
