period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,prose,instruction,prose,prose,poetry,instruction,prose,list,list,list,prose,instruction,instruction,poetry,list,list,list,prose,list
domain2,Q,N,N,Q,Q,?,Q,D,D,N,N,?,?,N,?,Q,Q,Q,D,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,
PRES,0.12,-0.25,-0.11,0.16,0.04,0.03,0.02,0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.01,0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0
PAST,-0.29,0.2,0.16,-0.09,-0.06,0.01,-0.01,-0.01,0.01,0.02,0.02,0.03,0.02,0.01,-0.01,-0.0,-0.0,0.01,0.0,-0.0,0.0
PRES PART,-0.05,0.02,-0.04,0.05,0.01,-0.02,-0.02,0.03,0.01,0.01,-0.01,-0.01,0.0,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
PAST PROG,-0.31,0.51,0.01,-0.1,-0.07,0.02,-0.02,-0.01,-0.01,-0.01,0.0,-0.01,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,0.18,-0.17,-0.11,0.09,0.06,-0.02,0.01,-0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.25,0.4,0.11,-0.1,-0.07,-0.01,-0.02,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.3,0.25,0.15,-0.1,-0.06,0.01,-0.0,-0.01,0.02,0.01,0.05,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
PRES PROG,0.39,-0.25,-0.12,-0.03,0.12,-0.02,-0.02,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,0.4,-0.24,-0.12,0.04,0.02,-0.02,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.02,-0.0,-0.0,-0.0
PAST PERF,-0.27,0.24,0.31,-0.1,-0.09,-0.02,-0.02,-0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT,0.59,-0.24,-0.12,-0.07,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.48,-0.24,-0.12,-0.1,0.1,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,-0.31,0.58,0.04,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,-0.03,-0.14,-0.05,-0.03,-0.05,-0.02,0.23,-0.01,0.06,0.02,0.02,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,0.5,-0.24,-0.12,-0.1,0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0
