eng_TAMsimp,TOTAL,"('prose', 'Q')","('prophetic', 'Q')","('prose', 'N')","('poetry', 'Q')","('instruction', 'Q')","('prophetic', 'N')","('prophetic', '?')","('list', 'N')","('poetry', '?')","('prose', 'D')","('prose', '?')","('list', '?')","('instruction', 'D')","('prophetic', 'D')","('instruction', '?')","('list', 'Q')","('instruction', 'N')","('list', 'D')"
PRES ~ PRES PART,183,57,60,7,24,15,3,4,1,8,1,0,0,1,0,2,0,0,0
PAST ~ PAST PROG,103,10,7,72,0,0,10,0,0,0,1,2,0,0,1,0,0,0,0
PAST ~ PRES PART,94,5,9,52,2,0,13,2,5,0,2,2,1,0,0,0,0,0,1
PRES ~ PRES PROG,88,45,29,0,4,7,1,1,0,0,0,0,0,0,0,0,1,0,0
PAST ~ PRES,61,10,14,5,20,2,0,4,2,0,2,0,0,0,1,1,0,0,0
FUT ~ PRES,54,18,24,0,4,3,0,3,0,0,0,0,0,2,0,0,0,0,0
FUT ~ MOD shall,51,33,11,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
PRES ~ PRES PERF,48,14,14,0,15,2,0,1,0,1,0,0,0,0,1,0,0,0,0
PAST PROG ~ PRES PART,39,2,2,30,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,36,19,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,31,15,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,26,2,1,20,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
PRES PART ~ PRES PROG,25,18,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,22,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,18,3,11,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PAST ~ TO INF,16,2,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,12,3,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,12,5,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES,11,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,11,0,0,4,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0
FUT going-to ~ PRES PROG,10,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,10,2,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,10,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,8,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,8,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,7,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
PRES PART ~ PRES PERF,6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PAST PROG,5,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
