genre,domain2,TOTAL,PRES ~ PRES PART,PAST ~ PAST PROG,PAST ~ PRES PART,PRES ~ PRES PROG,PAST ~ PRES,FUT ~ PRES,FUT ~ MOD shall,PRES ~ PRES PERF,PAST PROG ~ PRES PART,FUT ~ FUT going-to,PAST ~ PRES PERF,PAST ~ PAST PERF,PRES PART ~ PRES PROG,FUT ~ PRES PROG,FUT ~ PRES PART,PAST ~ TO INF,FUT ~ TO INF,MOD may ~ PRES,FUT going-to ~ PRES,MOD could ~ PAST,FUT going-to ~ PRES PROG,PRES ~ TO INF,PRES PART ~ TO INF,IMPV ~ PRES,MOD is to ~ PRES,MOD can ~ PRES,PRES PART ~ PRES PERF,MOD shall ~ PRES,PAST PERF ~ PAST PROG,MOD would ~ PRES,FUT ~ MOD must,MOD would ~ PAST,MOD is to ~ MOD shall,PAST ~ PRES PROG,IMPV ~ MOD may,FUT going-to ~ MOD shall,PAST ~ PAST PERF PROG,PAST PROG ~ PRES,MOD is to ~ PRES PART,FUT ~ MOD is to,PRES PERF PROG ~ PRES PROG,MOD can ~ MOD shall,FUT PROG ~ PRES PART,MOD shall ~ TO INF,MOD can ~ TO INF,MOD should ~ MOD would,PRES ~ PRES PERF PROG,MOD should ~ TO INF,MOD let ~ PRES,MOD was to ~ PAST,PRES PERF ~ PRES PROG,PRES ~ PRES PROG keep,MOD must ~ MOD shall,MOD may ~ PAST,MOD is to ~ TO INF,MOD may ~ TO INF,PAST PERF PROG ~ PAST PROG,MOD must ~ PRES,FUT going-to ~ PRES PART,PRES PART ~ PRES PERF PROG,FUT ~ PAST PROG,MOD can ~ PRES PART,FUT ~ MOD may,MOD was to ~ PAST PROG,PAST PERF ~ PRES PART,PAST PERF ~ PRES,PAST PERF ~ PAST PERF PROG,MOD was to ~ TO INF,HAB used to ~ PAST PERF,TO INF ~ VB,HAB used to ~ PAST,FUT ~ VB,FUT ~ PAST,FUT ~ MOD would,FUT ~ MOD can,FUT ~ FUT PROG,IMPV ~ PAST,MOD shall ~ PRES PART,IMPV ~ PRES PROG,MOD should ~ PRES PERF,PRES PROG ~ TO INF,PRES PROG ~ PRES PROG keep,PRES PERF ~ TO INF,PRES PERF ~ PRES PERF PROG,PAST ~ VB,PAST PROG ~ TO INF,MOD would ~ PRES PROG,MOD would ~ PRES PERF,MOD was to ~ PRES PART,MOD that VB ~ PRES PART,MOD should ~ PRES,MOD can ~ MOD may,MOD should ~ PAST,MOD should ~ MOD was to,MOD shall ~ PRES PERF,MOD shall ~ PAST,MOD need not ~ TO INF,MOD must ~ PRES PART,MOD may ~ PRES PART,MOD let ~ TO INF,MOD is to ~ MOD would,MOD could ~ PRES PART,FUT PROG ~ MOD is to
prose,Q,341,57,10,5,45,10,18,33,14,2,19,15,2,18,5,3,2,3,5,6,0,2,2,1,3,2,3,2,1,1,4,2,0,1,0,4,2,0,0,0,3,2,1,3,0,0,0,1,3,1,0,2,0,2,1,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
prophetic,Q,301,60,7,9,29,14,24,11,14,2,15,11,1,5,17,11,1,7,3,3,0,6,2,3,3,2,1,3,2,0,0,0,0,0,4,0,2,0,1,2,0,0,2,0,2,2,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
prose,N,237,7,72,52,0,5,0,0,0,30,0,0,20,0,0,0,12,0,0,0,4,0,1,2,0,0,0,0,0,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
poetry,Q,100,24,0,2,4,20,4,0,15,1,0,4,0,1,0,3,0,1,3,0,0,0,1,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
instruction,Q,49,15,0,0,7,2,3,0,2,0,0,1,0,0,0,0,0,0,1,2,0,2,0,1,1,2,2,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,N,37,3,10,13,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,?,26,4,0,2,1,4,3,6,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,N,15,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,?,15,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,D,6,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,?,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,?,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,D,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,D,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,?,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,Q,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,N,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
