genre,prose,prophetic,prose,poetry,instruction,prophetic,prophetic,list,poetry,prose,prose,list,instruction,prophetic,instruction,list,instruction,list
domain2,Q,Q,N,Q,Q,N,?,N,?,D,?,?,D,D,?,Q,N,D
eng_TAMsimp,,,,,,,,,,,,,,,,,,
PRES ~ PRES PART,0.02,0.08,-0.2,0.05,0.05,-0.02,-0.0,-0.01,0.04,0.0,-0.01,-0.01,0.0,-0.0,0.01,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.22,-0.21,0.54,-0.1,-0.05,0.07,-0.02,-0.01,-0.01,0.0,0.02,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.26,-0.18,0.38,-0.07,-0.05,0.12,-0.0,0.04,-0.01,0.02,0.02,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01
PRES ~ PRES PROG,0.23,0.07,-0.22,-0.04,0.04,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
PAST ~ PRES,-0.14,-0.03,-0.13,0.25,-0.01,-0.03,0.05,0.02,-0.01,0.03,-0.0,-0.0,-0.0,0.01,0.01,-0.0,-0.0,-0.0
FUT ~ PRES,0.04,0.19,-0.22,-0.01,0.01,-0.03,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.37,-0.05,-0.21,-0.09,-0.04,-0.03,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.0,0.03,-0.21,0.24,-0.0,-0.03,-0.0,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,-0.25,-0.22,0.58,-0.06,-0.04,0.05,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT going-to,0.24,0.16,-0.21,-0.09,-0.04,-0.03,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,0.19,0.1,-0.21,0.04,-0.01,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.22,-0.23,0.58,-0.09,-0.04,0.01,-0.02,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,0.04,-0.0
PRES PART ~ PRES PROG,0.43,-0.06,-0.21,-0.05,-0.04,0.01,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PROG,-0.07,0.52,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,-0.13,0.36,-0.21,0.08,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,-0.17,-0.2,0.55,-0.09,-0.04,-0.03,-0.02,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,-0.05,0.33,-0.21,-0.0,-0.04,-0.03,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,0.12,-0.01,-0.21,0.17,0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES,0.25,0.01,-0.21,-0.09,0.14,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST,-0.3,-0.26,0.16,-0.09,-0.04,-0.03,-0.02,0.35,-0.01,-0.01,0.09,0.18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES PROG,-0.1,0.34,-0.21,-0.09,0.16,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.1,-0.06,-0.11,0.01,-0.04,-0.03,-0.02,-0.01,0.39,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,-0.2,0.04,-0.01,0.01,0.06,0.17,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,0.08,0.11,-0.21,0.04,0.08,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.05,-0.01,-0.21,0.04,0.21,-0.03,-0.02,-0.01,0.11,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,0.13,-0.12,-0.21,-0.09,0.24,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.14,-0.0,-0.0
PRES PART ~ PRES PERF,0.04,0.24,-0.21,-0.09,-0.04,-0.03,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,-0.1,0.14,-0.21,0.11,0.16,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PAST PROG,-0.1,-0.26,0.2,-0.09,-0.04,0.37,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,0.21,-0.26,-0.21,0.41,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.05,-0.26,-0.21,-0.09,0.46,-0.03,-0.02,0.24,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PROG,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,0.21,0.24,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES,-0.3,-0.01,-0.21,0.16,0.21,-0.03,-0.02,-0.01,0.24,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,-0.3,0.41,-0.21,-0.09,0.29,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD is to,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG ~ PRES PROG,0.37,-0.26,-0.21,0.25,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,0.04,0.41,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ PRES PART,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ TO INF,-0.3,0.41,-0.21,-0.09,0.29,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,-0.3,0.41,-0.21,0.25,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,-0.3,0.41,0.13,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF PROG,0.04,0.41,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
