esv_TAMsimp,PRES,PAST,PRES PART,FUT,PAST PROG,PRES PROG,PRES PERF,TO INF,PAST PERF,FUT going-to,MOD can,MOD may,MOD would,IMPV,MOD could,MOD is to,MOD must,MOD should,PAST PERF PROG,PRES PERF PROG,FUT PROG,MOD let,MOD was to,MOD shall,MOD might,MOD need not,HAB used to,PRES PROG keep,VB
PRES,1.22,55.44,16.68,55.44,471.25,28.56,50.95,269.29,942.5,171.36,628.33,235.63,628.33,377.0,inf,628.33,942.5,inf,inf,1885.0,inf,942.5,inf,inf,inf,inf,inf,1885.0,inf
PAST,30.3,1.37,13.63,818.0,12.03,409.0,58.43,58.43,45.44,inf,inf,409.0,204.5,inf,163.6,inf,inf,818.0,204.5,inf,inf,inf,409.0,inf,inf,inf,inf,inf,inf
PRES PART,7.03,14.47,1.52,28.94,37.85,41.0,246.0,54.67,inf,492.0,246.0,492.0,inf,inf,inf,492.0,492.0,inf,inf,492.0,164.0,inf,inf,492.0,inf,inf,inf,inf,inf
FUT,9.95,inf,199.0,1.51,inf,199.0,inf,39.8,inf,5.69,199.0,inf,inf,inf,inf,199.0,99.5,inf,inf,inf,199.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,5.46,7.35,95.5,1.53,inf,inf,inf,191.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,95.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,8.41,92.5,14.23,8.81,inf,1.65,92.5,185.0,inf,18.5,inf,inf,inf,185.0,inf,inf,inf,inf,inf,185.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,7.09,4.59,19.5,inf,inf,78.0,1.81,inf,inf,inf,inf,inf,78.0,inf,inf,inf,inf,78.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,15.0,75.0,inf,1.47,inf,inf,75.0,25.0,inf,18.75,25.0,inf,inf,inf,inf,18.75,37.5,inf,inf,inf,inf,inf,inf,75.0,inf,inf,inf,inf,inf
TO INF,21.33,32.0,64.0,9.14,64.0,inf,64.0,1.49,inf,inf,32.0,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,64.0,inf,inf,64.0
PAST PERF,inf,7.38,29.5,inf,14.75,inf,inf,inf,1.37,inf,inf,inf,inf,inf,inf,inf,inf,inf,59.0,inf,inf,inf,inf,inf,inf,inf,59.0,inf,inf
MOD is to,3.2,inf,8.0,8.0,inf,inf,inf,8.0,inf,inf,inf,inf,16.0,inf,inf,5.33,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,inf,2.33,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,3.25,inf,inf,6.5,inf,inf,inf,inf,inf,inf,13.0,4.33,inf,4.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,12.0,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,6.0,inf,inf,inf,inf,2.4,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf
IMPV,3.33,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,2.5,inf,inf,inf,inf,inf,inf,10.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,4.5,inf,9.0,inf,inf,4.5,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,8.0,inf,inf,8.0,inf,8.0,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,inf,7.0,7.0,inf,3.5,inf,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf
MOD let,4.0,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD must,inf,inf,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
VB,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG keep,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
PAST PERF PROG,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
