cl_args,mother_verbtype,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
RV,Ø,0.58,0.23,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,qtl,0.32,0.29,0.37,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV,qtl,0.45,0.16,0.35,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
V,Ø,0.27,0.31,0.37,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV,Ø,0.34,0.17,0.45,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
CV,wayq,0.6,0.04,0.02,0.33,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
_W_SV,wayq,0.88,0.0,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
_W_SV,qtl,0.57,0.18,0.19,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV,qtl,0.41,0.28,0.12,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RV,wayq,0.3,0.02,0.01,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
CV,yqtl,0.24,0.45,0.26,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
RV,qtl,0.57,0.14,0.04,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV,wayq,0.63,0.08,0.26,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
V,wayq,0.49,0.34,0.12,0.04,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
SV,qtl,0.44,0.22,0.31,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_AV,qtl,0.7,0.21,0.07,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
V,yqtl,0.19,0.21,0.55,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
