,Main,SubAdv,SubMod,Main,SubArg,SubAdv,SubMod,SubArg
,0,0,0,1,0,1,1,1
PAST..IND,1.0,0.67,1.18,3.31,0.57,0.66,2.28,1.06
PRES.PERF.IND,0.81,1.48,0.99,0.53,1.37,1.45,0.82,2.46
PRES..IND,2.51,1.0,0.24,0.37,0.29,0.53,0.0,0.46
PAST.PERF.IND,0.16,1.38,4.52,0.38,5.06,1.11,1.84,0.0
FUT..IND,2.34,0.7,0.0,2.12,0.41,1.8,0.0,0.0
PAST..SUBJ,2.88,0.24,0.26,0.36,0.0,14.05,0.0,0.0
PRES..MOD,2.03,0.8,0.19,0.41,1.06,4.69,0.0,0.0
PRES..,1.11,1.56,0.73,0.0,0.0,0.0,5.46,0.0
PRES.PROG.IND,1.98,0.27,0.64,0.0,3.53,0.0,0.0,0.0
PAST.PROG.IND,1.22,1.4,0.0,0.0,5.13,0.0,0.0,0.0
..,1.14,1.17,0.0,0.0,7.04,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
