prec_part,sum
Ø,2271
_>CR_,1579
_W_,1273
_KJ_,974
_KH_,399
_K_>CR_,262
_W_>T_,147
_B_,146
_W_B_,90
_HNH_,65
_W_L_,63
_W_W_,61
_>M_,61
_KJ_KH_,58
_MN_,56
_H=_,56
_W_GM_,56
_>T_>CR_,54
_<L_KN_,50
_L_,50
_KJ_B_,50
_W_MN_,49
_>T_,43
_MH_,42
_MJ_,37
_GM_,36
_K_,32
_KN_,31
_LMH_,31
_>Z_,30
_W_<L_,29
_<L_,29
_W_HNH_,28
_W_>CR_,24
_C_,22
_<L_>CR_,19
_J<N/_>CR_,19
_HN_,19
_KJ_L_,18
_W_>M_,17
_W_>XR/_,17
_W_KJ_,17
_CM_,16
_>XR/_,16
_B_L_,15
_KJ_MN_,14
_J<N/_,14
_>LH_,14
_>L_,14
_<D_,14
_MDW<_,13
_W_>T_W_>T_,13
_W_<TH_,12
_KJ_>T_,12
_H_,12
_>W_,11
_B_HJ>_,11
_>P_,11
_RQ_,11
_ZH_,11
_B_W_L_,10
_KJ_<TH_,10
_HNH_N>_,10
_KJ_>M_,10
_TXT/_>CR_,10
_>JK_,9
_W_B_L_,9
_MH_Z>T_,9
_<TH_,9
_W_>L_,9
_W_>XR/_KN_,8
_B_HW>_,8
_KJ_<L_,8
_W_B_B_,8
_>M_N>_,8
_W_K_,8
_>K_,8
_W_CM_,8
_W_GM_>T_,8
_<D_>CR_,7
_W_W_W_,7
_W_KN_,7
_LKN_,7
_L_>CR_,7
_J<N/_KJ_,7
_W_MH_,7
_B_B_,7
_LW_,6
_B_HM_,6
_KJ_<L_KN_,6
_KJ_CM_,6
_W_<WD/_,6
_W_K_>CR_,6
_ZW_,6
_W_>T_>CR_,6
_>XR/_>CR_,5
_KJ_MN_>T==_,5
_B_W_,5
_W_>LH_,5
_B_MH_,5
_W_>T_W_>T_W_>T_,5
_KJ_KN_,5
_B_W_B_,5
_GM_B_,5
_TXT/_,5
_B_B_L_,4
_RB/_,4
_GM_>T_,4
_W_GM_W_,4
_W_LMH_,4
_>JKH_,4
_LWL>_,4
_<D_KJ_,4
_B_ZH_,4
_W_GM_B_,4
_>T_C_,4
_KJ_HNH_,4
_MN_CM_,4
_Z>T_,4
_MN_>Z_,4
_>KN_,4
_MN_W_,4
_>T_MJ_,4
_>T_>LH_,3
_B_Z>T_,3
_C>L[_,3
_KJ_>L_,3
_>N_,3
_MN_<L_,3
_W_MDW<_,3
_<D_>M_,3
_W_KH_,3
_MN_>CR_,3
_K_W_K_,3
_W_ZH_,3
_GM_L_,3
_<D_C_,3
_RQ_B_,3
_W_>T==_,3
_<L_MH_,3
_KJ_K_,3
_<QB/_>CR_,3
_W_<L_MJ_,3
_W_MJ_,3
_L_L_,3
_KJ_MH_,3
_>JPH_,3
_>ZJ_,3
_<D_>CR_>M_,3
_B_>CR_,3
_>XR/_>LH_,3
_>BL_,3
_JXDW_,3
_<L_B_,2
_RQ_L_,2
_W_>M_B_,2
_W_>T_>LH_W_>T_,2
_W_<L_>CR_,2
_W_>T_W_>T_W_>T_W_>T_,2
_KJ_GM_,2
_<WD/_,2
_KJ_>T_W_>T_,2
_W_>T_SBJB/_,2
_W_B_W_L_,2
_W_>P_NGD/_,2
_HLK[_,2
_<WD/_Z>T_,2
_H=_K_,2
_KJ_LWL>_,2
_HNH_ZH_,2
_H=_MN_,2
_KJ_MJ_,2
_JXD/_,2
_W_B_B_L_,2
_HN_B_,2
_KJ_XNM_,2
_MN_L_,2
_B_B_B_L_,2
_>WLJ_,2
_W_LW_,2
_W_L_L_L_W_L_,2
_W_GM_B_Z>T_,2
_BLT/_>M_,2
_BJN/_,2
_NGD/_,2
_L_MN_,2
_W_MN_>Z_,2
_L_W_,2
_M>D/_,2
_>W_MJ_,2
_W_MN_MN_,2
_W_MN_W_MN_,2
_B_MN_,2
_>T_W_>T_W_>T_,2
_>T_W_>T_,2
_MH_ZH_,2
_MN_W_W_,2
_W_TXT/_,2
_MN_W_MN_,2
_MN_W_<D_,2
_>M_L_,2
_>M_B_,2
_>MR[_,2
_XNM_,2
_>K_W_,2
_B_L_B_B_L_,2
_LM<N_,2
_PT>M_,2
_B_W_W_W_W_,2
_RQ_>T_,2
_<D_>N_,2
_K_L_,2
_QN>[_,2
_LJLH/_,2
_B_W_K_,2
_CM<[_,2
_LMH_ZH_,2
_W_KMW_,2
_B_W_L_B_L_,2
_W_<D_,1
_MN_W_MN_W_MN_W_,1
_QWH[_,1
_R>H[_,1
_RQ_W_W_W_,1
_RQ_>CR_L_,1
_MN_NGD/_,1
_W_<WD/_W_,1
_<L_KJ_,1
_MN_MN_,1
_W_>JPH_,1
_W_>K_,1
_<L_KJ_JR>[_,1
_RQ_W_W_,1
_MN_M>D/_,1
_W_>LH_W_,1
_PRR=[_,1
_PQD[_,1
_NGD[_,1
_QR>=[_,1
_TXT/_KJ_,1
_PN_,1
_NKH[_,1
_TXT/_MH_,1
_QDC[_,1
_TXT/_MN_,1
_MN_W_W_<D_,1
_W_<D_W_W_W_,1
_V<M[_,1
_VRM/_,1
_MWV[_,1
_<L_KN_<L_,1
_W_<M_,1
_RQ_B_HW>_,1
_>K_JXDW_,1
_W_>L_W_>L_ZH_,1
_W_>MC/_,1
_<D_>CR_<D_KH_,1
_W_MH_Z>T_,1
_W_L_W_L_W_L_W_L_W_L_<D_KN_,1
_W_L_W_L_W_L_,1
_W_L_W_L_,1
_W_L_L_,1
_W_L_GM_,1
_W_L_>LH_,1
_W_LMH_ZH_,1
_W_LMH_MN_,1
_W_K_ZH_,1
_W_K_Z>T_W_K_Z>T_,1
_W_KN_B_,1
_W_KBR/_,1
_W_JXDW_,1
_W_HNH_Z>T_,1
_W_HNH_W_,1
