eng_TAM,prose,prophetic,poetry,instruction,list
PAST..IND,0.67,4.85,6.36,26.44,16.74
PRES.PERF.IND,1.28,2.27,4.03,17.54,293.25
PRES..IND,4.89,1.19,1.85,41.96,2061.0
PAST.PERF.IND,0.2,9.71,25.07,96.75,45.0
FUT..IND,5.27,0.53,5.9,22.0,inf
PAST..SUBJ,0.68,6.75,3.13,61.0,61.0
PRES..MOD,0.53,6.86,5.11,inf,17.33
PRES..,2.2,1.67,2.56,inf,31.0
PRES.PROG.IND,0.5,2.6,17.0,inf,inf
PAST.PROG.IND,0.08,12.0,inf,inf,inf
..,0.67,1.5,inf,inf,inf
past.PERF_PROG.IND,0.0,inf,inf,inf,inf
FUT.PERF.IND,inf,0.0,inf,inf,inf
PRES.PERF_PROG.IND,0.0,inf,inf,inf,inf
