eng_TAM,Q,N
PAST..IND ~ PRES.PERF.IND,0.99,0.01
PRES..IND ~ PRES.PERF.IND,0.98,0.02
PAST..IND ~ PAST.PERF.IND,0.22,0.78
PAST..IND ~ PRES..IND,0.94,0.06
FUT..IND ~ PRES..IND,0.99,0.01
FUT..IND ~ PRES.PERF.IND,0.94,0.06
PAST..IND ~ PRES..,0.36,0.64
PAST.PERF.IND ~ PRES.PERF.IND,0.96,0.04
FUT..IND ~ PRES..MOD,1.0,0.0
PAST..IND ~ PAST.PROG.IND,0.25,0.75
PRES.. ~ PRES.PERF.IND,1.0,0.0
PAST..IND ~ PRES..MOD,0.44,0.56
PRES.PERF.IND ~ PRES.PROG.IND,1.0,0.0
PAST..IND ~ PAST..SUBJ,0.38,0.62
PRES..IND ~ PRES..MOD,0.96,0.04
PRES..IND ~ PRES.PROG.IND,1.0,0.0
.. ~ PAST..IND,0.71,0.29
PRES.. ~ PRES..IND,0.94,0.06
PRES..MOD ~ PRES.PERF.IND,1.0,0.0
FUT..IND ~ PAST..IND,0.9,0.1
.. ~ PRES.PERF.IND,1.0,0.0
.. ~ PRES..IND,1.0,0.0
PAST.PERF.IND ~ PAST.PROG.IND,0.0,1.0
PRES.PERF.IND ~ PRES.PERF_PROG.IND,1.0,0.0
PAST..IND ~ PRES.PROG.IND,1.0,0.0
PAST..SUBJ ~ PRES.PERF.IND,0.75,0.25
PAST..SUBJ ~ PRES..MOD,1.0,0.0
PAST.PERF.IND ~ past.PERF_PROG.IND,0.0,1.0
PAST.PROG.IND ~ PRES.PERF.IND,1.0,0.0
.. ~ PAST..SUBJ,0.5,0.5
PAST.PERF.IND ~ PRES..IND,1.0,0.0
PAST.PERF.IND ~ PRES..MOD,0.67,0.33
PAST.PROG.IND ~ PRES..,0.0,1.0
.. ~ PAST.PERF.IND,0.33,0.67
PRES.. ~ PRES..MOD,1.0,0.0
FUT..IND ~ PRES..,1.0,0.0
.. ~ PRES..MOD,0.0,1.0
PAST..SUBJ ~ PAST.PERF.IND,0.5,0.5
.. ~ PRES..,1.0,0.0
PAST.PERF.IND ~ PRES..,0.0,1.0
FUT..IND ~ FUT..MOD,1.0,0.0
FUT..IND ~ FUT.PERF.IND,1.0,0.0
PRES.PERF_PROG.IND ~ PRES.PROG.IND,1.0,0.0
FUT..IND ~ PAST..SUBJ,1.0,0.0
FUT..IND ~ PRES.PROG.IND,1.0,0.0
FUT..MOD ~ PRES.PERF.IND,1.0,0.0
FUT.PERF.IND ~ PRES.PERF.IND,1.0,0.0
PAST..IND ~ past.PERF_PROG.IND,0.0,1.0
PAST..SUBJ ~ PRES..,0.0,1.0
PAST..SUBJ ~ PRES..IND,1.0,0.0
PAST.PROG.IND ~ PRES..IND,1.0,0.0
PAST.PROG.IND ~ past.PERF_PROG.IND,0.0,1.0
PRES.. ~ PRES.PROG.IND,1.0,0.0
.. ~ FUT..IND,1.0,0.0
