eng_TAM,RV,V,CV,AV,_W_SV,SV,_W_AV,_W_OV,OV,CAV,_W_V,QV,CSV,COV,IV,_W_CV,SAV,_W_SAV,ASV,_W_RV,QAV,ISV,_W_IV,OAV,_W_OAV,_W_QV,AOV,RSV,_W_SOV,IAV,IOV,IIV,_W_ASV,_W_CAV,CIV,CQV,_W_ISV,QSV,RAV,CSAV,SOV,CASV,QOV,_W_AOV,ACAV,OSV,ARV,COAV,_W_COV,CISV,_W_IAV,CAOV,_W_OSV,_W_QAV,ACSV,ACV,_W_QSV,ASAV,ASOV,IIAV,OASV,CIAV,_W_ACV,SAOV,CSOV,ROV,_W_CSV
PAST..IND,4.3,8.23,7.72,7.91,5.86,15.6,11.32,15.87,36.08,51.77,52.45,170.5,104.54,273.4,342.0,315.62,215.63,227.67,215.63,241.12,513.5,822.2,587.0,1028.0,342.0,685.0,822.2,2057.0,1028.0,1371.0,2057.0,inf,822.2,1371.0,inf,1371.0,587.0,2057.0,4115.0,inf,4115.0,4115.0,inf,4115.0,inf,inf,inf,inf,inf,4115.0,4115.0,inf,2057.0,inf,inf,4115.0,4115.0,inf,4115.0,inf,inf,inf,4115.0,4115.0,inf,inf,inf
PRES.PERF.IND,4.73,4.01,5.52,14.09,22.31,14.29,38.23,55.05,24.59,39.59,47.04,19.47,27.02,55.05,77.47,234.4,293.25,587.5,293.25,391.33,234.4,260.56,260.56,469.8,2353.0,391.33,783.67,2353.0,1176.0,391.33,783.67,469.8,2353.0,783.67,293.25,587.5,inf,2353.0,587.5,1176.0,inf,2353.0,2353.0,inf,2353.0,inf,2353.0,2353.0,2353.0,inf,inf,inf,inf,inf,2353.0,inf,inf,inf,inf,2353.0,2353.0,inf,inf,inf,2353.0,inf,inf
PRES..IND,21.41,2.85,9.74,2.76,19.42,12.66,81.48,72.64,30.72,22.7,92.73,97.19,54.73,256.75,146.29,228.11,157.62,113.56,293.57,2061.0,686.33,228.11,1030.0,293.57,411.4,2061.0,293.57,170.83,411.4,2061.0,1030.0,411.4,1030.0,686.33,2061.0,2061.0,2061.0,inf,2061.0,514.5,514.5,1030.0,inf,1030.0,inf,1030.0,inf,2061.0,inf,2061.0,inf,2061.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2061.0,2061.0
PAST.PERF.IND,1.22,47.87,3.23,77.2,11.61,64.17,194.5,96.75,781.0,47.87,70.09,24.23,42.44,77.2,inf,70.09,781.0,inf,781.0,155.4,155.4,inf,390.0,inf,inf,155.4,390.0,inf,inf,inf,781.0,inf,390.0,inf,inf,inf,inf,259.67,inf,inf,inf,inf,390.0,inf,781.0,inf,781.0,inf,781.0,inf,inf,inf,inf,781.0,inf,inf,inf,781.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT..IND,inf,3.06,10.5,4.75,16.25,8.86,16.25,68.0,33.5,inf,68.0,22.0,68.0,33.5,68.0,inf,inf,inf,inf,inf,inf,inf,33.5,33.5,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf
PAST..SUBJ,19.67,5.2,30.0,11.4,30.0,61.0,61.0,61.0,61.0,11.4,1.3,61.0,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,26.5,17.33,12.75,17.33,17.33,54.0,inf,26.5,54.0,54.0,1.04,12.75,26.5,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,7.0,4.33,7.0,3.0,15.0,inf,31.0,31.0,31.0,inf,7.0,inf,inf,inf,inf,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,8.0,5.0,8.0,inf,inf,17.0,inf,inf,17.0,inf,8.0,inf,inf,inf,3.5,inf,inf,inf,17.0,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,inf,inf,2.25,inf,1.17,5.5,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
..,inf,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
past.PERF_PROG.IND,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT.PERF.IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
