clause_rela,Main,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubAdv,SubMod,SubMod,SubArg
cltype_simp,x,Wx,x,Ø,x,x,Wx,Ø,Ø,Wx,Ø
eng_TAM,,,,,,,,,,,
PAST..IND,-0.07,0.18,0.03,-0.06,-0.05,-0.02,-0.01,-0.01,0.0,0.0,-0.0
PRES.PERF.IND,-0.0,-0.11,-0.0,0.04,0.05,0.01,0.0,0.01,-0.0,-0.0,0.0
PRES..IND,0.2,-0.12,-0.15,0.11,-0.01,-0.03,-0.0,0.0,-0.0,-0.0,-0.0
PAST.PERF.IND,-0.19,-0.08,0.29,-0.16,0.05,0.09,0.01,-0.01,-0.0,0.0,-0.0
FUT..IND,0.11,0.0,-0.16,0.12,-0.01,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0
PAST..SUBJ,-0.03,0.28,-0.11,-0.06,-0.03,-0.04,-0.0,-0.01,-0.01,-0.0,-0.0
PRES..MOD,-0.1,0.34,-0.14,-0.1,-0.03,0.0,0.04,-0.01,0.01,-0.0,-0.0
PRES..,0.01,0.0,-0.0,-0.03,-0.03,-0.03,0.08,0.02,-0.01,-0.0,-0.0
PRES.PROG.IND,0.12,-0.07,-0.05,0.06,-0.1,0.08,-0.02,-0.01,-0.01,-0.0,-0.0
PAST.PROG.IND,-0.11,0.28,-0.16,-0.16,-0.0,0.12,0.06,-0.01,-0.01,-0.0,-0.0
..,-0.27,-0.19,-0.16,0.44,0.04,-0.03,-0.02,-0.01,-0.01,-0.0,0.2
past.PERF_PROG.IND,-0.27,-0.19,0.84,-0.16,-0.16,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0
FUT.PERF.IND,-0.27,0.81,-0.16,-0.16,-0.16,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0
PRES.PERF_PROG.IND,-0.27,-0.19,-0.16,-0.16,0.84,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0
