,prose,prophetic,poetry,instruction,list
PAST..IND,87.58,-72.31,-32.38,0.24,53.54
PRES.PERF.IND,-6.49,7.1,0.62,7.16,-21.64
PRES..IND,-243.98,102.83,86.4,-3.15,-26.03
PAST.PERF.IND,100.22,-34.05,-38.39,-4.99,-0.44
FUT..IND,-7.72,10.91,-0.36,0.13,-0.57
PAST..SUBJ,1.12,-1.86,0.48,-0.14,0.0
PRES..MOD,1.85,-1.68,-0.14,-0.57,0.72
PRES..,-1.13,0.8,0.74,-0.2,0.23
PRES.PROG.IND,0.8,0.1,-0.64,0.0,0.0
PAST.PROG.IND,2.87,-0.69,-0.83,0.0,0.0
..,0.17,0.21,-0.23,0.0,0.0
past.PERF_PROG.IND,0.63,0.0,0.0,0.0,0.0
FUT.PERF.IND,-0.3,1.16,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.32,0.0,0.0,0.0,0.0
