eng_TAM,Q,N
PAST..IND ~ PRES.PERF.IND,1.01,192.67
PRES..IND ~ PRES.PERF.IND,1.02,50.62
PAST..IND ~ PAST.PERF.IND,4.45,1.29
PAST..IND ~ PRES..IND,1.07,16.0
FUT..IND ~ PRES..IND,1.01,111.0
FUT..IND ~ PRES.PERF.IND,1.07,15.67
PAST..IND ~ PRES..,2.77,1.57
PAST.PERF.IND ~ PRES.PERF.IND,1.04,24.0
FUT..IND ~ PRES..MOD,1.0,inf
PAST..IND ~ PAST.PROG.IND,4.0,1.33
PRES.. ~ PRES.PERF.IND,1.0,inf
PAST..IND ~ PRES..MOD,2.27,1.79
PRES.PERF.IND ~ PRES.PROG.IND,1.0,inf
PAST..IND ~ PAST..SUBJ,2.67,1.6
PRES..IND ~ PRES..MOD,1.05,23.0
PRES..IND ~ PRES.PROG.IND,1.0,inf
.. ~ PAST..IND,1.42,3.4
PRES.. ~ PRES..IND,1.07,16.0
PRES..MOD ~ PRES.PERF.IND,1.0,inf
FUT..IND ~ PAST..IND,1.11,10.0
.. ~ PRES.PERF.IND,1.0,inf
.. ~ PRES..IND,1.0,inf
PAST.PERF.IND ~ PAST.PROG.IND,inf,1.0
PRES.PERF.IND ~ PRES.PERF_PROG.IND,1.0,inf
PAST..IND ~ PRES.PROG.IND,1.0,inf
PAST..SUBJ ~ PRES.PERF.IND,1.33,4.0
PAST..SUBJ ~ PRES..MOD,1.0,inf
PAST.PERF.IND ~ past.PERF_PROG.IND,inf,1.0
PAST.PROG.IND ~ PRES.PERF.IND,1.0,inf
.. ~ PAST..SUBJ,2.0,2.0
PAST.PERF.IND ~ PRES..IND,1.0,inf
PAST.PERF.IND ~ PRES..MOD,1.5,3.0
PAST.PROG.IND ~ PRES..,inf,1.0
.. ~ PAST.PERF.IND,3.0,1.5
PRES.. ~ PRES..MOD,1.0,inf
FUT..IND ~ PRES..,1.0,inf
.. ~ PRES..MOD,inf,1.0
PAST..SUBJ ~ PAST.PERF.IND,2.0,2.0
.. ~ PRES..,1.0,inf
PAST.PERF.IND ~ PRES..,inf,1.0
FUT..IND ~ FUT..MOD,1.0,inf
FUT..IND ~ FUT.PERF.IND,1.0,inf
PRES.PERF_PROG.IND ~ PRES.PROG.IND,1.0,inf
FUT..IND ~ PAST..SUBJ,1.0,inf
FUT..IND ~ PRES.PROG.IND,1.0,inf
FUT..MOD ~ PRES.PERF.IND,1.0,inf
FUT.PERF.IND ~ PRES.PERF.IND,1.0,inf
PAST..IND ~ past.PERF_PROG.IND,inf,1.0
PAST..SUBJ ~ PRES..,inf,1.0
PAST..SUBJ ~ PRES..IND,1.0,inf
PAST.PROG.IND ~ PRES..IND,1.0,inf
PAST.PROG.IND ~ past.PERF_PROG.IND,inf,1.0
PRES.. ~ PRES.PROG.IND,1.0,inf
.. ~ FUT..IND,1.0,inf
