,Way0,WayX,MSyn
PAST,-69.95,70.42,-0.5
PAST ~ PRES PART,22.49,-22.45,0.0
PAST ~ PAST PERF,-1.55,1.55,0.0
PRES PERF,6.33,-6.32,0.0
PRES,8.57,-8.56,0.0
?PAST ~ PAST,16.26,-16.24,0.0
PAST ~ PRES PERF,9.98,-9.98,0.0
?PAST,6.58,-6.57,0.0
PAST ~ PRES,5.59,-5.58,0.0
PAST ~ TO INF,6.79,-6.79,0.0
PAST PERF,-4.84,4.85,0.0
PRES ~ PRES PERF,2.42,-2.42,0.0
PAST ~ PAST PROG,0.16,-0.16,0.0
PRES PART,4.62,-4.62,0.0
FUT ~ PRES,-0.0,0.0,0.0
?PRES,1.06,-1.06,0.0
?PRES ~ PRES,1.06,-1.06,0.0
MOD would,-0.66,0.66,0.0
MOD could ~ PAST,-0.27,0.27,0.0
TO INF,1.89,-1.89,0.0
?VB ~ PAST,1.89,-1.89,0.0
?PRES ~ PAST,0.6,-0.6,0.0
FUT ~ PAST,-0.16,0.16,0.0
?PAST ~ PRES PART,0.39,-0.39,0.0
PAST PROG,-0.18,-0.39,5.36
?VB,1.1,-1.1,0.0
PRES PART ~ PRES PERF,0.39,-0.39,0.0
FUT ~ PRES PERF,1.1,-1.1,0.0
PAST PERF ~ PRES PERF,0.19,-0.19,0.0
MOD would ~ PAST,0.19,-0.19,0.0
?PAST did not ~ PAST,0.84,-0.84,0.0
PRES ~ PRES PART,0.84,-0.84,0.0
PRES ~ PRES PROG,0.84,-0.84,0.0
?TO INF ~ PAST,0.57,-0.57,0.0
MOD let ~ PAST,0.57,-0.57,0.0
?PAST ~ PRES,-0.0,0.0,0.0
?PAST ~ ?VB,0.57,-0.57,0.0
PRES ~ TO INF,0.57,-0.57,0.0
IMPV ~ PAST,-0.0,0.0,0.0
MOD let,0.57,-0.57,0.0
FUT ~ MOD shall,-0.24,0.24,0.0
PAST PERF ~ PRES PART,0.57,-0.57,0.0
PRES PERF ~ TO INF,0.57,-0.57,0.0
??PAST,0.29,-0.29,0.0
?PRES PERF ~ PRES,0.29,-0.29,0.0
PRES PERF ~ PRES PROG,0.29,-0.29,0.0
?PAST ~ IMPV,0.29,-0.29,0.0
?VB ~ PRES,0.29,-0.29,0.0
?VB ~ PRES PERF,0.29,-0.29,0.0
FUT,0.29,-0.29,0.0
?PRES ~ ?PRES PERF,0.29,-0.29,0.0
?PRES ~ PRES PERF,0.0,-0.0,0.0
?FUT ~ PAST,0.29,-0.29,0.0
?PRES PERF,0.29,-0.29,0.0
MOD can ~ PRES,0.29,-0.29,0.0
??VB ~ ?PAST question,0.29,-0.29,0.0
MOD may ~ PAST,0.29,-0.29,0.0
?PRES ~ PRES PART,0.29,-0.29,0.0
?PAST wh-question,-0.0,0.0,0.0
?PAST wh-question ~ ?PRES,-0.0,0.0,0.0
?PAST question,-0.0,0.0,0.0
?PAST do-support ~ PAST,-0.0,0.0,0.0
?PAST wh-question ~ MOD let,-0.0,0.0,0.0
?PAST did not ~ TO INF,-0.0,0.0,0.0
?PAST wh-question ~ PAST,-0.0,0.0,0.0
?PAST wh-question ~ TO INF,-0.38,0.38,0.0
?PAST ~ ?TO INF,-0.0,0.0,0.0
?MOD would ~ PAST,-0.0,0.0,0.0
?PAST did not ~ ?PAST question,-0.0,0.0,0.0
?PAST PERF ~ PAST PERF,-0.0,0.0,0.0
?MOD would,-0.0,0.0,0.0
?MOD let ~ PAST,-0.0,0.0,0.0
?FUT ~ PRES PART,-0.0,0.0,0.0
?FUT ~ PRES,-0.0,0.0,0.0
?FUT ~ ?PRES,-0.38,0.38,0.0
??VB ~ PRES PERF,-0.0,0.0,0.0
