eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PAST,0.28,-0.17,-0.04,-0.02,-0.03,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,0.02,-0.01,-0.02,0.0,-0.01,0.01,0.0,-0.0,-0.0,-0.0,0.01,-0.0
PAST ~ PAST PERF,-0.07,0.05,0.01,0.02,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.55,0.39,0.13,-0.01,0.03,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES,-0.59,0.2,0.08,0.13,0.16,-0.0,0.01,-0.0,0.01,0.01,-0.0,0.01
?PAST ~ PAST,0.08,-0.06,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.6,0.44,0.07,0.01,0.04,0.02,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST,0.11,-0.05,-0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,-0.38,0.2,0.08,0.03,0.06,-0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,0.04,-0.08,0.05,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.09,0.15,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.6,0.37,0.06,0.04,0.11,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.12,0.11,0.0,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.04,0.03,-0.04,0.03,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,-0.53,0.38,-0.04,-0.01,0.13,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ PRES,-0.81,0.42,-0.04,0.14,0.22,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES,-0.51,0.5,-0.04,-0.01,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.18,-0.03,0.14,0.08,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST,0.01,-0.12,0.14,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.26,0.21,-0.04,-0.01,-0.01,-0.0,0.11,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PAST,-0.06,0.13,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ PAST,-0.24,0.31,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ PRES PART,0.02,0.05,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
