,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PAST,127.86,-69.76,-11.37,-9.31,-25.93,-1.85,-1.77,-0.0,-0.77,-0.48,-0.62,-0.62
PAST ~ PRES PART,0.34,-0.19,-0.48,0.29,-0.37,0.8,0.32,0.0,0.0,0.0,1.52,0.0
PAST ~ PAST PERF,-1.6,1.33,0.26,1.65,-0.38,0.0,0.35,0.0,0.0,0.0,0.0,0.0
PRES PERF,-55.54,36.51,10.87,-0.14,2.26,0.31,0.93,0.0,0.0,0.0,0.0,0.0
PRES,-58.7,10.55,5.05,16.36,26.34,0.0,0.99,0.0,2.62,1.42,0.0,1.59
?PAST ~ PAST,1.7,-1.16,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,-41.3,27.98,3.04,0.39,2.45,2.07,2.21,0.0,0.0,0.0,0.0,0.0
?PAST,2.51,-0.9,-0.73,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,-12.96,5.66,2.63,1.14,3.15,0.0,0.64,1.31,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.36,-1.37,1.34,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-0.93,2.61,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-15.61,8.15,1.19,1.04,4.48,0.85,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,-0.89,0.93,-0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-0.21,0.26,-0.2,0.56,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,-4.61,3.26,0.0,0.0,2.16,1.29,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES,-9.48,3.51,0.0,1.97,3.71,1.32,0.0,0.0,0.0,0.0,0.0,0.0
?PRES,-4.02,4.52,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,-0.88,0.0,1.22,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,-0.0,-0.42,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,-1.16,1.08,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,-0.19,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PAST,-0.9,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PART,-0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,-0.63,0.33,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-2.29,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,-2.29,1.85,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,-0.79,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-0.79,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-0.25,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ PAST,-1.65,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-1.65,1.14,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?VB,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-2.19,1.4,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,-0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES,-0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,-1.04,0.5,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-1.04,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST,-0.47,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF ~ PRES,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ IMPV,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES,-1.46,0.65,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES PERF,-1.46,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,-0.47,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ ?PRES PERF,-0.47,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PERF,-1.46,0.65,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF,-1.46,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,-1.46,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ ?PAST question,-1.46,0.65,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PART,-1.46,0.65,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST question,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST do-support ~ PAST,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ MOD let,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ TO INF,-0.73,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
