eng_TAMsimp,1,0
PAST,-0.01,0.01
PAST ~ PRES PART,0.1,-0.1
PRES,0.01,-0.01
PAST ~ PAST PERF,0.06,-0.06
PRES PERF,0.03,-0.03
PAST ~ PRES PERF,-0.0,0.0
PAST ~ PRES,-0.01,0.01
PAST ~ TO INF,-0.04,0.04
PAST PERF,-0.15,0.15
PRES ~ PRES PERF,0.0,-0.0
PAST ~ PAST PROG,-0.34,0.34
PRES PART,0.16,-0.16
FUT ~ PRES,-0.08,0.08
MOD would,0.05,-0.05
MOD could ~ PAST,-0.53,0.53
TO INF,0.17,-0.17
FUT ~ PAST,-0.03,0.03
MOD let ~ PAST,0.14,-0.14
PRES ~ PRES PART,-0.2,0.2
PRES ~ TO INF,0.07,-0.07
PRES PART ~ PRES PERF,0.07,-0.07
PAST PROG,-0.33,0.33
PRES ~ PRES PROG,-0.13,0.13
MOD would ~ PAST,0.27,-0.27
IMPV ~ PAST,0.47,-0.47
FUT ~ PRES PERF,0.47,-0.47
PAST PERF ~ PRES PERF,-0.03,0.03
PAST PERF ~ PRES PART,-0.2,0.2
PRES PERF ~ TO INF,0.47,-0.47
PAST ~ VB,0.47,-0.47
MOD let,0.47,-0.47
FUT ~ MOD shall,-0.2,0.2
FUT,-0.03,0.03
PRES PERF ~ PRES PROG,-0.53,0.53
MOD may ~ PAST,-0.53,0.53
MOD can ~ PRES,-0.03,0.03
PRES PERF PROG,-0.53,0.53
MOD is to ~ PRES PERF,-0.53,0.53
FUT ~ PRES PART,-0.53,0.53
FUT ~ MOD would,-0.53,0.53
PRES PART ~ TO INF,-0.53,0.53
IMPV ~ PRES,0.47,-0.47
IMPV ~ PRES PART,0.47,-0.47
MOD can ~ PAST,-0.53,0.53
MOD could ~ MOD might,0.47,-0.47
MOD might ~ PRES PERF,-0.53,0.53
PAST ~ PAST PERF PROG,0.47,-0.47
MOD let ~ MOD may,0.47,-0.47
MOD must ~ PAST,-0.53,0.53
MOD let ~ PRES,0.47,-0.47
PAST PROG ~ PRES PERF PROG,0.47,-0.47
PAST PROG ~ PRES PERF,-0.53,0.53
PAST PROG ~ PRES PART,-0.53,0.53
MOD let ~ PRES PART,0.47,-0.47
PAST PERF ~ TO INF,0.47,-0.47
MOD may,-0.53,0.53
MOD would ~ PRES,0.47,-0.47
MOD may ~ PRES,-0.53,0.53
MOD should ~ TO INF,0.47,-0.47
MOD should ~ PRES,-0.53,0.53
MOD should ~ MOD would,-0.53,0.53
MOD must ~ PRES,-0.53,0.53
??VB ~ PAST,0.47,-0.47
