eng_TAMsimp,1,0
PAST,0.53,0.47
PAST ~ PRES PART,0.63,0.37
PRES,0.54,0.46
PAST ~ PAST PERF,0.59,0.41
PRES PERF,0.56,0.44
PAST ~ PRES PERF,0.53,0.47
PAST ~ PRES,0.52,0.48
PAST ~ TO INF,0.49,0.51
PAST PERF,0.38,0.62
PRES ~ PRES PERF,0.53,0.47
PAST ~ PAST PROG,0.19,0.81
PRES PART,0.69,0.31
FUT ~ PRES,0.44,0.56
MOD would,0.58,0.42
MOD could ~ PAST,0.0,1.0
TO INF,0.7,0.3
FUT ~ PAST,0.5,0.5
MOD let ~ PAST,0.67,0.33
PRES ~ PRES PART,0.33,0.67
PRES ~ TO INF,0.6,0.4
PRES PART ~ PRES PERF,0.6,0.4
PAST PROG,0.2,0.8
PRES ~ PRES PROG,0.4,0.6
MOD would ~ PAST,0.8,0.2
IMPV ~ PAST,1.0,0.0
FUT ~ PRES PERF,1.0,0.0
PAST PERF ~ PRES PERF,0.5,0.5
PAST PERF ~ PRES PART,0.33,0.67
PRES PERF ~ TO INF,1.0,0.0
PAST ~ VB,1.0,0.0
MOD let,1.0,0.0
FUT ~ MOD shall,0.33,0.67
FUT,0.5,0.5
PRES PERF ~ PRES PROG,0.0,1.0
MOD may ~ PAST,0.0,1.0
MOD can ~ PRES,0.5,0.5
PRES PERF PROG,0.0,1.0
MOD is to ~ PRES PERF,0.0,1.0
FUT ~ PRES PART,0.0,1.0
FUT ~ MOD would,0.0,1.0
PRES PART ~ TO INF,0.0,1.0
IMPV ~ PRES,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
MOD can ~ PAST,0.0,1.0
MOD could ~ MOD might,1.0,0.0
MOD might ~ PRES PERF,0.0,1.0
PAST ~ PAST PERF PROG,1.0,0.0
MOD let ~ MOD may,1.0,0.0
MOD must ~ PAST,0.0,1.0
MOD let ~ PRES,1.0,0.0
PAST PROG ~ PRES PERF PROG,1.0,0.0
PAST PROG ~ PRES PERF,0.0,1.0
PAST PROG ~ PRES PART,0.0,1.0
MOD let ~ PRES PART,1.0,0.0
PAST PERF ~ TO INF,1.0,0.0
MOD may,0.0,1.0
MOD would ~ PRES,1.0,0.0
MOD may ~ PRES,0.0,1.0
MOD should ~ TO INF,1.0,0.0
MOD should ~ PRES,0.0,1.0
MOD should ~ MOD would,0.0,1.0
MOD must ~ PRES,0.0,1.0
??VB ~ PAST,1.0,0.0
