eng_TAMsimp,prose,prophetic,poetry,list,instruction
PAST,1.19,13.3,32.57,37.72,41.1
PAST ~ PRES PART,1.15,14.0,32.67,49.0,98.0
PRES,7.8,2.71,2.03,195.0,195.0
PAST ~ PAST PERF,1.15,15.25,91.5,26.14,61.0
PRES PERF,1.72,4.92,5.87,182.0,26.0
PAST ~ PRES PERF,2.07,2.9,6.44,inf,58.0
PAST ~ PRES,2.66,3.44,4.04,93.0,13.29
PAST ~ TO INF,1.13,13.0,78.0,inf,39.0
PAST PERF,1.3,28.0,56.0,5.6,inf
PRES ~ PRES PERF,5.0,2.65,2.5,45.0,inf
PAST ~ PAST PROG,1.12,13.5,inf,27.0,inf
PRES PART,1.18,6.5,inf,inf,inf
FUT ~ PRES,inf,2.0,2.25,inf,18.0
MOD would,1.5,6.0,6.0,inf,inf
MOD could ~ PAST,1.1,11.0,inf,inf,inf
TO INF,1.67,5.0,5.0,inf,inf
FUT ~ PAST,inf,1.6,2.67,inf,inf
MOD let ~ PAST,1.5,6.0,6.0,inf,inf
PRES ~ PRES PART,inf,3.0,1.5,inf,inf
PRES ~ TO INF,inf,2.5,1.67,inf,inf
PRES PART ~ PRES PERF,2.5,2.5,inf,inf,5.0
PAST PROG,1.0,inf,inf,inf,inf
PRES ~ PRES PROG,1.25,5.0,inf,inf,inf
MOD would ~ PAST,1.25,inf,5.0,inf,inf
IMPV ~ PAST,1.25,5.0,inf,inf,inf
FUT ~ PRES PERF,inf,1.67,2.5,inf,inf
PAST PERF ~ PRES PERF,1.33,inf,4.0,inf,inf
PAST PERF ~ PRES PART,1.0,inf,inf,inf,inf
PRES PERF ~ TO INF,3.0,3.0,3.0,inf,inf
PAST ~ VB,1.5,inf,inf,3.0,inf
MOD let,1.0,inf,inf,inf,inf
FUT ~ MOD shall,inf,1.5,3.0,inf,inf
FUT,inf,2.0,2.0,inf,inf
PRES PERF ~ PRES PROG,2.0,2.0,inf,inf,inf
MOD may ~ PAST,2.0,inf,2.0,inf,inf
MOD can ~ PRES,inf,2.0,2.0,inf,inf
PRES PERF PROG,1.0,inf,inf,inf,inf
MOD is to ~ PRES PERF,inf,1.0,inf,inf,inf
FUT ~ PRES PART,inf,1.0,inf,inf,inf
FUT ~ MOD would,inf,inf,1.0,inf,inf
PRES PART ~ TO INF,1.0,inf,inf,inf,inf
IMPV ~ PRES,inf,inf,1.0,inf,inf
IMPV ~ PRES PART,inf,inf,inf,1.0,inf
MOD can ~ PAST,inf,inf,1.0,inf,inf
MOD could ~ MOD might,1.0,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,1.0,inf,inf,inf
PAST ~ PAST PERF PROG,1.0,inf,inf,inf,inf
MOD let ~ MOD may,inf,inf,1.0,inf,inf
MOD must ~ PAST,inf,inf,1.0,inf,inf
MOD let ~ PRES,1.0,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,1.0,inf,inf,inf,inf
PAST PROG ~ PRES PERF,1.0,inf,inf,inf,inf
PAST PROG ~ PRES PART,1.0,inf,inf,inf,inf
MOD let ~ PRES PART,1.0,inf,inf,inf,inf
PAST PERF ~ TO INF,1.0,inf,inf,inf,inf
MOD may,inf,inf,1.0,inf,inf
MOD would ~ PRES,inf,inf,1.0,inf,inf
MOD may ~ PRES,inf,1.0,inf,inf,inf
MOD should ~ TO INF,1.0,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,1.0,inf,inf
MOD should ~ MOD would,1.0,inf,inf,inf,inf
MOD must ~ PRES,inf,1.0,inf,inf,inf
??VB ~ PAST,1.0,inf,inf,inf,inf
