,N,Q,?
PAST,250.53,-250.86,-0.0
PAST ~ PRES PART,-1.15,1.16,0.0
PRES,-101.61,101.68,0.0
PAST ~ PAST PERF,4.19,-4.19,0.0
PRES PERF,-122.78,122.85,0.0
PAST ~ PRES PERF,-80.29,80.34,0.0
PAST ~ PRES,-27.6,27.62,0.0
PAST ~ TO INF,0.57,-0.57,0.0
PAST PERF,1.87,-1.88,0.0
PRES ~ PRES PERF,-24.1,24.12,0.0
PAST ~ PAST PROG,1.58,-1.58,0.0
PRES PART,-3.1,3.1,0.0
FUT ~ PRES,-5.97,5.97,0.0
MOD would,-1.61,1.61,0.0
MOD could ~ PAST,-0.0,0.0,0.0
TO INF,-1.29,1.29,0.0
FUT ~ PAST,-1.66,1.66,0.0
MOD let ~ PAST,-0.64,0.64,0.0
PRES ~ PRES PART,-3.38,3.38,0.0
PRES ~ TO INF,-4.1,4.1,0.0
PRES PART ~ PRES PERF,-4.1,4.1,0.0
PAST PROG,-0.0,0.0,0.0
PRES ~ PRES PROG,-4.1,4.1,0.0
MOD would ~ PAST,-0.25,0.25,0.0
IMPV ~ PAST,-0.0,0.0,0.0
FUT ~ PRES PERF,-1.56,1.57,0.0
PAST PERF ~ PRES PERF,-3.28,3.28,0.0
PAST PERF ~ PRES PART,-0.41,0.41,0.0
PRES PERF ~ TO INF,-2.46,2.46,0.0
PAST ~ VB,-0.41,0.41,0.0
MOD let,-0.41,0.41,0.0
FUT ~ MOD shall,-2.46,2.46,0.0
FUT,-1.64,1.64,0.0
PRES PERF ~ PRES PROG,-1.64,1.64,0.0
MOD may ~ PAST,-0.55,0.55,0.0
MOD can ~ PRES,-0.0,0.0,0.0
PRES PERF PROG,-0.82,0.82,0.0
MOD is to ~ PRES PERF,-0.82,0.82,0.0
FUT ~ PRES PART,-0.82,0.82,0.0
FUT ~ MOD would,-0.82,0.82,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0
IMPV ~ PRES,-0.82,0.82,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0
MOD can ~ PAST,-0.82,0.82,0.0
MOD could ~ MOD might,-0.82,0.82,0.0
MOD might ~ PRES PERF,-0.82,0.82,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0
MOD let ~ MOD may,-0.82,0.82,0.0
MOD must ~ PAST,-0.82,0.82,0.0
MOD let ~ PRES,-0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.82,0.82,0.0
PAST PROG ~ PRES PERF,-0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0
MOD may,-0.82,0.82,0.0
MOD would ~ PRES,-0.82,0.82,0.0
MOD may ~ PRES,-0.82,0.82,0.0
MOD should ~ TO INF,-0.82,0.82,0.0
MOD should ~ PRES,-0.82,0.82,0.0
MOD should ~ MOD would,-0.0,0.0,0.0
MOD must ~ PRES,-0.0,0.0,0.0
??VB ~ PAST,-0.82,0.82,0.0
