eng_TAMsimp,N,Q,?
PAST,0.12,8.22,5732.0
PAST ~ PRES PART,0.25,4.03,inf
PRES,5.09,0.2,inf
PAST ~ PAST PERF,0.06,17.3,inf
PRES PERF,13.0,0.08,inf
PAST ~ PRES PERF,15.57,0.06,inf
PAST ~ PRES,1.91,0.52,inf
PAST ~ TO INF,0.11,8.75,inf
PAST PERF,0.04,27.0,inf
PRES ~ PRES PERF,5.43,0.18,inf
PAST ~ PAST PROG,0.0,inf,inf
PRES PART,0.73,1.36,inf
FUT ~ PRES,2.0,0.5,inf
MOD would,0.71,1.4,inf
MOD could ~ PAST,0.1,10.0,inf
TO INF,0.67,1.5,inf
FUT ~ PAST,1.0,1.0,inf
MOD let ~ PAST,0.5,2.0,inf
PRES ~ PRES PART,5.0,0.2,inf
PRES ~ TO INF,inf,0.0,inf
PRES PART ~ PRES PERF,inf,0.0,inf
PAST PROG,0.0,inf,inf
PRES ~ PRES PROG,inf,0.0,inf
MOD would ~ PAST,0.25,4.0,inf
IMPV ~ PAST,0.0,inf,inf
FUT ~ PRES PERF,1.5,0.67,inf
PAST PERF ~ PRES PERF,inf,0.0,inf
PAST PERF ~ PRES PART,0.5,2.0,inf
PRES PERF ~ TO INF,inf,0.0,inf
PAST ~ VB,0.5,2.0,inf
MOD let,0.5,2.0,inf
FUT ~ MOD shall,inf,0.0,inf
FUT,inf,0.0,inf
PRES PERF ~ PRES PROG,inf,0.0,inf
MOD may ~ PAST,1.0,1.0,inf
MOD can ~ PRES,0.0,inf,inf
PRES PERF PROG,inf,0.0,inf
MOD is to ~ PRES PERF,inf,0.0,inf
FUT ~ PRES PART,inf,0.0,inf
FUT ~ MOD would,inf,0.0,inf
PRES PART ~ TO INF,0.0,inf,inf
IMPV ~ PRES,inf,0.0,inf
IMPV ~ PRES PART,0.0,inf,inf
MOD can ~ PAST,inf,0.0,inf
MOD could ~ MOD might,inf,0.0,inf
MOD might ~ PRES PERF,inf,0.0,inf
PAST ~ PAST PERF PROG,0.0,inf,inf
MOD let ~ MOD may,inf,0.0,inf
MOD must ~ PAST,inf,0.0,inf
MOD let ~ PRES,0.0,inf,inf
PAST PROG ~ PRES PERF PROG,inf,0.0,inf
PAST PROG ~ PRES PERF,0.0,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf
MOD let ~ PRES PART,0.0,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf
MOD may,inf,0.0,inf
MOD would ~ PRES,inf,0.0,inf
MOD may ~ PRES,inf,0.0,inf
MOD should ~ TO INF,inf,0.0,inf
MOD should ~ PRES,inf,0.0,inf
MOD should ~ MOD would,0.0,inf,inf
MOD must ~ PRES,0.0,inf,inf
??VB ~ PAST,inf,0.0,inf
