,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,prophetic,poetry
,N,Q,Q,N,Q,N,N,N,Q,Q,?,?
PAST,4.95,0.24,0.19,1.22,0.18,1.33,1.16,0.2,0.21,0.57,inf,inf
PAST ~ PRES PART,1.02,1.92,1.01,0.49,0.82,0.82,0.26,0.0,1.36,0.0,0.0,0.0
PAST ~ PAST PERF,1.88,0.25,0.57,0.92,0.28,1.54,0.82,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.01,21.46,5.43,0.13,3.89,0.21,0.0,4.89,12.07,0.0,0.0,0.0
PRES,0.01,1.45,10.37,1.05,21.52,0.0,0.0,11.98,1.6,0.0,0.0,0.0
?PAST ~ PAST,0.76,0.77,0.5,0.77,1.51,0.62,7.14,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.01,12.58,11.02,0.42,4.29,0.0,0.0,1.2,4.8,0.0,0.0,0.0
?PAST,1.34,0.62,1.04,0.7,0.76,0.76,1.5,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.08,2.53,8.21,0.3,4.66,0.49,0.0,16.44,29.12,0.0,0.0,0.0
PAST ~ TO INF,1.78,0.91,0.89,0.67,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.95,0.28,0.0,0.87,0.0,8.73,0.0,2.47,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.03,2.13,9.58,0.58,14.91,0.0,0.0,6.92,0.0,79.86,0.0,0.0
PAST ~ PAST PROG,2.61,0.0,0.0,1.85,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.44,5.66,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.0,0.0,13.61,5.81,6.31,0.0,0.0,20.81,18.6,0.0,0.0,0.0
?PRES,0.0,0.0,12.74,1.93,15.85,0.0,0.0,24.59,0.0,0.0,0.0,0.0
?PRES ~ PRES,0.0,0.0,9.04,1.93,21.78,3.19,0.0,11.15,0.0,0.0,0.0,0.0
MOD would,0.39,1.53,4.51,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,1.47,1.53,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.41,1.91,5.8,0.0,0.0,0.0,0.0,16.73,0.0,0.0,0.0,0.0
?VB ~ PAST,0.04,12.26,0.0,2.9,7.2,0.0,6.18,0.0,0.0,0.0,0.0,0.0
?PRES ~ PAST,0.05,11.48,8.11,0.0,0.0,0.0,0.0,22.32,0.0,0.0,0.0,0.0
FUT ~ PAST,0.0,0.0,4.05,11.61,25.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PART,0.65,3.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.0,3.82,0.0,0.0,6.29,25.62,12.37,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.0,10.19,13.53,0.0,0.0,0.0,0.0,0.0,65.14,0.0,0.0,0.0
FUT ~ PRES PERF,0.0,0.0,5.06,15.49,16.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,0.0,45.92,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.98,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ PAST,0.11,15.29,0.0,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.0,0.0,6.75,0.0,25.21,0.0,0.0,44.64,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,0.65,0.0,0.0,0.0,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES,0.65,0.0,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?VB,0.0,0.0,0.0,0.0,12.58,0.0,99.34,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.0,0.0,10.13,0.0,50.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.65,0.0,0.0,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.65,7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,0.0,0.0,40.59,0.0,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.65,7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,7.63,10.13,0.0,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST,0.33,0.0,0.0,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,15.27,20.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES,0.33,0.0,20.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,0.0,0.0,20.26,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ ?PRES PERF,0.0,0.0,20.26,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PAST,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF,0.0,15.27,0.0,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.0,0.0,0.0,23.19,0.0,0.0,0.0,133.95,0.0,0.0,0.0,0.0
??VB ~ ?PAST question,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.33,0.0,0.0,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PART,0.0,0.0,20.26,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST question,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST do-support ~ PAST,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ MOD let,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ TO INF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD would ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ ?PAST question,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST PERF ~ PAST PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES PART,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
?FUT ~ ?PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PRES PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PAST,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PRES ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
