period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
genre,prose,prose,prose,instruction,list,prose,list,poetry,poetry,instruction,list,prophetic,poetry,poetry
domain2,N,N,Q,N,N,Q,N,Q,Q,Q,Q,Q,N,N
eng_TAMsimp,,,,,,,,,,,,,,
PAST,7308,1336,400,210,184,104,111,43,35,12,4,2,1,1
PAST ~ PRES PART,118,21,11,1,3,10,1,1,2,1,0,0,0,0
PAST ~ PAST PERF,117,30,2,3,5,1,2,0,1,0,0,0,0,0
?PAST ~ PAST,76,10,4,15,0,2,2,0,0,0,0,0,0,0
PRES PERF,4,1,65,0,0,26,1,3,1,7,0,0,0,0
?PAST,66,14,3,3,0,1,2,0,1,0,0,0,0,0
PAST ~ TO INF,50,9,3,2,0,1,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,3,1,41,0,0,8,0,4,0,2,0,0,0,0
PAST PERF,33,7,0,0,10,1,0,0,0,0,0,0,0,0
PAST ~ PRES,13,3,11,0,0,0,1,1,0,7,0,0,0,0
PAST ~ PAST PROG,23,1,0,0,0,0,1,0,0,0,0,0,0,0
PRES,5,2,11,0,0,2,0,2,0,1,0,0,0,0
PRES PART,12,3,5,0,0,1,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,3,1,5,0,0,0,0,2,0,0,1,0,0,0
MOD could ~ PAST,6,3,1,0,0,0,0,0,0,0,0,0,0,0
?VB ~ PAST,1,0,3,1,0,1,0,0,0,0,0,0,0,0
MOD would,5,0,1,0,0,0,0,0,0,0,0,0,0,0
?PAST ~ PRES PART,3,1,1,0,0,0,0,0,0,0,0,0,0,0
PAST PROG,5,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,2,2,1,0,0,0,0,0,0,0,0,0,0,0
?VB,0,0,1,1,0,0,2,0,0,0,0,0,0,0
?PRES ~ PAST,1,0,3,0,0,0,0,0,0,0,0,0,0,0
