,prose,prophetic,poetry,instruction,list
PAST ~ PRES PART,11.14,-4.68,-4.88,-1.33,0.12
PAST ~ PAST PERF,10.68,-4.62,-7.66,-0.74,1.56
?PAST ~ PAST,1.38,-3.79,-1.47,5.32,0.0
PAST ~ PRES PERF,-4.99,6.85,0.68,-0.38,-0.61
PAST ~ PRES,-8.65,2.42,3.59,1.81,0.0
PAST ~ TO INF,5.5,-1.68,-3.53,0.0,-0.2
PRES ~ PRES PERF,-8.57,2.34,6.34,-0.4,0.28
PAST ~ PAST PROG,1.92,-0.53,-1.2,-0.21,0.41
FUT ~ PRES,-7.25,3.79,1.68,0.38,0.0
?PRES ~ PRES,-6.27,1.31,3.69,0.0,0.68
MOD could ~ PAST,0.95,-0.15,-0.2,0.0,0.0
?VB ~ PAST,-0.31,0.0,0.56,0.56,0.0
?PRES ~ PAST,-0.16,0.48,0.24,0.0,0.0
?PAST ~ PRES PART,0.17,-0.0,0.0,0.0,0.0
FUT ~ PAST,-2.88,1.21,1.65,0.0,0.0
PRES PART ~ PRES PERF,-0.47,0.71,0.0,0.78,0.0
FUT ~ PRES PERF,-2.39,1.46,0.99,0.0,0.0
PRES ~ PRES PART,-1.91,0.29,2.27,0.0,0.0
MOD would ~ PAST,-0.0,0.0,0.41,0.0,0.0
PRES ~ PRES PROG,0.51,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,-0.0,0.0,0.41,0.0,0.0
?PAST did not ~ PAST,-0.0,0.29,0.0,0.0,0.0
?PAST ~ ?VB,-1.43,0.0,0.51,2.45,0.0
?TO INF ~ PAST,0.26,0.0,0.0,0.0,0.0
MOD let ~ PAST,-0.0,0.0,0.51,0.0,0.0
?PAST ~ PRES,-0.0,0.38,0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.38,0.0,0.0,0.0
PRES ~ TO INF,-1.43,0.38,1.44,0.0,0.0
FUT ~ MOD shall,-1.43,1.13,0.51,0.0,0.0
PRES PERF ~ TO INF,-0.59,0.38,0.51,0.0,0.0
PAST PERF ~ PRES PART,0.26,0.0,0.0,0.0,0.0
?VB ~ PRES PERF,0.26,0.0,0.0,0.0,0.0
?FUT ~ PAST,-0.96,1.56,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.52,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.67,0.0,0.0
?PRES PERF ~ PRES,0.26,0.0,0.0,0.0,0.0
?PRES ~ ?PRES PERF,-0.96,0.52,0.67,0.0,0.0
?PRES ~ PRES PART,-0.96,0.52,0.67,0.0,0.0
?PRES ~ PRES PERF,-0.96,1.56,0.0,0.0,0.0
?VB ~ PRES,0.0,0.52,0.0,0.0,0.0
?PAST ~ IMPV,0.26,0.0,0.0,0.0,0.0
??VB ~ ?PAST question,0.26,0.0,0.0,0.0,0.0
MOD can ~ PRES,-0.96,0.52,0.67,0.0,0.0
?FUT ~ PRES,-0.48,0.0,0.94,0.0,0.0
??VB ~ PAST,-0.48,0.78,0.0,0.0,0.0
??PAST ~ ?TO INF,-0.0,0.0,0.0,0.0,0.0
?PAST ~ ?TO INF,-0.0,0.0,0.0,0.0,0.0
??PAST ~ PAST,-0.0,0.0,0.0,0.0,0.0
??PRES ~ PAST,-0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ TO INF,-0.48,0.78,0.0,0.0,0.0
?PAST wh-question ~ PAST,-0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ MOD let,-0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,-0.0,0.0,0.0,0.0,0.0
??VB ~ PRES,-0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES PART,-0.48,0.78,0.0,0.0,0.0
