,prose,prophetic,poetry,instruction,list
PAST ~ PRES PART,4.03,0.32,0.21,0.25,1.26
PAST ~ PAST PERF,3.98,0.31,0.07,0.41,3.02
?PAST ~ PAST,1.58,0.27,0.43,5.75,0.9
PAST ~ PRES PERF,0.4,3.34,1.45,0.47,0.0
PAST ~ PRES,0.23,2.27,3.01,3.11,0.71
PAST ~ TO INF,4.94,0.36,0.0,0.78,0.0
PRES ~ PRES PERF,0.13,2.75,6.25,0.0,1.42
PAST ~ PAST PROG,4.11,0.39,0.0,0.0,2.21
FUT ~ PRES,0.0,7.89,4.0,1.99,0.0
?PRES ~ PRES,0.0,3.2,9.55,0.0,4.87
MOD could ~ PAST,5.06,0.5,0.0,0.0,0.0
?VB ~ PAST,0.62,0.62,2.23,3.5,0.0
?PRES ~ PAST,0.66,2.02,1.29,0.0,0.0
?PAST ~ PRES PART,2.51,1.0,0.0,0.0,0.0
FUT ~ PAST,0.0,5.09,7.92,0.0,0.0
PRES PART ~ PRES PERF,0.33,3.37,0.0,7.02,0.0
FUT ~ PRES PERF,0.0,7.64,5.23,0.0,0.0
PRES ~ PRES PART,0.0,1.68,23.82,0.0,0.0
MOD would ~ PAST,1.5,0.0,2.59,0.0,0.0
PRES ~ PRES PROG,inf,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,1.5,0.0,2.59,0.0,0.0
?PAST did not ~ PAST,1.5,1.68,0.0,0.0,0.0
?PAST ~ ?VB,0.0,0.0,3.9,58.0,0.0
?TO INF ~ PAST,inf,0.0,0.0,0.0,0.0
MOD let ~ PAST,1.0,0.0,3.9,0.0,0.0
?PAST ~ PRES,1.0,2.52,0.0,0.0,0.0
IMPV ~ PAST,1.0,2.52,0.0,0.0,0.0
PRES ~ TO INF,0.0,2.52,15.74,0.0,0.0
FUT ~ MOD shall,0.0,10.14,3.9,0.0,0.0
PRES PERF ~ TO INF,0.25,2.52,3.9,0.0,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0,0.0,0.0
?VB ~ PRES PERF,inf,0.0,0.0,0.0,0.0
?FUT ~ PAST,0.0,inf,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.5,5.04,0.0,0.0,0.0
MOD may ~ PAST,0.5,0.0,7.8,0.0,0.0
?PRES PERF ~ PRES,inf,0.0,0.0,0.0,0.0
?PRES ~ ?PRES PERF,0.0,5.04,7.8,0.0,0.0
?PRES ~ PRES PART,0.0,5.04,7.8,0.0,0.0
?PRES ~ PRES PERF,0.0,inf,0.0,0.0,0.0
?VB ~ PRES,0.5,5.04,0.0,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0,0.0,0.0
??VB ~ ?PAST question,inf,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.0,5.04,7.8,0.0,0.0
?FUT ~ PRES,0.0,0.0,inf,0.0,0.0
??VB ~ PAST,0.0,inf,0.0,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0
?PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0
