,Main,SubAdv,SubMod
FUT,10.89,-10.73,0.0
FUT ~ MOD shall,5.26,-5.13,0.0
PRES,-27.24,27.7,0.0
IMPV ~ MOD shall,6.92,-6.71,0.0
IMPV,5.62,-5.4,0.0
MOD is to ~ MOD shall,3.84,-3.84,0.0
PAST,-4.14,2.75,4.32
MOD shall,2.14,-2.15,0.0
MOD must ~ MOD shall,0.42,-0.42,0.0
FUT ~ PRES,-0.22,0.22,0.0
MOD may,0.28,-0.28,0.0
PAST ~ PRES,0.13,-0.14,0.0
MOD shall ~ PRES,-0.0,0.0,0.0
FUT ~ MOD may,0.57,-0.57,0.0
PRES PERF,-1.4,1.42,0.0
MOD shall ~ TO INF,0.2,-0.2,0.0
PRES ~ PRES PART,-6.51,6.56,0.0
PRES ~ PRES PERF,-2.62,2.65,0.0
MOD would,-0.21,0.22,0.0
TO INF,-0.62,0.63,0.0
FUT ~ MOD lest,-0.65,0.66,0.0
MOD would ~ PAST,-0.65,0.66,0.0
MOD may ~ TO INF,-0.67,0.68,0.0
MOD may ~ PRES,-2.16,2.19,0.0
MOD let,-0.0,0.0,0.0
FUT ~ IMPV,-0.0,0.0,0.0
PRES ~ TO INF,-1.49,1.51,0.0
MOD may ~ MOD shall,-0.0,0.0,0.0
PAST ~ PRES PART,-0.0,0.0,0.0
FUT ~ TO INF,-0.34,0.35,0.0
MOD shall ~ PRES PART,-0.0,0.0,0.0
IMPV ~ PRES,-0.97,0.99,0.0
IMPV ~ MOD let,-0.0,0.0,0.0
PRES PART,-2.85,2.87,0.0
IMPV ~ TO INF,-1.08,1.09,0.0
PAST ~ PRES PERF,-0.41,0.41,0.0
FUT ~ MOD let,-0.0,0.0,0.0
FUT ~ PRES PART,-0.0,0.0,0.0
MOD can ~ MOD may,-0.0,0.0,0.0
FUT ~ MOD would,-0.0,0.0,0.0
MOD can ~ MOD shall,-0.0,0.0,0.0
MOD shall ~ PAST,-0.0,0.0,0.0
MOD let ~ MOD shall,-0.0,0.0,0.0
MOD is to ~ PRES,-0.0,0.0,0.0
MOD is to ~ MOD let,-0.0,0.0,0.0
MOD let ~ MOD may,-0.0,0.0,0.0
FUT ~ PAST,-0.58,0.59,0.0
MOD is to ~ PAST,-0.0,0.0,0.0
MOD lest ~ MOD may,-0.0,0.0,0.0
PAST ~ TO INF,-1.59,1.6,0.0
MOD lest ~ TO INF,-1.59,1.6,0.0
PAST ~ PAST PROG,-0.63,0.64,0.0
MOD shall ~ PRES PERF,-0.0,0.0,0.0
FUT ~ PRES PERF,-1.72,1.74,0.0
IMPV ~ MOD lest,-0.76,0.77,0.0
MOD shall ~ MOD would,-0.0,0.0,0.0
MOD may ~ MOD must,-1.89,1.9,0.0
MOD can,-1.89,1.9,0.0
