,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,jussM,infa,jussF,cohoT,cohoM
FUT,1.88,-0.13,0.44,-1.73,-9.47,8.34,-4.7,0.11,-2.22,-1.21,-0.33,0.17,-0.0
FUT ~ MOD shall,7.42,-0.0,-0.98,-2.44,-12.57,2.79,-4.58,-1.64,-1.46,-0.3,-0.0,0.0,0.0
PRES,-17.61,15.14,-0.58,2.68,-2.17,0.6,-1.19,10.54,0.0,-0.44,0.22,0.0,0.0
IMPV ~ MOD shall,8.16,0.09,-0.51,-8.58,-0.48,-3.12,-2.41,-1.06,0.12,-0.29,0.0,0.0,0.0
IMPV,-10.47,-16.56,-2.23,-1.5,128.2,-3.69,-1.84,0.1,1.59,13.4,0.33,0.0,0.0
MOD is to ~ MOD shall,6.13,-0.05,-0.23,-1.5,-1.31,-3.81,-1.67,-1.31,-0.14,0.15,0.0,0.0,0.0
PAST,-10.1,-10.02,0.72,28.58,-3.94,-0.65,40.47,0.0,-0.4,0.0,0.0,0.0,0.0
MOD shall,12.67,-3.23,0.61,-4.71,-2.22,-2.06,-0.93,-0.76,-0.4,-0.2,0.0,0.0,0.0
MOD must ~ MOD shall,-2.4,0.41,16.58,-0.61,-2.89,-1.82,-0.56,-0.38,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,-1.68,2.51,-0.67,0.78,-0.09,0.09,0.0,0.89,0.0,0.0,0.0,0.0,0.0
MOD may,-1.2,1.38,0.0,-0.49,0.63,-0.92,0.22,0.27,4.15,0.0,0.0,0.0,0.0
PAST ~ PRES,3.0,-3.5,-0.31,1.17,-1.13,-0.93,2.75,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,-0.37,0.06,0.88,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.02,0.0,0.0
FUT ~ MOD may,0.05,0.47,0.35,-0.24,0.0,-0.76,0.0,0.34,0.0,0.0,0.0,0.0,0.0
PRES PERF,-4.31,-0.37,1.22,5.99,0.17,-0.39,1.92,0.0,0.0,0.73,0.0,0.0,0.0
MOD shall ~ TO INF,1.25,0.08,-0.14,-0.59,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-0.35,0.3,-0.14,0.16,-0.2,0.93,0.5,0.58,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-4.88,1.74,0.81,2.98,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.07,-0.09,-0.14,0.17,-0.2,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,-1.34,3.27,-0.58,-0.39,0.97,-0.2,0.0,0.0,0.0,0.0,1.36,0.0,0.0
FUT ~ MOD lest,-1.61,4.99,-0.59,0.0,-0.2,-0.2,0.0,0.0,0.0,0.0,1.38,0.0,0.0
MOD would ~ PAST,0.66,-1.04,-0.14,1.76,-0.2,-0.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,1.34,-0.6,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-0.41,1.17,0.0,-0.4,-0.21,0.0,1.48,0.0,0.88,0.0,0.0,0.0,0.0
MOD let,-1.55,-0.71,0.62,0.0,-0.0,0.21,0.0,0.0,3.46,0.94,1.44,5.81,0.0
FUT ~ IMPV,0.97,-0.56,0.0,-0.2,0.23,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-0.19,1.0,0.7,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,-0.31,0.39,1.28,-0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.09,-1.73,-0.41,2.44,0.0,0.0,0.68,0.75,0.0,1.02,0.0,0.0,0.0
FUT ~ TO INF,-0.09,-0.0,0.0,0.0,0.27,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.88,-0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.1,0.12,-0.2,0.59,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,-0.0,-0.68,-0.21,0.0,2.5,0.0,0.0,0.0,1.04,0.0,1.61,0.0,0.0
PRES PART,-0.0,-0.27,0.0,1.24,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,0.11,-1.32,0.0,0.0,2.63,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,-3.58,-0.49,0.0,6.54,0.0,0.0,1.87,0.86,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,-0.0,-0.5,-0.0,0.0,0.36,1.01,0.0,0.0,0.0,0.0,0.0,0.0,2.07
FUT ~ PRES PART,0.24,-0.0,-0.21,0.26,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.11,0.14,0.22,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.52,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11
MOD can ~ MOD shall,-0.0,0.0,0.71,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,1.01,-0.16,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,-0.29,0.34,0.27,0.0,0.46,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.31,-0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,0.78,-0.68,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,-0.0,-0.16,0.0,0.38,0.0,0.52,0.0,0.0,1.28,0.0,0.0,0.0,0.0
FUT ~ PAST,-0.54,1.65,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PAST,0.56,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,-0.34,0.0,0.35,1.15,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,0.14,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-0.9,0.0,2.91,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,-0.0,-0.46,0.0,1.27,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,-0.66,-0.46,0.0,2.33,0.6,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.17,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,-0.42,1.04,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,-1.2,0.0,0.0,1.43,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,-1.2,1.88,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.9,1.35,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,-0.9,-0.0,0.54,0.63,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.45,-0.24,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,-0.2,-0.24,1.45,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-0.9,-0.24,0.0,2.98,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,-0.0,-0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0
MOD let ~ TO INF,-0.9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.0,0.0,2.3,0.0
FUT ~ FUT PERF,-0.0,-0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,-0.9,0.62,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD may,0.0,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,-0.6,0.0,0.0,0.74,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD would,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.21,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.21,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,-0.6,0.25,0.0,0.0,0.0,0.89,1.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.0,0.25,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,-0.6,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,-0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,-0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
