eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,jussM,infa,jussF,cohoT,cohoM
FUT,0.95,3.26,10.46,18.54,56.78,12.29,331.25,82.06,663.5,442.0,1328.0,663.5,1328.0
FUT ~ MOD shall,0.79,3.19,13.51,21.06,104.9,14.81,528.5,210.8,528.5,263.75,528.5,1058.0,inf
PRES,2.37,1.54,13.91,9.04,43.73,17.22,245.0,18.68,163.0,491.0,491.0,inf,inf
IMPV ~ MOD shall,0.61,3.11,13.82,137.33,26.67,68.17,inf,414.0,137.33,414.0,inf,inf,inf
IMPV,2.21,13.33,21.93,25.46,1.25,113.67,inf,85.0,56.33,18.11,343.0,inf,inf
MOD is to ~ MOD shall,0.61,3.28,13.0,27.0,43.0,153.0,inf,inf,307.0,153.0,inf,inf,inf
PAST,2.8,13.64,8.32,2.15,inf,40.0,3.88,101.5,inf,204.0,inf,inf,inf
MOD shall,0.37,6.07,8.76,204.0,101.5,101.5,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,1.73,2.73,2.19,24.5,inf,152.0,inf,inf,152.0,inf,inf,inf,inf
FUT ~ PRES,1.68,1.75,21.0,9.0,26.5,21.0,109.0,35.67,inf,inf,inf,inf,inf
MOD may,1.75,1.87,12.2,32.0,12.2,inf,65.0,65.0,12.2,inf,inf,inf,inf
PAST ~ PRES,0.45,15.0,20.33,7.0,inf,inf,11.8,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,1.33,3.0,6.0,17.67,27.0,13.0,inf,inf,inf,inf,55.0,inf,inf
FUT ~ MOD may,1.0,2.38,8.0,26.0,26.0,inf,inf,53.0,inf,inf,inf,inf,inf
PRES PERF,6.0,4.83,4.83,1.92,16.5,inf,10.67,inf,inf,34.0,inf,inf,inf
MOD shall ~ TO INF,0.47,3.0,27.0,inf,inf,27.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,1.45,2.38,26.0,12.5,inf,8.0,26.0,26.0,inf,inf,inf,inf,inf
PRES ~ PRES PERF,12.0,1.17,5.5,2.71,inf,25.0,inf,inf,inf,inf,inf,inf,inf
MOD would,0.92,4.0,24.0,11.5,inf,24.0,7.33,inf,inf,inf,inf,inf,inf
TO INF,2.57,0.79,inf,inf,7.33,inf,inf,inf,inf,inf,24.0,inf,inf
FUT ~ MOD lest,3.0,0.5,inf,23.0,inf,inf,inf,inf,inf,inf,23.0,inf,inf
MOD would ~ PAST,0.6,11.0,23.0,3.8,inf,inf,23.0,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,1.09,1.3,inf,22.0,inf,22.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,1.62,1.33,20.0,inf,inf,inf,9.5,inf,20.0,inf,inf,inf,inf
MOD let,3.2,9.5,6.0,20.0,20.0,20.0,inf,inf,6.0,20.0,20.0,6.0,inf
FUT ~ IMPV,0.46,8.5,18.0,inf,18.0,8.5,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,1.38,1.38,5.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,1.57,2.0,3.5,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf
