,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa
FUT,1.17,0.93,1.11,0.72,0.3,2.24,0.17,1.08,0.32
FUT ~ MOD shall,1.46,0.96,0.8,0.63,0.16,1.61,0.11,0.36,0.6
PRES,0.42,2.2,0.8,1.68,0.45,1.28,0.27,7.01,0.33
IMPV ~ MOD shall,1.82,1.01,0.8,0.1,0.76,0.3,0.0,0.2,0.39
IMPV,0.46,0.28,0.5,0.55,38.13,0.18,0.0,1.03,19.44
MOD is to ~ MOD shall,1.81,0.93,0.86,0.52,0.46,0.13,0.0,0.0,1.12
PAST,0.37,0.21,1.38,7.89,0.0,0.53,38.65,0.85,0.83
MOD shall,3.04,0.49,1.3,0.07,0.2,0.21,0.0,0.0,0.0
MOD must ~ MOD shall,0.61,1.15,5.65,0.58,0.0,0.14,0.0,0.0,0.0
FUT ~ PRES,0.63,1.74,0.53,1.62,0.77,1.02,0.65,2.51,0.0
MOD may,0.61,2.25,0.92,0.45,1.7,0.0,1.1,1.35,0.0
PAST ~ PRES,2.38,0.2,0.55,2.08,0.0,0.0,6.39,0.0,0.0
MOD shall ~ PRES,0.8,1.1,1.9,0.81,0.76,1.66,0.0,0.0,0.0
FUT ~ MOD may,1.07,1.27,1.42,0.55,0.79,0.0,0.0,1.65,0.0
PRES PERF,0.18,0.62,2.35,7.72,1.25,0.0,6.91,0.0,5.12
MOD shall ~ TO INF,2.27,1.01,0.42,0.0,0.0,0.79,0.0,0.0,0.0
PRES ~ PRES PART,0.74,1.27,0.43,1.15,0.0,2.7,2.77,3.39,0.0
PRES ~ PRES PERF,0.09,2.6,2.06,5.38,0.0,0.86,0.0,0.0,0.0
MOD would,1.16,0.75,0.47,1.25,0.0,0.89,10.07,0.0,0.0
TO INF,0.42,4.56,0.0,0.0,2.82,0.0,0.0,0.0,0.0
FUT ~ MOD lest,0.36,7.4,0.0,0.62,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,1.79,0.27,0.49,3.82,0.0,0.0,3.13,0.0,0.0
MOD may ~ TO INF,0.98,2.33,0.0,0.65,0.0,0.98,0.0,0.0,0.0
MOD may ~ PRES,0.66,2.75,0.56,0.0,0.0,0.0,7.68,0.0,0.0
MOD let,0.33,2.27,1.89,0.72,1.03,1.07,0.0,0.0,8.73
FUT ~ IMPV,2.33,0.35,0.63,0.0,1.14,2.54,0.0,0.0,0.0
PRES ~ TO INF,0.78,2.2,2.12,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.68,1.51,3.25,0.0,1.21,0.0,0.0,0.0,0.0
PAST ~ PRES PART,1.21,0.0,0.0,6.06,0.0,0.0,4.5,5.52,10.92
FUT ~ TO INF,0.83,1.0,0.75,0.96,1.37,3.08,0.0,0.0,0.0
MOD shall ~ PRES PART,2.36,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,1.23,1.1,0.0,2.22,1.47,0.0,0.0,0.0,0.0
IMPV ~ MOD let,1.07,0.82,0.0,0.0,8.32,0.0,0.0,0.0,0.0
PRES PART,1.07,0.5,0.87,3.94,0.0,0.0,5.54,0.0,0.0
IMPV ~ TO INF,1.25,0.25,0.94,0.0,9.25,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.0,0.25,0.94,23.48,0.0,0.0,13.28,7.36,0.0
FUT ~ MOD let,1.07,0.6,1.03,0.0,1.87,4.32,0.0,0.0,0.0
FUT ~ PRES PART,1.5,1.0,0.0,1.31,0.0,1.96,0.0,0.0,0.0
MOD can ~ MOD may,1.29,1.72,1.13,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.89,2.52,0.0,1.44,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,1.07,0.75,2.83,0.0,2.29,0.0,0.0,0.0,0.0
MOD shall ~ PAST,3.76,0.38,0.0,1.8,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,0.54,2.42,1.41,0.0,2.57,0.0,0.0,0.0,0.0
MOD is to ~ PRES,1.79,1.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0
MOD is to ~ MOD let,3.22,0.0,0.0,0.0,6.89,0.0,0.0,0.0,0.0
MOD let ~ MOD may,1.07,1.0,0.0,2.06,0.0,3.08,0.0,0.0,0.0
FUT ~ PAST,0.36,5.04,0.0,0.0,0.0,0.0,0.0,12.63,0.0
MOD is to ~ PAST,2.68,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.8,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.43,0.5,1.88,5.77,0.0,0.0,12.03,0.0,0.0
MOD lest ~ TO INF,1.43,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.18,0.5,15.18,0.0,0.0,0.0,12.03,0.0,0.0
MOD shall ~ PRES PERF,1.07,0.0,0.0,7.22,0.0,4.31,0.0,0.0,0.0
FUT ~ PRES PERF,0.21,0.0,0.0,14.48,4.12,4.31,0.0,0.0,0.0
IMPV ~ MOD lest,1.61,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,0.71,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.27,4.53,2.83,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.0,0.75,0.0,9.63,0.0,14.42,0.0,0.0,0.0
MOD would ~ PRES,0.0,12.09,0.0,3.6,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.71,0.75,0.0,0.0,13.78,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,9.06,0.0,0.0,0.0,0.0,0.0,29.49,0.0
HAB used to ~ PAST,0.0,1.0,3.77,4.8,0.0,0.0,24.07,0.0,0.0
IMPV ~ MOD may,3.22,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.36,0.0,11.33,0.0,0.0,7.18,0.0,0.0,0.0
PAST PERF,0.0,0.0,0.0,43.46,0.0,0.0,24.07,0.0,0.0
MOD shall ~ MOD should,1.07,1.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,1.07,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
