genre,domain2,TOTAL,FUT,FUT ~ MOD shall,PRES,IMPV ~ MOD shall,IMPV,MOD is to ~ MOD shall,PAST,MOD shall,MOD must ~ MOD shall,FUT ~ PRES,MOD may,PAST ~ PRES,MOD shall ~ PRES,FUT ~ MOD may,PRES PERF,MOD shall ~ TO INF,PRES ~ PRES PART,PRES ~ PRES PERF,MOD would,TO INF,FUT ~ MOD lest,MOD would ~ PAST,MOD may ~ TO INF,MOD may ~ PRES,MOD let,FUT ~ IMPV,PRES ~ TO INF,MOD may ~ MOD shall,PAST ~ PRES PART,FUT ~ TO INF,MOD shall ~ PRES PART,IMPV ~ PRES,IMPV ~ MOD let,PRES PART,IMPV ~ TO INF,PAST ~ PRES PERF,FUT ~ MOD let,FUT ~ PRES PART,MOD can ~ MOD may,FUT ~ MOD would,MOD can ~ MOD shall,MOD shall ~ PAST,MOD let ~ MOD shall,MOD is to ~ PRES,MOD is to ~ MOD let,MOD let ~ MOD may,FUT ~ PAST,MOD is to ~ PAST,MOD lest ~ MOD may,PAST ~ TO INF,MOD lest ~ TO INF,PAST ~ PAST PROG,MOD shall ~ PRES PERF,FUT ~ PRES PERF,IMPV ~ MOD lest,MOD shall ~ MOD would,MOD may ~ MOD must,MOD can,MOD would ~ PRES,IMPV ~ PAST,MOD should ~ PRES,HAB used to ~ PAST,IMPV ~ MOD may,IMPV ~ MOD must,PAST PERF,MOD shall ~ MOD should,FUT ~ MOD can,MOD let ~ TO INF,FUT ~ FUT PERF,MOD should,MOD could ~ MOD may,PAST ~ PAST PERF,MOD can ~ PRES,MOD should ~ TO INF,IMPV ~ MOD would,MOD VB ~ PRES,MOD is to ~ TO INF,HAB used to ~ MOD would,HAB used to,MOD was to,FUT ~ FUT going-to,IMPV ~ MOD is to,MOD that be ~ TO INF,MOD was to ~ PAST,PRES ~ PRES PROG,FUT ~ MOD must,IMPV ~ PRES PART,MOD would ~ PRES PART,FUT going-to ~ MOD shall,PRES PART ~ PRES PERF,MOD may ~ PRES PART,MOD can ~ MOD let,MOD lest ~ MOD might,MOD may ~ MOD should,MOD let ~ PRES,MOD must ~ PRES,MOD let ~ MOD must,MOD lest ~ PRES PART,MOD lest ~ MOD must,MOD must ~ PRES PART,MOD is to ~ MOD may,MOD let ~ PRES PART,MOD should ~ MOD would,MOD let ~ MOD should,MOD let ~ MOD would,MOD can ~ TO INF,MOD would ~ PRES PROG,FUT ~ MOD is to,FUT ~ MOD VB,MOD ~ MOD would,MOD would ~ TO INF,MOD must,FUT ~ FUT PROG,MOD might ~ MOD would,PAST PROG ~ TO INF,FUT PROG,FUT ~ MOD should,FUT ~ MOD that be,PAST PERF ~ PRES PART,MOD could,PRES PERF ~ TO INF,MOD let ~ MOD might,MOD might,MOD quest must ~ MOD shall,PRES ~ VB,MOD could ~ MOD would,MOD lest ~ PRES,HAB used to ~ PAST PROG,HAB used to ~ PRES PART,MOD could ~ TO INF,IMPV ~ MOD VB,MOD is to ~ MOD lest,MOD is to ~ PRES PART,MOD VB ~ MOD can
prophetic,Q,1926,788,575,141,30,101,4,34,3,4,42,8,7,18,26,11,4,4,4,2,6,5,2,0,4,2,12,6,1,0,7,0,3,0,1,5,7,8,7,0,2,0,5,3,1,0,1,1,1,2,2,1,1,3,4,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
prose,Q,1603,374,241,139,93,208,48,27,28,11,36,36,2,15,16,16,7,8,15,5,14,8,3,16,5,15,6,7,7,2,7,7,10,10,6,7,4,4,5,9,8,7,0,5,2,1,5,4,0,1,0,6,1,1,2,2,5,1,2,2,4,2,0,2,4,1,4,1,4,3,2,3,0,1,0,1,0,0,0,0,0,1,2,0,0,2,2,2,0,2,0,1,1,1,0,1,0,1,2,2,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1
instruction,Q,1328,61,157,91,281,31,233,5,139,129,12,19,5,21,9,5,16,7,5,0,3,4,0,5,9,1,0,6,9,0,1,8,1,4,1,1,0,0,0,2,0,2,3,1,4,7,0,1,4,0,0,0,0,1,0,1,0,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
poetry,Q,205,26,18,56,0,3,0,41,0,1,10,0,5,0,0,3,0,2,1,0,0,6,1,0,2,2,1,0,0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,N,115,0,0,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
instruction,D,102,4,1,34,9,0,3,0,22,5,2,3,0,0,2,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,?,97,45,37,6,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,N,59,0,0,0,0,0,0,3,0,0,0,0,45,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,D,56,31,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,?,53,0,5,6,2,0,18,0,13,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
