genre,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
person,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUT,-0.04,-0.19,-0.0,-0.12,0.4,-0.09,0.12,-0.04,-0.01,-0.03,0.02,-0.02,-0.01,0.04,-0.01,0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.35,-0.02,0.05,-0.07,-0.13,-0.07,-0.05,0.03,-0.01,-0.02,0.02,-0.02,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
PRES,0.03,0.01,0.03,-0.02,-0.08,-0.06,-0.01,-0.0,0.06,-0.02,-0.01,0.05,-0.01,-0.01,0.0,-0.0,0.01,-0.01,0.01,0.01,-0.0,-0.0,0.0,0.02,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.0
IMPV ~ MOD shall,-0.19,-0.11,-0.12,0.11,-0.12,0.59,-0.06,0.02,-0.02,-0.02,-0.02,-0.0,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,-0.18,-0.16,-0.12,0.52,-0.12,0.02,-0.06,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.17,0.57,-0.02,-0.05,-0.12,-0.01,-0.06,-0.06,-0.02,-0.02,-0.02,-0.0,-0.01,-0.01,0.05,-0.01,-0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.09,-0.14,-0.05,-0.11,-0.06,-0.07,0.01,-0.03,0.09,0.31,-0.02,-0.01,0.0,-0.01,-0.01,-0.01,0.07,0.05,0.01,-0.0,-0.0,0.04,-0.0,-0.0,0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
MOD shall,-0.17,0.49,-0.04,-0.07,-0.12,-0.02,-0.04,-0.05,-0.02,-0.02,-0.02,0.09,-0.01,-0.01,0.06,-0.01,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.16,0.56,-0.08,-0.08,-0.12,0.07,-0.06,-0.05,-0.02,-0.02,-0.02,0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,0.17,-0.1,-0.01,0.01,-0.07,-0.03,0.04,-0.06,0.02,-0.02,0.01,0.0,-0.01,-0.0,0.01,-0.01,0.0,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,0.02,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.08,0.03,0.05,0.16,-0.11,0.03,0.05,-0.03,-0.02,-0.02,-0.02,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,-0.1,-0.07,-0.1,-0.11,-0.1,-0.07,-0.04,-0.04,0.04,-0.02,-0.02,-0.01,0.7,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
