,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
FUT,-2.68,-96.96,-0.14,-39.89,306.15,-43.37,48.17,-7.74,-3.01,-13.12,6.15,-6.52,-6.71,25.46,-6.09,3.42,-0.82,-4.43,-0.51,-2.13,-1.29,-1.32,4.13,-0.89,-0.16,-0.68,-0.46,-0.22,0.38,1.26,0.0,0.0,0.0
FUT ~ MOD shall,138.87,-1.1,4.65,-10.1,-55.25,-20.95,-12.55,2.96,-1.67,-10.14,5.06,-5.76,-5.21,-5.02,-0.96,2.87,-2.59,-1.63,-0.73,-1.66,2.81,-0.84,-0.63,-0.65,-0.65,-0.44,-0.22,-0.23,0.47,0.0,0.0,0.0,0.0
PRES,0.77,0.33,1.06,-0.69,-8.66,-6.99,-0.27,-0.08,11.39,-4.22,-0.33,11.36,-2.06,-1.23,0.34,0.0,2.5,-1.34,2.13,1.51,-0.2,-0.21,0.61,6.92,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,1.06
IMPV ~ MOD shall,-35.52,-10.01,-19.32,9.75,-22.37,219.1,-10.62,0.82,-4.01,-3.66,-2.92,-0.18,-1.68,-1.69,-0.36,-1.14,-1.14,-0.94,-0.76,1.79,-0.21,-0.21,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,-27.14,-25.09,-16.73,116.5,-18.19,0.62,-8.75,47.74,-3.28,-2.92,-2.38,-1.84,-1.31,-1.32,-1.12,-0.96,-0.96,-0.77,0.34,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,-19.81,109.45,-0.7,-2.28,-16.23,-0.18,-7.82,-7.59,-2.91,-2.56,-1.99,-0.1,-1.12,-1.13,9.9,-0.77,-0.77,-0.56,-0.59,-0.2,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,-3.64,-10.8,-1.73,-9.17,-2.33,-5.41,0.19,-1.05,9.12,66.08,-1.29,-0.92,0.32,-0.14,-0.58,-0.39,11.0,7.1,1.47,0.0,0.0,10.22,0.0,0.0,2.47,10.11,0.0,0.0,0.0,0.0,0.0,1.44,0.0
MOD shall,-15.26,55.77,-1.14,-2.8,-10.66,-0.47,-2.31,-3.01,-1.83,-1.44,-1.29,12.62,-0.56,-0.57,7.52,-0.39,-0.39,-0.4,-0.2,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
