genre,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
person,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUT,5.93,220.67,7.99,40.56,1.38,331.5,5.86,35.94,87.67,inf,28.56,664.0,inf,25.08,inf,62.33,220.67,inf,265.0,inf,inf,inf,146.78,inf,1329.0,inf,inf,inf,1329.0,664.0,inf,inf,inf
FUT ~ MOD shall,1.17,6.48,5.56,15.86,353.0,69.8,65.38,11.8,74.86,inf,27.7,1061.0,inf,inf,211.4,61.47,1061.0,530.0,353.0,inf,131.75,inf,inf,inf,inf,inf,inf,inf,1061.0,inf,inf,inf,inf
PRES,4.12,5.15,6.24,9.47,24.89,48.2,19.5,17.92,11.95,inf,81.0,15.97,inf,491.0,81.0,163.0,48.2,inf,60.5,97.4,inf,inf,245.0,60.5,inf,inf,inf,97.4,inf,inf,inf,inf,491.0
IMPV ~ MOD shall,inf,18.0,208.0,3.59,inf,0.61,inf,12.93,inf,inf,inf,103.5,inf,inf,208.0,inf,inf,inf,inf,82.6,inf,inf,inf,inf,inf,inf,138.33,inf,inf,inf,inf,inf,inf
IMPV,343.0,inf,343.0,0.66,inf,10.1,inf,2.44,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,113.67,inf,inf,inf,inf,inf,inf,inf,343.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,76.0,0.45,10.0,14.4,inf,14.4,inf,inf,inf,inf,inf,101.67,inf,inf,16.11,inf,inf,inf,inf,inf,153.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,11.12,67.67,14.85,205.0,17.73,205.0,14.85,33.33,8.36,2.17,inf,inf,67.67,205.0,inf,inf,12.73,17.73,50.5,inf,inf,21.89,inf,inf,67.67,28.43,inf,inf,inf,inf,inf,205.0,inf
MOD shall,204.0,0.6,12.67,19.5,inf,17.64,67.33,101.5,inf,inf,inf,8.76,inf,inf,14.77,inf,inf,inf,inf,204.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,50.0,0.43,29.6,24.5,inf,5.95,inf,152.0,inf,inf,inf,50.0,inf,inf,50.0,inf,152.0,inf,inf,75.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,1.97,17.33,8.17,6.86,21.0,21.0,10.0,inf,21.0,inf,35.67,54.0,inf,109.0,54.0,inf,109.0,inf,26.5,inf,inf,inf,inf,54.0,109.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,10.0,4.5,5.0,2.67,inf,8.43,8.43,32.0,inf,inf,inf,65.0,inf,inf,inf,inf,inf,inf,inf,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,11.8,11.8,63.0,inf,63.0,inf,63.0,63.0,15.0,inf,inf,inf,0.42,inf,inf,inf,63.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,3.31,2.5,5.22,13.0,55.0,10.2,27.0,13.0,inf,inf,inf,inf,inf,inf,55.0,inf,inf,inf,inf,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,1.57,5.75,3.5,17.0,17.0,inf,53.0,26.0,inf,inf,53.0,26.0,inf,53.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,2.89,7.75,4.0,4.0,34.0,34.0,16.5,34.0,16.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,34.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,6.0,1.55,6.0,8.33,inf,4.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
