,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,LBH,LBH
,prose,instruction,prose,instruction,prose,list,instruction,prose,poetry,list,prose,poetry,instruction,prose,prophetic,list,prose,list,prose,list
,Q,Q,Q,D,N,N,?,D,Q,Q,N,Q,N,?,Q,Q,?,N,D,?
FUT,6.44,0.21,1.04,0.26,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,13.03,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,1.08,0.85,3.25,0.07,0.0,0.0,0.72,0.38,2.93,6.31,0.0,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,0.4,4.93,0.0,0.71,0.0,0.0,0.29,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.24,5.19,0.21,0.32,0.0,0.0,5.85,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,0.95,0.75,1.85,6.19,0.12,0.0,1.42,0.0,1.48,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,4.92,0.23,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.21,3.65,0.0,4.62,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.1,11.58,0.0,1.09,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.2,0.04,1.42,0.0,57.74,0.94,0.0,9.95,8.18,0.0,46.77,11.32,26.44,inf,13.0,0.0,inf,26.02,inf,0.0
