eng_TAMsimp,TOTAL,"('prophetic', 'Q')","('prose', 'Q')","('instruction', 'Q')","('poetry', 'Q')","('prose', 'N')","('instruction', 'D')","('prophetic', '?')","('list', 'N')","('prophetic', 'D')","('instruction', '?')","('prose', 'D')","('list', 'Q')","('instruction', 'N')","('poetry', '?')","('prophetic', 'N')","('prose', '?')","('poetry', 'D')","('list', '?')"
FUT,1330,788,374,61,26,0,4,45,0,31,0,0,0,0,0,1,0,0,0
FUT ~ MOD shall,1062,575,241,157,18,0,1,37,0,18,5,2,8,0,0,0,0,0,0
PRES,492,141,139,91,56,1,34,6,0,5,6,0,0,0,8,0,0,5,0
IMPV ~ MOD shall,418,30,93,281,0,0,9,0,0,0,2,0,3,0,0,0,0,0,0
IMPV,344,101,208,31,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD shall,308,4,48,233,0,0,3,0,0,0,18,0,2,0,0,0,0,0,0
PAST,206,34,27,5,41,65,0,0,3,0,0,11,0,10,0,3,7,0,0
MOD shall,205,3,28,139,0,0,22,0,0,0,13,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,153,4,11,129,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0
FUT ~ PRES,110,42,36,12,10,0,2,3,0,0,2,0,0,0,2,1,0,0,0
MOD may,66,8,36,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,64,7,2,5,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,56,18,15,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
FUT ~ MOD may,54,26,16,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,35,11,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,28,4,7,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRES ~ PRES PART,27,4,8,7,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,26,4,15,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,25,2,5,0,0,9,0,0,0,0,0,8,1,0,0,0,0,0,0
TO INF,25,6,14,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,24,5,8,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,24,2,3,0,1,11,0,0,0,0,0,7,0,0,0,0,0,0,0
MOD may ~ TO INF,23,0,16,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
MOD may ~ PRES,21,4,5,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,21,2,15,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,19,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,19,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,18,1,7,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,17,0,2,0,3,6,0,0,5,0,0,1,0,0,0,0,0,0,0
FUT ~ TO INF,16,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,16,0,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,15,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,14,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,14,1,6,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,13,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,13,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,11,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,10,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,9,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,8,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FUT ~ PAST,8,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PAST,7,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,7,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ TO INF,7,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
MOD lest ~ TO INF,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,7,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
MOD shall ~ PRES PERF,6,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
IMPV ~ MOD may,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD shall ~ MOD should,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PERF,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD may,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
MOD can ~ PRES,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD would,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
