eng_TAMsimp,TOTAL,"('instruction', 'Q')","('prophetic', 'Q')","('prose', 'Q')","('poetry', 'Q')","('list', 'N')","('prophetic', '?')","('instruction', '?')","('instruction', 'D')","('prose', 'N')","('prophetic', 'D')","('prose', 'D')","('list', 'Q')","('prophetic', 'N')","('instruction', 'N')","('poetry', '?')","('list', '?')"
FUT ~ MOD shall,1062,157,575,241,18,0,37,5,1,0,18,2,8,0,0,0,0
IMPV ~ MOD shall,418,281,30,93,0,0,0,2,9,0,0,0,3,0,0,0,0
MOD is to ~ MOD shall,308,233,4,48,0,0,0,18,3,0,0,0,2,0,0,0,0
MOD must ~ MOD shall,153,129,4,11,1,0,0,3,5,0,0,0,0,0,0,0,0
FUT ~ PRES,110,12,42,36,10,0,3,2,2,0,0,0,0,1,0,2,0
PAST ~ PRES,64,5,7,2,5,45,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,56,21,18,15,0,0,0,1,0,0,0,0,1,0,0,0,0
FUT ~ MOD may,54,9,26,16,0,0,1,0,2,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,28,16,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0
PRES ~ PRES PART,27,7,4,8,2,4,2,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,26,5,4,15,1,0,0,0,1,0,0,0,0,0,0,0,0
MOD would ~ PAST,24,0,2,3,1,0,0,0,0,11,0,7,0,0,0,0,0
FUT ~ MOD lest,24,4,5,8,6,0,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ TO INF,23,5,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0
MOD may ~ PRES,21,9,4,5,2,0,0,0,1,0,0,0,0,0,0,0,0
PRES ~ TO INF,19,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,19,0,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,18,9,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0
PAST ~ PRES PART,17,0,0,2,3,5,0,0,0,6,0,1,0,0,0,0,0
FUT ~ TO INF,16,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0
