,instruction,prophetic,prose,poetry,list,prophetic,instruction,instruction,prose,prophetic,prose,list,prophetic,instruction,poetry,list
,Q,Q,Q,Q,N,?,?,D,N,D,D,Q,N,N,?,?
FUT ~ MOD shall,-65.78,113.96,-2.0,-1.34,-11.12,8.67,-2.18,-5.27,-6.21,6.7,-1.59,0.2,-0.78,-0.52,-0.27,0.0
IMPV ~ MOD shall,50.77,-30.94,-0.94,-4.68,-3.72,-2.95,-0.66,1.33,-1.76,-1.01,-1.02,0.13,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,56.13,-41.41,-4.8,-3.23,-2.47,-2.12,8.99,0.0,-1.15,-0.6,-0.61,-0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,39.12,-17.3,-8.31,-0.74,-1.14,-0.76,0.37,1.54,-0.39,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0
FUT ~ PRES,-7.6,1.5,1.13,3.58,-0.56,0.59,0.42,0.44,-0.2,0.0,0.0,0.0,0.75,0.0,2.83,0.0
PAST ~ PRES,-5.85,-3.14,-5.52,1.72,72.25,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.24,0.26,0.06,-0.19,-0.2,0.0,0.31,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
FUT ~ MOD may,-2.25,2.46,0.28,-0.19,-0.2,0.23,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,1.84,-1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-0.37,-0.87,0.18,0.85,2.78,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-0.84,-0.72,3.35,0.32,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-4.05,-1.63,-0.78,0.35,0.0,0.0,0.0,0.0,16.13,0.0,10.48,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,-1.07,-0.3,0.45,4.79,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-0.57,-3.16,4.99,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.31,-0.33,0.0,1.04,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.0,0.1,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,-3.36,2.47,0.22,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
