eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT,-0.11,0.13,0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.12,-0.11,-0.06,0.05,-0.01,0.0,-0.0,-0.0,-0.0,0.0
PRES,0.01,-0.07,-0.02,0.03,0.03,0.0,0.01,0.0,-0.0,-0.0
IMPV ~ MOD shall,0.07,-0.01,0.01,-0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,0.14,-0.07,-0.03,-0.03,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,0.02,0.05,-0.02,-0.04,-0.01,-0.0,-0.0,0.0,-0.0,-0.0
PAST,-0.1,0.03,0.05,0.03,-0.01,-0.0,0.01,-0.0,-0.0,-0.0
MOD shall,-0.1,0.07,0.09,-0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.24,0.02,0.09,0.1,0.0,0.01,0.02,-0.0,-0.0,-0.0
FUT ~ PRES,0.02,-0.03,-0.03,0.03,0.01,0.01,-0.0,-0.0,-0.0,-0.0
MOD may,0.09,-0.07,-0.01,-0.02,-0.01,-0.0,-0.0,0.01,0.01,-0.0
PAST ~ PRES,0.22,-0.1,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,0.12,-0.06,-0.05,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0
FUT ~ MOD may,-0.01,-0.09,-0.01,0.09,-0.01,0.03,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.23,0.07,0.16,-0.03,0.02,-0.0,0.02,-0.0,-0.0,-0.0
MOD shall ~ TO INF,-0.15,-0.13,0.37,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,0.01,-0.13,0.01,-0.02,0.14,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.0,-0.09,-0.02,0.09,-0.01,-0.0,0.03,-0.0,-0.0,-0.0
MOD would,0.03,0.08,-0.02,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,0.11,-0.12,0.06,-0.06,-0.01,-0.0,-0.0,0.04,-0.0,-0.0
FUT ~ MOD lest,-0.07,0.05,-0.1,0.06,0.07,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.03,0.0,0.03,-0.02,-0.01,-0.0,-0.0,0.04,-0.0,-0.0
MOD may ~ TO INF,0.13,-0.16,-0.01,0.07,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,0.25,-0.16,-0.05,-0.06,-0.01,-0.0,0.04,-0.0,-0.0,-0.0
MOD let,-0.27,0.12,0.19,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ IMPV,-0.18,0.05,0.11,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,0.03,-0.01,0.01,-0.06,-0.01,-0.0,-0.0,0.05,-0.0,-0.0
MOD may ~ MOD shall,0.29,-0.16,-0.1,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,0.05,-0.1,0.08,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,0.1,0.02,-0.04,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,0.16,-0.1,-0.04,-0.06,-0.01,-0.0,-0.0,0.06,-0.0,-0.0
IMPV ~ PRES,0.01,-0.03,-0.03,0.01,0.06,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,-0.01,-0.02,0.12,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.01,0.12,-0.03,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ TO INF,-0.19,0.22,-0.02,-0.06,-0.01,-0.0,-0.0,0.07,-0.0,-0.0
PAST ~ PRES PERF,-0.12,-0.09,0.21,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,-0.32,0.17,0.07,0.11,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,-0.07,0.09,0.07,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,0.07,-0.16,-0.1,0.03,0.08,0.09,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.2,0.29,-0.01,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,0.15,0.04,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,0.12,-0.05,-0.1,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD shall,0.12,-0.05,0.01,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.15,0.21,-0.1,0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD let,-0.28,0.09,0.28,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,-0.03,-0.16,0.03,0.06,0.11,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.03,0.09,0.03,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PAST,0.06,0.12,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD may,0.2,-0.16,0.04,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,0.06,-0.16,0.19,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ TO INF,-0.23,0.27,-0.1,-0.06,-0.01,-0.0,-0.0,0.14,-0.0,-0.0
PAST ~ PAST PROG,0.06,-0.02,-0.1,-0.06,-0.01,0.14,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,0.01,0.0,-0.1,0.11,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PERF,0.18,-0.16,-0.1,0.11,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD lest,-0.25,0.24,-0.1,0.14,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD would,0.15,0.04,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD must,-0.05,0.04,-0.1,0.14,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.45,-0.16,0.3,0.34,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.05,0.24,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.45,0.64,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,0.1,-0.16,-0.1,0.19,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.4,0.59,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,-0.15,-0.16,0.15,0.19,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,-0.15,0.09,0.15,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.4,0.09,0.4,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD should,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
