eng_TAMsimp,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES,2676,1052,309,356,253,176,252,87,78,84,17,12
FUT,2352,800,371,236,241,217,213,146,65,41,22,0
FUT ~ MOD shall,1747,425,256,191,278,338,50,63,45,80,21,0
IMPV,601,364,169,6,7,23,13,11,3,4,1,0
IMPV ~ MOD shall,507,312,164,7,4,10,6,0,1,3,0,0
PAST,447,115,77,52,32,32,84,25,14,12,3,1
FUT ~ PRES,429,141,65,38,61,57,29,17,8,9,4,0
MOD let,367,27,21,15,27,13,91,69,81,4,19,0
MOD must ~ MOD shall,338,158,83,16,24,43,6,1,1,5,1,0
MOD may,326,73,30,45,29,11,11,74,19,10,24,0
MOD is to ~ MOD shall,294,128,53,35,29,24,7,3,2,13,0,0
MOD can,270,107,43,42,34,22,10,0,0,11,1,0
MOD shall,220,93,32,29,36,14,9,1,2,4,0,0
MOD shall ~ PRES,150,63,18,10,22,21,9,1,1,3,2,0
FUT ~ MOD may,134,36,16,12,5,6,11,28,5,8,7,0
MOD would,120,48,12,8,20,5,14,8,2,3,0,0
IMPV ~ MOD let,112,12,10,11,10,8,16,12,20,4,9,0
PAST ~ PRES,111,44,13,8,11,8,17,8,1,1,0,0
MOD let ~ MOD may,104,5,2,4,9,8,15,16,39,1,5,0
PRES ~ PRES PART,96,47,16,6,9,1,10,4,0,3,0,0
PRES ~ PRES PERF,88,39,8,15,7,3,7,2,3,4,0,0
MOD should,83,41,6,18,4,2,1,4,2,5,0,0
FUT ~ MOD lest,72,28,15,20,1,1,0,0,0,7,0,0
MOD can ~ PRES,71,31,11,15,6,5,2,0,0,1,0,0
TO INF,71,22,13,0,2,1,10,22,0,1,0,0
FUT ~ MOD can,64,22,13,4,13,9,1,2,0,0,0,0
MOD may ~ PRES,62,17,8,15,7,1,2,4,4,1,3,0
PRES PERF,61,26,6,16,2,1,5,2,0,2,0,1
MOD may ~ MOD shall,58,9,4,6,15,14,0,3,3,3,1,0
IMPV ~ PRES,55,14,19,2,7,3,2,1,4,2,0,1
MOD can ~ MOD may,50,14,8,5,2,3,0,16,0,0,2,0
PRES PART,49,21,11,2,2,4,7,1,0,1,0,0
PRES ~ TO INF,45,21,7,2,0,1,6,6,0,1,0,1
MOD should ~ PRES,45,18,8,8,4,4,0,3,0,0,0,0
MOD can ~ MOD shall,44,25,3,3,4,4,0,2,0,3,0,0
FUT ~ MOD would,42,22,4,2,4,3,3,2,0,2,0,0
MOD must,38,20,6,1,4,2,2,2,1,0,0,0
MOD shall ~ TO INF,38,16,8,0,7,2,0,3,0,1,1,0
MOD could,38,22,5,5,1,1,0,2,0,2,0,0
PAST ~ PRES PERF,33,9,3,4,1,0,8,3,4,1,0,0
MOD may ~ TO INF,33,6,1,1,0,0,0,23,0,0,2,0
MOD shall ~ MOD should,31,17,5,6,2,0,0,0,0,1,0,0
IMPV ~ MOD may,30,7,7,4,3,1,1,5,2,0,0,0
FUT ~ TO INF,29,5,8,3,4,1,4,4,0,0,0,0
MOD would ~ PAST,29,9,10,1,2,4,1,0,1,1,0,0
MOD would ~ PRES,23,15,2,0,2,1,1,1,1,0,0,0
FUT ~ IMPV,23,4,6,1,4,1,4,2,0,0,1,0
MOD let ~ PRES,22,2,3,1,3,0,5,2,5,0,1,0
PAST ~ PRES PART,21,7,6,2,1,1,1,3,0,0,0,0
FUT ~ MOD let,21,5,2,1,0,1,5,1,3,0,3,0
MOD shall ~ PRES PART,20,9,3,2,0,3,0,1,0,2,0,0
MOD should ~ TO INF,19,12,2,3,1,0,0,1,0,0,0,0
MOD must ~ PRES,18,11,3,0,2,0,0,0,0,2,0,0
FUT ~ PRES PART,17,7,3,1,2,1,2,0,0,0,1,0
MOD let ~ TO INF,17,0,0,0,0,1,2,13,1,0,0,0
MOD lest ~ MOD may,16,10,2,1,0,3,0,0,0,0,0,0
PRES ~ PRES PROG,16,7,0,3,2,2,0,0,1,1,0,0
MOD let ~ MOD shall,15,4,1,1,1,2,2,1,2,1,0,0
FUT ~ PAST,15,3,4,1,1,3,1,1,0,0,1,0
IMPV ~ MOD must,14,8,2,1,1,1,0,0,1,0,0,0
MOD lest ~ PRES,14,10,3,0,0,0,0,0,0,1,0,0
MOD shall ~ PAST,14,6,0,2,2,3,0,0,0,1,0,0
MOD should ~ MOD would,14,3,3,0,3,0,1,2,1,1,0,0
PAST ~ TO INF,13,6,1,2,0,1,2,1,0,0,0,0
FUT ~ MOD should,12,6,1,1,2,2,0,0,0,0,0,0
HAB used to ~ PAST,12,4,2,4,1,0,0,0,0,1,0,0
MOD might,11,5,1,2,1,0,1,0,1,0,0,0
MOD may ~ MOD must,11,5,3,0,0,2,0,1,0,0,0,0
IMPV ~ MOD can,11,2,9,0,0,0,0,0,0,0,0,0
MOD is to,10,5,0,2,3,0,0,0,0,0,0,0
PAST ~ PAST PERF,10,5,1,1,1,2,0,0,0,0,0,0
MOD let ~ MOD must,9,3,3,0,0,1,0,1,0,1,0,0
MOD was to ~ PAST,9,5,0,3,0,0,0,1,0,0,0,0
MOD is to ~ MOD let,9,0,1,2,3,1,0,1,1,0,0,0
MOD can ~ MOD should,8,5,0,3,0,0,0,0,0,0,0,0
MOD let ~ PAST,8,1,1,1,0,0,1,1,3,0,0,0
MOD let ~ MOD should,8,1,0,4,1,0,0,1,1,0,0,0
MOD can ~ MOD could,8,3,1,1,1,1,0,0,0,1,0,0
IMPV ~ PAST,7,1,3,1,0,1,0,1,0,0,0,0
MOD could ~ MOD would,7,3,2,0,1,0,1,0,0,0,0,0
IMPV ~ MOD should,7,3,3,1,0,0,0,0,0,0,0,0
FUT ~ MOD must,7,1,1,0,2,2,1,0,0,0,0,0
MOD lest,7,4,0,1,0,0,0,2,0,0,0,0
MOD should ~ MOD was to,7,5,0,1,0,1,0,0,0,0,0,0
PAST PERF,7,0,0,2,0,2,1,0,0,2,0,0
IMPV ~ PRES PART,7,3,4,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,7,2,1,1,0,1,0,2,0,0,0,0
IMPV ~ TO INF,7,2,5,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,6,3,0,1,1,0,0,1,0,0,0,0
PRES PART ~ TO INF,6,2,3,0,0,0,1,0,0,0,0,0
MOD lest ~ MOD might,6,4,0,2,0,0,0,0,0,0,0,0
MOD could ~ PAST,6,2,2,1,0,1,0,0,0,0,0,0
FUT ~ PRES PERF,6,2,0,0,2,0,2,0,0,0,0,0
MOD can ~ TO INF,6,2,2,0,1,0,0,1,0,0,0,0
MOD is to ~ MOD may,6,4,0,1,0,1,0,0,0,0,0,0
MOD may ~ PRES PART,6,1,3,0,0,0,0,2,0,0,0,0
MOD could ~ MOD might,6,1,1,1,0,0,1,1,0,1,0,0
FUT going-to ~ MOD shall,6,5,0,0,0,0,0,1,0,0,0,0
MOD shall ~ MOD would,6,4,0,0,1,0,0,0,0,1,0,0
?VB ~ MOD let,6,2,0,3,1,0,0,0,0,0,0,0
PAST ~ PAST PROG,6,3,1,0,0,2,0,0,0,0,0,0
MOD can ~ PRES PART,5,2,0,0,0,2,0,0,0,1,0,0
MOD VB ~ MOD may,5,0,1,1,1,1,0,0,1,0,0,0
MOD is to ~ MOD must,5,4,0,0,1,0,0,0,0,0,0,0
MOD might ~ TO INF,5,2,0,0,1,1,0,1,0,0,0,0
MOD can ~ MOD let,5,2,1,0,1,1,0,0,0,0,0,0
MOD lest ~ TO INF,5,4,0,1,0,0,0,0,0,0,0,0
MOD would ~ TO INF,5,3,0,0,1,1,0,0,0,0,0,0
MOD let ~ PRES PART,5,1,1,0,1,2,0,0,0,0,0,0
MOD might ~ PAST,5,1,0,0,0,0,0,3,1,0,0,0
MOD was to,5,1,1,0,1,2,0,0,0,0,0,0
MOD might ~ MOD should,5,2,0,1,0,0,1,0,0,1,0,0
MOD should ~ PAST,4,2,0,2,0,0,0,0,0,0,0,0
MOD VB ~ PRES,4,2,0,1,0,1,0,0,0,0,0,0
FUT ~ PRES PROG,4,2,0,0,0,0,1,1,0,0,0,0
IMPV ~ MOD lest,4,1,1,1,0,1,0,0,0,0,0,0
HAB used to,4,2,0,0,0,2,0,0,0,0,0,0
PAST PERF ~ PRES,4,2,0,0,0,0,1,1,0,0,0,0
MOD can ~ PAST,4,0,1,1,1,1,0,0,0,0,0,0
FUT ~ MOD is to,4,2,0,1,1,0,0,0,0,0,0,0
?VB ~ PAST,4,2,2,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,4,0,1,0,0,0,0,3,0,0,0,0
MOD could ~ MOD should,3,3,0,0,0,0,0,0,0,0,0,0
?VB,3,1,0,2,0,0,0,0,0,0,0,0
PAST PROG,3,0,0,1,0,2,0,0,0,0,0,0
MOD shall ~ PRES PERF,3,1,1,0,0,1,0,0,0,0,0,0
MOD can ~ MOD might,3,2,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD must,3,3,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,3,2,0,0,0,1,0,0,0,0,0,0
MOD lest ~ MOD would,3,0,2,1,0,0,0,0,0,0,0,0
FUT ~ MOD that be,3,0,1,0,0,0,0,0,0,2,0,0
MOD need not ~ MOD shall,3,0,2,1,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,3,2,0,0,0,0,1,0,0,0,0,0
MOD may ~ PAST,3,1,0,1,0,0,0,0,0,0,1,0
MOD may ~ MOD might,3,1,1,0,1,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,3,2,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,3,1,0,0,0,0,2,0,0,0,0,0
MOD let ~ PRES PERF,3,0,1,0,0,0,1,0,1,0,0,0
MOD let ~ MOD would,3,0,0,0,0,1,0,0,2,0,0,0
IMPV ~ MOD is to,3,2,0,0,0,1,0,0,0,0,0,0
