eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,2.53,8.65,7.5,10.57,15.22,10.65,31.33,31.7,35.99,166.44,221.92
FUT,2.85,6.1,9.58,9.38,10.42,12.3,22.74,54.9,34.63,173.15,inf
FUT ~ MOD shall,4.08,6.75,9.04,6.23,5.12,36.74,32.58,21.59,40.16,86.35,inf
IMPV ~ MOD shall,1.63,3.07,72.0,126.0,50.4,84.0,inf,168.0,504.0,inf,inf
PAST,3.89,5.81,8.6,13.97,13.97,5.32,17.88,37.25,31.93,149.0,447.0
FUT ~ PRES,2.96,6.57,11.19,6.9,7.53,17.25,27.6,46.0,51.75,138.0,inf
MOD must ~ MOD shall,2.14,4.07,21.12,14.08,7.86,56.33,338.0,67.6,338.0,338.0,inf
MOD is to ~ MOD shall,2.3,5.55,8.4,10.14,12.25,42.0,98.0,22.62,147.0,inf,inf
MOD can,2.51,6.26,6.56,7.91,12.23,26.9,inf,24.45,inf,269.0,inf
MOD shall,2.35,6.84,7.55,6.08,15.64,24.33,inf,54.75,109.5,inf,inf
MOD may,2.61,7.23,6.06,7.52,20.89,62.67,17.09,23.5,188.0,94.0,inf
IMPV,2.43,2.53,inf,93.5,11.69,17.0,26.71,inf,inf,inf,inf
MOD shall ~ PRES,2.35,8.22,14.8,7.05,7.4,16.44,148.0,49.33,148.0,74.0,inf
MOD would,2.45,10.45,14.38,5.75,23.0,9.58,16.43,38.33,57.5,inf,inf
PAST ~ PRES,2.5,8.46,13.75,10.0,13.75,6.47,15.71,110.0,110.0,inf,inf
FUT ~ MOD may,2.86,6.87,8.58,20.6,17.17,12.88,17.17,12.88,34.33,25.75,inf
PRES ~ PRES PART,2.04,6.0,16.0,10.67,96.0,9.6,24.0,32.0,inf,inf,inf
PRES ~ PRES PERF,2.26,11.0,5.87,12.57,29.33,12.57,44.0,22.0,29.33,inf,inf
MOD should,1.93,13.17,4.39,19.75,39.5,79.0,79.0,15.8,79.0,inf,inf
MOD can ~ PRES,2.29,6.45,4.73,11.83,14.2,35.5,inf,71.0,inf,inf,inf
FUT ~ MOD lest,2.54,5.07,3.55,71.0,71.0,inf,inf,10.14,inf,inf,inf
FUT ~ MOD can,2.91,4.92,16.0,4.92,7.11,64.0,32.0,inf,inf,inf,inf
PRES PERF,2.35,10.17,3.81,30.5,61.0,12.2,30.5,30.5,inf,inf,61.0
MOD may ~ MOD shall,5.89,13.25,8.83,3.79,3.79,inf,53.0,26.5,26.5,53.0,inf
PRES PART,2.33,4.45,24.5,24.5,12.25,7.0,49.0,49.0,inf,inf,inf
IMPV ~ PRES,3.62,2.76,23.5,7.83,15.67,23.5,47.0,23.5,inf,inf,47.0
TO INF,2.35,3.92,inf,23.5,47.0,5.88,15.67,47.0,inf,inf,inf
MOD may ~ PRES,2.71,5.75,5.11,6.57,inf,23.0,23.0,46.0,inf,inf,inf
