clause_type,TOTAL,FUT,FUT ~ MOD shall,PRES,IMPV,IMPV ~ MOD shall,MOD let,PAST,MOD must ~ MOD shall,FUT ~ PRES,MOD is to ~ MOD shall,MOD may,MOD shall,MOD can,MOD shall ~ PRES,IMPV ~ MOD let,MOD let ~ MOD may,MOD would,FUT ~ MOD may,PAST ~ PRES,PRES ~ PRES PART,MOD may ~ MOD shall,FUT ~ MOD can,MOD should,TO INF,MOD can ~ PRES,MOD can ~ MOD may,PRES ~ PRES PERF,MOD can ~ MOD shall,PRES PART,MOD may ~ PRES,IMPV ~ PRES,FUT ~ MOD would,MOD must,MOD should ~ PRES,MOD shall ~ TO INF,IMPV ~ MOD may,PRES PERF,MOD may ~ TO INF,PAST ~ PRES PERF,MOD would ~ PAST,FUT ~ MOD lest,FUT ~ TO INF,MOD let ~ PRES,MOD shall ~ MOD should,FUT ~ IMPV,FUT ~ MOD let,MOD could,PRES ~ TO INF,MOD let ~ TO INF,MOD shall ~ PRES PART,PAST ~ PRES PART,MOD would ~ PRES,MOD let ~ MOD shall,FUT ~ PAST,FUT ~ PRES PART,IMPV ~ MOD must,IMPV ~ MOD can,MOD may ~ MOD must,MOD shall ~ PAST,MOD must ~ PRES,HAB used to ~ PAST,MOD should ~ MOD would,PAST ~ TO INF,MOD is to ~ MOD let,FUT ~ MOD should,MOD let ~ MOD must,MOD let ~ MOD should,PRES ~ PRES PROG,MOD let ~ PAST,IMPV ~ TO INF,IMPV ~ PRES PART,PAST ~ PAST PERF,IMPV ~ PAST,FUT ~ MOD must,IMPV ~ MOD should,MOD was to ~ PAST,MOD can ~ TO INF,?VB ~ MOD let,MOD let ~ PRES PART,MOD shall ~ MOD would,FUT going-to ~ MOD shall,FUT ~ FUT going-to,MOD is to,MOD can ~ MOD let,MOD could ~ PAST,MOD could ~ MOD would,PAST ~ PAST PROG,MOD can ~ PRES PART,MOD lest ~ MOD may,MOD can ~ PAST,MOD could ~ MOD might,PRES PART ~ TO INF,PAST PERF,PRES PERF ~ TO INF,MOD was to,?VB ~ PAST,MOD may ~ PRES PART,MOD might ~ MOD should,MOD might ~ MOD would,MOD might ~ PAST,MOD lest ~ PRES,?VB,MOD should ~ TO INF,PAST PERF ~ PRES,MOD could ~ MOD must,MOD shall ~ PRES PERF,MOD need not ~ MOD shall,FUT ~ MOD that be,FUT ~ PRES PERF,MOD VB ~ MOD may,MOD might,FUT ~ PRES PROG,HAB used to,PRES PART ~ PRES PERF,MOD let ~ MOD would,IMPV ~ MOD is to,MOD is to ~ MOD may,MOD can ~ MOD could,IMPV ~ MOD lest,?VB ~ MOD must,?VB ~ MOD shall,??VB ~ MOD let,MOD let ~ MOD that be,MOD would ~ TO INF,MOD lest,MOD is to ~ PRES PART,MOD may ~ PAST,MOD is to ~ MOD must,MOD let ~ PRES PERF,MOD that be,MOD should ~ MOD was to,MOD might ~ TO INF,MOD could ~ TO INF,MOD must ~ MOD should,MOD can ~ MOD should,MOD lest ~ MOD might,PAST PROG,FUT ~ MOD,MOD should ~ PAST,MOD can ~ MOD must,FUT ~ MOD is to,MOD quest must ~ MOD shall,MOD quest must,MOD need not ~ PRES,PAST PROG ~ PRES PART,FUT PROG ~ PRES,FUT ~ FUT PROG,MOD should ~ PRES PART,FUT going-to ~ MOD lest,MOD must ~ PRES shall,FUT PROG ~ MOD shall,FUT PERF,PRES ~ PRES do,MOD should ~ PRES PERF,MOD was to ~ PRES,MOD would ~ PAST PERF,?VB ~ IMPV,MOD would ~ PRES PART,PRES PROG,MOD may ~ PRES PERF,MOD must ~ PRES PROG,MOD lest ~ MOD shall,MOD could ~ MOD shall,MOD could ~ PRES PERF,MOD VB ~ MOD shall,MOD is to ~ MOD lest,MOD VB ~ MOD can,JJ ~ PRES,IMPV ~ PRES PERF,MOD is to ~ PRES,IMPV ~ MOD need not,MOD lest ~ MOD must,MOD lest ~ MOD would,MOD must ~ PRES PART,MOD let ~ MOD might,IMPV ~ MOD,MOD let ~ VB,HAB used to ~ PRES,MOD may ~ MOD might,MOD may ~ MOD would,FUT ~ PRES shall,MOD can ~ MOD might,MOD might ~ PRES PERF,MOD must ~ MOD quest must,MOD ~ PRES
xYq0,3113,583,338,413,360,302,23,69,147,76,97,24,82,61,40,12,5,32,6,28,26,8,16,19,6,16,9,15,23,15,3,6,15,16,10,10,5,6,1,5,6,0,3,2,11,3,3,9,3,0,7,3,8,4,3,6,7,2,5,4,4,2,2,3,0,5,3,1,3,1,2,3,3,1,1,3,3,2,2,1,4,4,2,1,2,1,2,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,2,1,3,1,0,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WxY0,1852,348,248,203,169,164,20,66,83,48,53,24,32,40,17,10,2,10,16,10,10,4,13,4,11,8,7,7,3,11,4,13,3,6,6,7,7,6,1,2,10,15,4,3,5,6,2,4,3,0,3,5,2,1,4,3,2,9,3,0,3,2,0,1,1,1,3,0,0,1,5,4,1,3,1,3,0,2,0,1,0,0,0,0,1,2,1,1,0,1,1,0,3,0,1,1,2,2,0,1,0,2,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
WXYq,1141,212,332,158,23,10,13,30,43,57,24,9,14,21,21,8,8,5,5,7,1,14,9,2,1,3,3,1,4,4,1,3,3,2,3,2,1,1,0,0,4,1,1,0,0,1,1,1,1,1,3,1,1,2,3,1,1,0,2,3,0,0,0,1,1,2,1,0,2,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,1,1,0,2,2,3,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
XYqt,1127,209,241,209,6,4,26,31,22,59,28,28,35,26,18,10,9,15,4,9,8,14,11,2,2,3,2,5,4,2,5,5,4,2,3,6,3,1,0,1,1,0,3,3,2,3,0,1,0,0,0,1,2,1,1,0,1,0,0,1,2,1,3,0,3,1,0,1,1,0,0,0,1,0,2,0,0,1,1,1,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZYq0,869,205,49,198,13,6,91,74,6,25,7,11,8,7,7,16,15,12,10,13,6,0,0,0,6,2,0,3,0,6,2,2,3,2,0,0,1,4,0,7,1,0,4,5,0,4,5,0,5,2,0,1,1,2,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xYqX,778,143,139,135,6,6,14,28,16,20,31,18,28,26,7,10,4,5,2,5,4,4,3,14,0,12,1,3,1,0,8,0,2,1,5,0,4,7,0,3,1,1,3,1,3,0,1,2,0,0,2,2,0,1,1,1,1,0,0,2,0,3,0,1,2,0,0,4,1,1,0,0,0,1,0,1,2,0,3,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
WYq0,733,144,62,79,11,0,69,25,1,17,3,74,1,0,1,12,16,8,28,8,3,3,2,3,22,0,16,2,2,1,4,0,2,2,3,3,5,1,23,3,0,0,4,2,0,2,1,0,6,13,1,3,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
ZYqX,426,65,43,73,3,1,81,13,1,8,2,19,2,0,0,19,39,2,5,1,0,3,0,2,0,0,0,3,0,0,4,4,0,1,0,0,2,0,0,4,1,0,0,5,0,0,3,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WxYX,278,40,79,25,4,3,3,11,5,9,13,9,4,7,2,3,1,3,7,1,2,3,0,5,1,1,0,1,3,0,1,0,1,0,0,1,0,1,0,1,1,7,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WYqX,149,22,21,13,1,0,19,3,1,4,0,24,0,1,2,9,5,0,7,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
