,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT,0.99,0.96,0.9,0.92,0.96,1.34,1.31,0.67,1.45,0.88,0.0
FUT ~ MOD shall,0.58,0.79,2.41,1.5,1.22,0.33,0.76,2.12,1.01,1.99,0.0
PRES,0.83,0.62,0.82,1.25,1.2,2.18,1.28,0.51,2.1,1.05,inf
IMPV ~ MOD shall,3.75,2.24,0.14,0.06,0.14,0.14,0.0,0.19,0.07,0.0,0.0
PAST,0.54,0.99,0.67,0.72,1.03,3.53,1.78,1.07,1.44,1.12,0.0
MOD must ~ MOD shall,1.9,1.48,1.1,0.53,0.6,0.22,0.07,0.51,0.11,0.39,0.0
FUT ~ PRES,0.71,0.74,1.6,1.77,0.77,0.84,1.16,0.99,0.98,1.28,0.0
MOD is to ~ MOD shall,1.36,1.1,0.73,0.91,1.64,0.33,0.26,1.79,0.28,0.0,0.0
MOD shall,1.51,0.78,0.52,1.55,1.9,0.49,0.0,0.65,0.36,0.0,0.0
MOD can,1.08,1.15,0.9,1.2,1.84,0.46,0.0,1.28,0.0,0.68,0.0
IMPV,1.53,2.97,0.69,0.04,0.0,0.77,0.89,0.0,0.0,0.0,0.0
MOD shall ~ PRES,1.23,0.75,1.56,1.33,0.78,0.8,0.2,0.59,0.0,2.36,0.0
MOD may,0.65,1.04,0.53,2.33,0.48,0.37,2.77,2.47,0.36,2.62,0.0
MOD would,1.24,0.49,0.44,1.56,0.72,1.59,1.99,1.18,0.86,0.0,0.0
PAST ~ PRES,1.19,0.6,0.68,0.93,0.77,2.35,2.15,0.41,0.46,0.0,0.0
PRES ~ PRES PART,1.72,0.85,0.12,1.15,0.84,1.35,1.19,1.14,0.0,0.0,0.0
FUT ~ MOD may,0.25,1.45,0.67,0.54,0.41,1.64,2.57,4.53,1.98,9.88,0.0
FUT ~ MOD can,0.94,1.35,1.45,1.92,0.69,0.0,0.87,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.44,0.38,2.91,2.71,1.05,0.0,0.47,1.4,1.57,2.71,0.0
MOD should,1.52,0.39,0.32,0.33,5.09,0.0,0.0,3.98,0.8,0.0,0.0
MOD can ~ PRES,1.24,0.92,0.51,0.53,4.35,0.56,0.0,0.75,0.0,0.0,0.0
MOD can ~ MOD shall,3.05,0.34,0.8,0.83,0.3,0.0,1.19,2.69,0.0,0.0,0.0
PRES ~ PRES PERF,1.35,0.9,0.18,1.07,0.96,0.99,1.19,0.84,3.01,0.0,0.0
PRES PART,1.4,1.67,0.82,0.4,0.0,2.22,0.59,0.0,0.0,0.0,0.0
MOD let,0.41,2.56,0.0,0.24,0.79,1.74,2.34,1.06,2.47,8.81,0.0
FUT ~ MOD would,2.11,0.45,0.77,1.11,0.81,0.84,0.75,1.1,0.0,0.0,0.0
MOD must,2.25,1.06,0.51,0.53,0.41,0.42,1.61,0.0,1.27,0.0,0.0
MOD shall ~ TO INF,1.18,1.35,0.53,1.95,0.0,0.0,1.67,1.18,0.0,4.65,0.0
MOD should ~ PRES,1.18,1.11,0.53,0.86,2.47,0.0,2.61,0.0,0.0,0.0,0.0
TO INF,0.39,2.51,0.28,0.6,0.0,3.49,2.83,1.27,0.0,0.0,0.0
PRES PERF,0.64,1.21,0.28,0.29,4.16,2.12,0.87,1.27,0.0,0.0,0.0
