eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT,3.26,5.4,8.86,8.99,13.17,10.69,19.28,46.75,28.77,143.85,inf
FUT ~ MOD shall,4.54,6.19,4.63,6.39,11.04,33.35,29.5,19.42,37.41,76.7,inf
PRES,3.63,7.42,9.54,7.2,11.18,7.6,19.45,59.92,21.71,124.83,374.5
IMPV ~ MOD shall,1.65,3.01,49.3,123.25,82.17,82.17,inf,164.33,493.0,inf,inf
PAST,5.07,5.3,11.67,11.29,12.5,4.73,14.0,31.82,26.92,116.67,inf
MOD must ~ MOD shall,2.21,3.92,7.56,14.77,20.31,54.17,325.0,65.0,325.0,325.0,inf
FUT ~ PRES,4.11,6.7,5.6,5.31,16.21,15.4,20.53,34.22,38.5,102.67,inf
MOD is to ~ MOD shall,2.66,4.87,10.75,9.21,8.32,36.86,86.0,19.85,129.0,inf,inf
MOD shall,2.5,6.41,14.64,5.86,7.32,25.62,inf,51.25,102.5,inf,inf
MOD can,3.08,4.7,8.95,7.23,7.52,26.86,inf,26.86,inf,188.0,inf
IMPV,2.47,2.47,11.44,183.0,inf,16.64,26.14,inf,inf,inf,inf
MOD shall ~ PRES,2.82,6.65,5.65,6.65,16.14,16.14,113.0,56.5,inf,56.5,inf
MOD may,4.43,5.1,14.57,4.25,25.5,34.0,9.27,14.57,102.0,51.0,inf
MOD would,2.81,9.67,17.4,5.8,17.4,8.7,12.43,29.0,43.5,inf,inf
PAST ~ PRES,2.89,8.1,11.57,9.0,16.2,6.23,11.57,81.0,81.0,inf,inf
PRES ~ PRES PART,2.31,6.0,60.0,7.5,15.0,10.0,20.0,30.0,inf,inf,inf
FUT ~ MOD may,9.83,3.93,11.8,14.75,29.5,8.43,9.83,8.43,19.67,14.75,inf
FUT ~ MOD can,3.38,4.15,6.0,4.91,18.0,inf,27.0,inf,inf,inf,inf
MOD may ~ MOD shall,6.13,12.25,3.5,3.77,12.25,inf,49.0,24.5,24.5,49.0,inf
MOD should,2.47,11.75,23.5,23.5,3.36,inf,inf,9.4,47.0,inf,inf
MOD can ~ PRES,2.81,5.62,15.0,15.0,3.75,22.5,inf,45.0,inf,inf,inf
MOD can ~ MOD shall,1.74,13.33,10.0,10.0,40.0,inf,20.0,13.33,inf,inf,inf
PRES ~ PRES PERF,2.67,5.71,40.0,8.0,13.33,13.33,20.0,40.0,13.33,inf,inf
PRES PART,2.6,3.55,9.75,19.5,inf,6.5,39.0,inf,inf,inf,inf
MOD let,6.4,2.67,inf,32.0,16.0,8.0,10.67,32.0,16.0,16.0,inf
FUT ~ MOD would,2.07,10.33,10.33,7.75,15.5,15.5,31.0,31.0,inf,inf,inf
MOD must,2.0,5.0,15.0,15.0,30.0,30.0,15.0,inf,30.0,inf,inf
MOD shall ~ TO INF,2.9,4.14,14.5,4.83,inf,inf,14.5,29.0,inf,29.0,inf
MOD should ~ PRES,2.9,4.83,14.5,9.67,5.8,inf,9.67,inf,inf,inf,inf
TO INF,6.75,2.7,27.0,13.5,inf,4.5,9.0,27.0,inf,inf,inf
PRES PERF,4.5,4.5,27.0,27.0,3.86,6.75,27.0,27.0,inf,inf,inf
PAST ~ PRES PERF,5.2,13.0,inf,26.0,8.67,3.71,8.67,26.0,6.5,inf,inf
MOD would ~ PAST,4.17,2.5,6.25,25.0,25.0,25.0,inf,25.0,25.0,inf,inf
IMPV ~ PRES,5.0,2.27,8.33,6.25,inf,12.5,inf,inf,inf,inf,inf
MOD can ~ MOD may,2.67,3.43,8.0,12.0,24.0,inf,12.0,inf,inf,inf,inf
FUT ~ MOD lest,inf,1.64,23.0,inf,23.0,inf,inf,3.29,inf,inf,inf
MOD shall ~ MOD should,1.91,4.2,inf,10.5,7.0,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,6.67,5.0,20.0,6.67,6.67,5.0,10.0,inf,inf,inf,inf
MOD could,2.11,4.75,19.0,19.0,9.5,inf,inf,9.5,inf,inf,inf
MOD may ~ PRES,6.33,4.75,inf,3.8,9.5,9.5,9.5,19.0,inf,inf,inf
FUT ~ IMPV,6.0,3.0,18.0,6.0,inf,4.5,18.0,inf,inf,inf,inf
MOD shall ~ PRES PART,2.43,5.67,5.67,inf,8.5,inf,17.0,17.0,inf,inf,inf
MOD would ~ PRES,2.0,8.0,16.0,8.0,inf,16.0,16.0,inf,16.0,inf,inf
PAST ~ PRES PART,5.33,3.2,16.0,16.0,8.0,16.0,5.33,inf,inf,inf,inf
FUT ~ PAST,5.0,3.75,5.0,15.0,15.0,15.0,15.0,inf,inf,15.0,inf
MOD let ~ PRES,7.5,5.0,inf,15.0,15.0,3.75,15.0,inf,7.5,15.0,inf
PRES ~ TO INF,4.67,4.67,14.0,inf,inf,2.8,7.0,inf,inf,inf,inf
MOD let ~ MOD shall,4.33,6.5,6.5,13.0,6.5,13.0,inf,13.0,13.0,inf,inf
FUT ~ PRES PART,2.0,4.0,12.0,inf,12.0,inf,inf,inf,inf,12.0,inf
FUT ~ MOD let,4.0,6.0,12.0,inf,inf,6.0,inf,inf,4.0,12.0,inf
MOD shall ~ PAST,2.75,inf,3.67,11.0,5.5,inf,inf,11.0,inf,inf,inf
IMPV ~ MOD can,5.5,1.22,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,2.75,3.67,inf,5.5,inf,inf,inf,5.5,inf,inf,inf
IMPV ~ MOD must,1.83,5.5,11.0,11.0,inf,inf,inf,inf,11.0,inf,inf
IMPV ~ MOD may,2.2,2.2,inf,inf,inf,inf,11.0,inf,inf,inf,inf
MOD may ~ MOD must,2.0,3.33,5.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,2.5,10.0,10.0,5.0,inf,10.0,inf,inf,10.0,inf,inf
HAB used to ~ PAST,4.5,4.5,inf,9.0,3.0,inf,inf,9.0,inf,inf,inf
FUT ~ MOD should,1.8,9.0,4.5,9.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,4.5,inf,inf,3.0,inf,9.0,9.0,9.0,9.0,inf,inf
PRES ~ PRES PROG,2.67,inf,4.0,8.0,8.0,inf,inf,inf,8.0,inf,inf
PAST ~ TO INF,3.5,7.0,7.0,inf,7.0,3.5,inf,inf,inf,inf,inf
PAST ~ PAST PERF,2.33,7.0,3.5,7.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,7.0,7.0,3.5,3.5,inf,7.0,inf,inf,inf,inf,inf
MOD may ~ TO INF,6.0,6.0,inf,inf,inf,inf,1.5,inf,inf,inf,inf
MOD let ~ MOD must,3.0,3.0,6.0,inf,inf,inf,inf,6.0,inf,inf,inf
MOD was to ~ PAST,2.0,inf,inf,inf,3.0,inf,6.0,inf,inf,inf,inf
MOD could ~ PAST,5.0,2.5,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
MOD is to,5.0,inf,inf,1.67,5.0,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,1.25,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf
MOD can ~ TO INF,2.5,2.5,inf,5.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,2.5,5.0,2.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,1.25,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf
IMPV ~ PRES PART,1.67,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,inf,4.0,1.33,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,4.0,inf,2.0,inf,inf,inf,inf,4.0,inf,inf,inf
MOD can ~ PAST,inf,4.0,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,4.0,inf,inf,inf,4.0,4.0,inf,4.0,inf,inf,inf
MOD let ~ MOD may,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0,inf,inf
IMPV ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,4.0,4.0,4.0,inf,inf,inf,4.0,inf,inf,inf,inf
?VB ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,inf,4.0,2.0,4.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF,inf,inf,2.0,inf,inf,4.0,inf,4.0,inf,inf,inf
PRES PART ~ TO INF,inf,1.33,inf,inf,inf,4.0,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,4.0,inf,inf,inf,inf,1.33,inf,inf,inf,inf
FUT ~ FUT going-to,2.0,inf,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,inf,inf,inf,inf,inf,inf,1.33,inf,4.0,inf,inf
HAB used to,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,inf,inf,inf,3.0,inf,1.5,inf,inf,inf,inf,inf
