eng_TAMsimp,Main,SubAdv,SubMod,SubArg
PRES,1498,783,326,56
FUT,1870,279,61,41
FUT ~ MOD shall,1534,141,33,19
IMPV ~ MOD shall,493,8,3,0
PAST,350,58,35,4
FUT ~ PRES,308,77,21,8
MOD must ~ MOD shall,325,12,1,0
MOD is to ~ MOD shall,258,11,23,2
MOD can,188,48,26,7
MOD shall,205,13,1,0
MOD may,102,76,7,3
IMPV,183,4,0,0
MOD shall ~ PRES,113,12,21,2
MOD would,87,14,3,11
PAST ~ PRES,81,19,5,5
FUT ~ MOD may,59,42,1,1
PRES ~ PRES PART,60,21,14,1
PRES ~ PRES PERF,40,33,14,1
MOD should,47,20,9,3
MOD can ~ PRES,45,18,7,1
FUT ~ MOD lest,23,48,0,0
FUT ~ MOD can,54,7,2,1
PRES PERF,27,27,6,1
MOD may ~ MOD shall,49,2,1,1
PRES PART,39,6,3,1
IMPV ~ PRES,25,20,0,2
TO INF,27,8,2,10
MOD may ~ PRES,19,21,6,0
MOD can ~ MOD shall,40,3,1,0
MOD should ~ PRES,29,13,1,1
PRES ~ TO INF,14,13,10,4
FUT ~ MOD would,31,8,1,0
MOD could,19,5,12,2
MOD shall ~ TO INF,29,3,2,3
MOD must,30,5,1,0
MOD let,32,3,0,0
MOD can ~ MOD may,24,7,3,0
PAST ~ PRES PERF,26,5,2,0
MOD shall ~ MOD should,21,4,2,4
MOD would ~ PAST,25,2,2,0
FUT ~ TO INF,20,5,0,2
MOD would ~ PRES,16,2,1,4
FUT ~ IMPV,18,3,0,0
PAST ~ PRES PART,16,4,1,0
MOD shall ~ PRES PART,17,1,1,1
MOD should ~ TO INF,2,8,2,6
MOD must ~ PRES,11,3,2,2
PRES ~ PRES PROG,8,5,2,1
MOD lest ~ MOD may,4,12,0,0
MOD let ~ PRES,15,0,0,0
FUT ~ PRES PART,12,3,0,0
FUT ~ PAST,15,0,0,0
MOD shall ~ PAST,11,3,0,0
FUT ~ MOD let,12,2,0,0
MOD lest ~ PRES,3,11,0,0
MOD should ~ MOD would,9,4,1,0
IMPV ~ MOD may,11,2,0,0
MOD let ~ MOD shall,13,0,0,0
FUT ~ MOD should,9,1,1,1
HAB used to ~ PAST,9,0,3,0
MOD may ~ TO INF,6,5,0,1
IMPV ~ MOD must,11,1,0,0
IMPV ~ MOD let,10,1,0,0
IMPV ~ MOD can,11,0,0,0
MOD might,3,6,1,1
PAST ~ TO INF,7,1,1,2
MOD may ~ MOD must,10,0,0,0
PAST ~ PAST PERF,7,1,0,2
MOD is to,5,1,2,2
MOD was to ~ PAST,6,1,2,0
MOD can ~ MOD should,2,5,0,1
MOD can ~ MOD could,2,4,2,0
MOD lest,2,5,0,0
PAST PERF,4,1,2,0
FUT ~ MOD must,7,0,0,0
MOD should ~ MOD was to,2,1,3,1
MOD might ~ MOD would,3,3,0,0
MOD could ~ PAST,5,1,0,0
FUT ~ PRES PERF,3,3,0,0
PAST ~ PAST PROG,5,1,0,0
FUT going-to ~ MOD shall,5,1,0,0
MOD lest ~ MOD might,2,4,0,0
MOD shall ~ MOD would,5,1,0,0
MOD let ~ MOD must,6,0,0,0
PRES PART ~ TO INF,4,0,2,0
MOD is to ~ MOD may,3,1,2,0
MOD could ~ MOD would,4,2,0,0
FUT ~ FUT going-to,4,1,0,0
MOD VB ~ MOD may,3,2,0,0
MOD can ~ PRES PART,4,1,0,0
MOD is to ~ MOD must,2,0,2,1
MOD can ~ TO INF,5,0,0,0
IMPV ~ PRES PART,5,0,0,0
MOD lest ~ TO INF,0,5,0,0
MOD might ~ TO INF,2,3,0,0
MOD may ~ PRES PART,3,2,0,0
MOD would ~ TO INF,2,0,1,2
MOD might ~ PAST,4,1,0,0
MOD might ~ MOD should,4,0,0,1
MOD was to,4,0,1,0
?VB ~ PAST,4,0,0,0
IMPV ~ TO INF,4,0,0,0
PRES PERF ~ TO INF,4,0,0,0
MOD could ~ MOD might,2,2,0,0
MOD can ~ PAST,4,0,0,0
FUT ~ MOD is to,1,0,1,2
MOD VB ~ PRES,0,4,0,0
