,Main,SubAdv,SubMod,SubArg
PRES,-125.53,70.52,44.91,0.2
FUT,24.85,-11.61,-14.57,-0.21
FUT ~ MOD shall,54.39,-30.73,-17.57,-2.44
IMPV ~ MOD shall,47.93,-30.52,-9.78,-4.25
PAST,1.12,-1.89,0.98,-0.93
FUT ~ PRES,-0.06,0.33,-0.34,0.0
MOD must ~ MOD shall,26.15,-14.37,-7.48,-2.66
MOD is to ~ MOD shall,7.55,-12.16,0.76,-0.87
MOD can,-1.12,0.09,1.74,0.42
MOD shall,12.57,-6.1,-4.44,-1.62
MOD may,-9.03,13.3,-0.66,0.0
IMPV,17.81,-10.21,-4.82,-1.25
MOD shall ~ PRES,0.15,-2.7,3.53,0.0
MOD would,0.04,-0.76,-0.79,4.76
PAST ~ PRES,-0.08,0.0,-0.16,1.17
FUT ~ MOD may,-3.86,7.74,-1.67,-0.14
PRES ~ PRES PART,-2.05,0.65,2.77,0.0
PRES ~ PRES PERF,-8.14,5.24,3.15,0.0
MOD should,-2.57,1.14,1.27,0.68
MOD can ~ PRES,-1.41,1.09,0.7,0.0
FUT ~ MOD lest,-13.16,20.17,-1.66,-0.39
FUT ~ MOD can,1.08,-0.61,-0.23,0.0
PRES PERF,-6.41,6.09,0.74,0.0
MOD may ~ MOD shall,2.85,-2.26,-0.43,0.0
PRES PART,0.29,-0.35,-0.0,0.2
IMPV ~ PRES,-2.71,4.37,-0.94,0.62
TO INF,-1.98,0.0,0.0,7.67
MOD may ~ PRES,-5.82,5.13,1.25,0.0
MOD can ~ MOD shall,1.87,-1.14,-0.28,0.0
MOD should ~ PRES,-0.65,1.36,-0.28,0.23
PRES ~ TO INF,-7.3,1.67,3.93,2.06
FUT ~ MOD would,0.07,0.17,-0.29,0.0
MOD could,-2.96,-0.18,5.89,0.76
MOD shall ~ TO INF,0.15,-0.72,0.0,1.44
MOD must,0.47,-0.08,-0.14,0.0
MOD let,1.72,-0.59,-0.57,0.0
MOD can ~ MOD may,-0.25,0.19,0.34,0.0
PAST ~ PRES PERF,0.16,0.0,-0.0,0.0
MOD shall ~ MOD should,-0.39,-0.19,0.15,2.5
MOD would ~ PAST,0.7,-0.67,0.16,0.0
FUT ~ TO INF,0.0,0.1,-0.39,1.0
MOD would ~ PRES,-0.2,-0.39,0.0,3.0
FUT ~ IMPV,0.49,0.0,-0.2,0.0
PAST ~ PRES PART,-0.0,0.11,0.0,0.0
MOD shall ~ PRES PART,0.36,-0.63,0.0,0.48
MOD should ~ TO INF,-7.62,2.18,0.53,6.06
MOD must ~ PRES,-0.74,0.0,0.53,1.31
PRES ~ PRES PROG,-1.42,0.76,0.6,0.56
MOD lest ~ MOD may,-4.37,6.2,-0.21,0.0
MOD let ~ PRES,1.77,-1.05,0.0,0.0
FUT ~ PRES PART,0.11,0.13,0.0,0.0
FUT ~ PAST,1.77,-1.05,0.0,0.0
MOD shall ~ PAST,-0.0,0.14,0.0,0.0
FUT ~ MOD let,0.27,0.0,0.0,0.0
MOD lest ~ PRES,-4.36,6.06,0.0,0.0
MOD should ~ MOD would,-0.44,0.55,0.24,0.0
IMPV ~ MOD may,0.27,0.0,0.0,0.0
MOD let ~ MOD shall,1.32,-0.84,0.0,0.0
FUT ~ MOD should,-0.0,-0.15,0.28,0.67
HAB used to ~ PAST,-0.0,-0.62,1.5,0.0
MOD may ~ TO INF,-1.06,1.38,0.0,0.67
IMPV ~ MOD must,0.5,-0.15,0.0,0.0
IMPV ~ MOD let,0.51,-0.15,0.0,0.0
IMPV ~ MOD can,1.12,-0.64,0.0,0.0
MOD might,-2.89,2.26,0.31,0.7
PAST ~ TO INF,-0.31,-0.15,0.31,1.72
MOD may ~ MOD must,1.13,-0.64,0.0,0.0
PAST ~ PAST PERF,-0.14,0.0,0.0,1.8
MOD is to,-0.87,0.0,0.93,1.8
MOD was to ~ PAST,-0.15,0.0,1.01,0.0
MOD can ~ MOD should,-2.35,2.27,0.0,0.83
MOD can ~ MOD could,-2.35,1.46,1.1,0.0
MOD lest,-1.87,2.62,0.0,0.0
PAST PERF,-0.42,0.0,1.21,0.0
FUT ~ MOD must,0.69,-0.21,0.0,0.0
MOD should ~ MOD was to,-1.87,0.0,2.2,0.88
MOD might ~ MOD would,-0.76,1.16,0.0,0.0
MOD could ~ PAST,-0.0,0.0,0.0,0.0
FUT ~ PRES PERF,-0.76,1.16,0.0,0.0
PAST ~ PAST PROG,-0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0,0.0,0.0
MOD lest ~ MOD might,-1.41,2.0,0.0,0.0
MOD shall ~ MOD would,-0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.46,-0.22,0.0,0.0
PRES PART ~ TO INF,-0.19,-0.22,1.34,0.0
MOD is to ~ MOD may,-0.76,0.0,1.34,0.0
MOD could ~ MOD would,-0.19,0.56,0.0,0.0
FUT ~ FUT going-to,-0.0,-0.0,0.0,0.0
MOD VB ~ MOD may,-0.22,0.68,0.0,0.0
MOD can ~ PRES PART,-0.0,-0.0,0.0,0.0
MOD is to ~ MOD must,-0.97,-0.23,1.5,1.02
MOD can ~ TO INF,0.47,-0.23,0.0,0.0
IMPV ~ PRES PART,0.47,-0.23,0.0,0.0
MOD lest ~ TO INF,-2.99,3.81,0.0,0.0
MOD might ~ TO INF,-0.97,1.41,0.0,0.0
MOD may ~ PRES PART,-0.22,0.68,0.0,0.0
MOD would ~ TO INF,-0.97,-0.23,0.57,2.42
MOD might ~ PAST,-0.0,-0.0,0.0,0.0
MOD might ~ MOD should,-0.0,-0.23,0.0,1.02
MOD was to,-0.0,-0.23,0.57,0.0
?VB ~ PAST,0.24,0.0,0.0,0.0
IMPV ~ TO INF,0.24,0.0,0.0,0.0
PRES PERF ~ TO INF,0.24,0.0,0.0,0.0
MOD could ~ MOD might,-0.57,0.85,0.0,0.0
MOD can ~ PAST,0.24,0.0,0.0,0.0
FUT ~ MOD is to,-1.28,0.0,0.66,2.64
MOD VB ~ PRES,-2.39,3.05,0.0,0.0
PAST PERF ~ PRES,-0.0,0.0,0.66,0.0
IMPV ~ PAST,0.24,0.0,0.0,0.0
MOD should ~ PAST,-1.28,1.75,0.0,0.0
HAB used to,-0.0,0.0,0.0,1.11
IMPV ~ MOD lest,-0.57,0.85,0.0,0.0
MOD let ~ MOD may,0.24,0.0,0.0,0.0
FUT ~ PRES PROG,0.0,0.36,0.0,0.0
MOD shall ~ PRES PERF,0.24,0.0,0.0,0.0
MOD would ~ PRES PART,-0.8,1.1,0.0,0.0
FUT ~ MOD that be,0.24,0.0,0.0,0.0
MOD can ~ MOD let,0.24,0.0,0.0,0.0
PAST PROG,-0.8,0.0,1.98,0.0
MOD can ~ MOD might,-0.8,0.0,0.0,2.93
MOD lest ~ MOD would,-0.8,1.1,0.0,0.0
MOD could ~ MOD must,0.24,0.0,0.0,0.0
MOD could ~ MOD should,-1.79,2.29,0.0,0.0
IMPV ~ MOD is to,0.24,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.24,0.0,0.0,0.0
MOD may ~ MOD might,-0.8,1.1,0.0,0.0
FUT PROG ~ PRES,-0.8,1.1,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.77,0.0
PRES ~ PRES do,-0.35,0.5,0.0,0.0
MOD may ~ PAST,-0.35,0.0,0.93,0.0
MOD lest ~ MOD should,-1.19,1.52,0.0,0.0
MOD should ~ PRES PERF,-0.35,0.0,0.0,1.41
MOD lest ~ MOD shall,-0.35,0.5,0.0,0.0
IMPV ~ MOD should,-0.0,0.0,0.0,0.0
MOD is to ~ TO INF,-1.19,0.0,0.93,1.41
MOD let ~ PAST,-0.0,0.0,0.0,0.0
MOD need not ~ PRES,-0.35,0.0,0.93,0.0
MOD need not ~ MOD shall,-0.0,0.0,0.0,0.0
MOD let ~ TO INF,-0.0,0.0,0.0,0.0
MOD can ~ MOD must,-0.35,0.0,0.93,0.0
PAST PROG ~ PRES,-1.19,1.52,0.0,0.0
MOD could ~ TO INF,-0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,-1.19,0.5,0.93,0.0
PRES PROG,-0.35,0.0,0.93,0.0
MOD must ~ MOD should,-0.0,0.0,0.0,0.0
PRES ~ PRES can,-0.6,0.76,0.0,0.0
PRES PART ~ PRES PROG,-0.6,0.76,0.0,0.0
MOD was to ~ PRES,-0.0,0.0,0.0,0.0
FUT PERF ~ PRES,-0.6,0.76,0.0,0.0
HAB used to ~ MOD would,-0.6,0.0,0.0,1.7
PRES ~ PRES shall,-0.6,0.0,1.22,0.0
HAB used to ~ PRES,-0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,-0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,-0.0,0.0,0.0,0.0
FUT ~ PRES shall,-0.0,0.0,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,-0.6,0.0,0.0,1.7
FUT going-to ~ MOD lest,-0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,-0.6,0.0,0.0,1.7
PAST PROG ~ PRES PART,-0.0,0.0,0.0,0.0
MOD ~ PRES,-0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.6,0.76,0.0,0.0
FUT PERF,-0.0,0.0,0.0,0.0
FUT ~ MOD,-0.0,0.0,0.0,0.0
MOD let ~ MOD should,-0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,-0.6,0.0,1.22,0.0
MOD is to ~ PRES PROG,-0.6,0.0,1.22,0.0
MOD might ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,-0.6,0.0,0.0,1.7
MOD could ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0,0.0,0.0
MOD is to ~ MOD should,-0.6,0.76,0.0,0.0
MOD is to ~ PRES,-0.6,0.0,1.22,0.0
MOD may ~ MOD would,-0.0,0.0,0.0,0.0
MOD that be ~ TO INF,-0.6,0.76,0.0,0.0
MOD lest ~ MOD let,-0.6,0.76,0.0,0.0
MOD may ~ MOD should,-0.6,0.0,1.22,0.0
MOD lest ~ MOD must,-0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,-0.6,0.76,0.0,0.0
MOD let ~ PRES PERF,-0.6,0.76,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0
MOD could ~ MOD shall,-0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,-0.0,0.0,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,-0.0,0.0,0.0,0.0
MOD must ~ PRES shall,-0.0,0.0,0.0,0.0
MOD must ~ TO INF,-0.6,0.0,1.22,0.0
MOD can ~ MOD lest,-0.6,0.76,0.0,0.0
MOD VB ~ TO INF,-0.6,0.0,0.0,1.7
MOD VB ~ MOD shall,-0.0,0.0,0.0,0.0
MOD let ~ MOD that be,-0.0,0.0,0.0,0.0
MOD VB ~ MOD can,-0.0,0.0,0.0,0.0
JJ ~ PRES,-0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,-0.0,0.0,0.0,0.0
