eng_TAMsimp,x,Wx,Ø,W
PRES,0.09,-0.06,0.01,-0.04
FUT,-0.03,0.0,0.02,0.01
FUT ~ MOD shall,-0.05,0.12,-0.04,-0.02
IMPV,0.09,0.06,-0.1,-0.05
IMPV ~ MOD shall,0.09,0.08,-0.1,-0.07
PAST,-0.13,0.0,0.13,-0.0
FUT ~ PRES,-0.0,0.04,-0.02,-0.02
MOD let,-0.39,-0.16,0.37,0.18
MOD must ~ MOD shall,0.04,0.03,-0.01,-0.06
MOD may,-0.09,-0.1,-0.05,0.24
MOD is to ~ MOD shall,0.06,0.03,-0.03,-0.06
MOD can,0.15,0.02,-0.1,-0.06
MOD shall,0.15,-0.07,-0.03,-0.06
MOD shall ~ PRES,0.07,-0.02,-0.0,-0.05
FUT ~ MOD may,-0.15,-0.03,-0.02,0.2
MOD would,0.08,-0.1,0.02,-0.0
IMPV ~ MOD let,-0.28,-0.06,0.22,0.12
PAST ~ PRES,-0.03,-0.05,0.08,0.01
MOD let ~ MOD may,-0.38,-0.16,0.4,0.14
PRES ~ PRES PART,0.09,-0.04,-0.02,-0.03
PRES ~ PRES PERF,0.16,-0.09,-0.02,-0.04
MOD should,0.22,-0.11,-0.1,-0.02
FUT ~ MOD lest,0.14,0.07,-0.14,-0.07
MOD can ~ PRES,0.19,-0.01,-0.12,-0.07
TO INF,-0.22,-0.04,0.01,0.24
FUT ~ MOD can,0.09,0.08,-0.13,-0.04
MOD may ~ PRES,0.04,-0.09,0.0,0.05
PRES PERF,0.17,-0.1,-0.03,-0.03
MOD may ~ MOD shall,-0.06,0.08,-0.02,0.0
IMPV ~ PRES,-0.14,0.17,0.02,-0.05
MOD can ~ MOD may,-0.12,-0.03,-0.14,0.29
PRES PART,-0.05,0.08,0.02,-0.05
PRES ~ TO INF,-0.03,-0.05,0.01,0.07
MOD should ~ PRES,0.13,-0.01,-0.12,-0.0
MOD can ~ MOD shall,0.19,-0.02,-0.14,-0.02
FUT ~ MOD would,0.13,-0.06,-0.05,-0.02
MOD must,0.12,-0.07,-0.04,-0.01
MOD shall ~ TO INF,0.01,0.04,-0.09,0.04
MOD could,0.2,-0.04,-0.14,-0.01
PAST ~ PRES PERF,-0.12,-0.13,0.22,0.02
MOD may ~ TO INF,-0.33,-0.22,-0.14,0.69
MOD shall ~ MOD should,0.3,-0.09,-0.14,-0.07
IMPV ~ MOD may,-0.11,0.02,-0.01,0.1
FUT ~ TO INF,-0.16,0.06,0.03,0.07
MOD would ~ PAST,-0.3,0.23,0.13,-0.07
MOD would ~ PRES,0.2,-0.12,-0.06,-0.02
FUT ~ IMPV,-0.28,0.01,0.2,0.06
MOD let ~ PRES,-0.27,-0.11,0.31,0.07
PAST ~ PRES PART,-0.06,0.08,-0.1,0.08
FUT ~ MOD let,-0.25,-0.11,0.24,0.12
MOD shall ~ PRES PART,0.06,-0.0,-0.04,-0.02
MOD should ~ TO INF,0.3,-0.15,-0.14,-0.01
MOD must ~ PRES,0.18,0.03,-0.14,-0.07
FUT ~ PRES PART,-0.01,-0.07,0.09,-0.01
MOD let ~ TO INF,-0.54,-0.19,0.03,0.7
MOD lest ~ MOD may,0.15,0.06,-0.14,-0.07
PRES ~ PRES PROG,0.15,-0.06,-0.02,-0.07
MOD let ~ MOD shall,-0.14,-0.12,0.26,-0.0
FUT ~ PAST,-0.21,0.22,-0.08,0.07
IMPV ~ MOD must,0.18,-0.11,-0.0,-0.07
MOD lest ~ PRES,0.18,0.04,-0.14,-0.07
MOD shall ~ PAST,0.1,0.04,-0.07,-0.07
MOD should ~ MOD would,-0.11,0.04,-0.0,0.08
PAST ~ TO INF,0.08,-0.1,0.01,0.01
FUT ~ MOD should,0.21,-0.0,-0.14,-0.07
HAB used to ~ PAST,0.21,-0.0,-0.14,-0.07
MOD might,0.19,-0.16,0.04,-0.07
MOD may ~ MOD must,-0.08,0.11,-0.05,0.02
IMPV ~ MOD can,-0.36,0.57,-0.14,-0.07
MOD is to,0.46,-0.25,-0.14,-0.07
PAST ~ PAST PERF,0.06,0.05,-0.04,-0.07
MOD let ~ MOD must,-0.43,0.19,0.19,0.04
MOD was to ~ PAST,0.35,-0.25,-0.14,0.04
MOD is to ~ MOD let,0.02,-0.03,-0.03,0.04
MOD can ~ MOD should,0.46,-0.25,-0.14,-0.07
MOD let ~ PAST,-0.41,-0.13,0.48,0.06
