,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
PRES,0.62,0.48,0.9,2.43,0.45,3.54,4.27,1.23,2.99,4.57,4.43,1.1,0.0
FUT,1.09,1.12,1.3,0.81,1.11,0.46,0.39,0.98,0.54,0.13,0.45,0.79,2.37
FUT ~ MOD shall,1.21,2.01,0.75,0.51,0.68,0.34,0.27,0.61,0.66,0.09,0.31,0.0,0.0
IMPV,3.12,1.58,0.3,0.05,0.28,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,2.84,1.76,0.32,0.11,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.61,0.97,2.27,0.71,0.96,1.35,1.19,0.39,1.59,2.6,0.0,2.25,14.65
FUT ~ PRES,0.97,1.17,0.77,1.1,0.73,0.93,1.53,0.97,1.65,0.85,0.0,2.35,0.0
MOD let,0.31,0.34,7.32,0.12,4.91,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,2.25,1.37,0.97,0.22,0.08,0.06,0.0,0.0,1.03,0.0,0.0,0.0,0.0
MOD may,0.49,0.49,0.69,1.9,6.8,0.43,1.04,0.54,0.52,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,1.72,1.35,0.78,0.23,0.14,1.72,0.0,0.39,1.18,0.0,0.0,0.0,0.0
MOD can,1.38,1.08,0.2,1.24,0.05,1.99,1.12,1.57,0.64,1.37,0.0,0.0,0.0
MOD shall,3.19,0.79,0.85,0.46,0.06,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0
MOD shall ~ PRES,1.25,0.98,0.9,0.47,0.29,3.15,0.49,0.39,1.16,1.22,0.0,6.89,0.0
FUT ~ MOD may,0.18,0.87,0.9,3.17,5.23,0.15,0.55,0.0,0.0,0.0,0.0,7.73,0.0
MOD would,1.35,0.53,1.1,0.66,1.02,0.34,0.62,6.13,2.97,1.53,0.0,0.0,0.0
IMPV ~ MOD let,0.6,0.75,3.75,0.07,3.36,0.0,0.33,0.0,0.0,0.0,0.0,9.28,0.0
PAST ~ PRES,0.84,0.67,1.55,0.97,1.11,0.55,1.37,2.79,3.22,3.4,0.0,0.0,0.0
MOD let ~ MOD may,0.35,0.37,7.96,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,1.14,0.54,0.52,1.05,0.46,2.35,2.91,0.61,1.82,8.29,6.41,0.0,0.0
PRES ~ PRES PERF,0.64,0.39,0.48,3.11,0.33,2.89,2.22,0.67,4.09,6.64,0.0,0.0,0.0
MOD should,1.33,0.47,0.25,1.9,0.54,2.15,0.9,2.2,0.0,2.23,7.43,0.0,0.0
FUT ~ MOD lest,0.03,1.63,0.0,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,1.41,0.7,0.19,1.65,0.0,2.2,2.79,0.83,0.0,0.0,0.0,0.0,0.0
TO INF,0.2,0.78,0.72,0.55,6.57,0.58,1.06,8.77,2.48,0.0,0.0,53.88,0.0
FUT ~ MOD can,1.71,1.7,0.0,0.9,0.46,0.32,0.0,0.92,0.0,2.91,0.0,0.0,0.0
MOD may ~ PRES,0.48,0.37,1.13,2.79,1.83,2.16,2.54,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.49,0.52,0.59,4.81,0.24,1.79,0.61,0.97,2.9,3.06,10.18,0.0,0.0
MOD may ~ MOD shall,1.29,1.69,0.91,0.26,1.06,0.35,0.0,1.02,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.4,1.3,1.13,1.63,0.0,0.0,6.34,2.21,3.22,0.0,11.31,0.0,0.0
MOD can ~ MOD may,0.57,0.87,0.0,1.0,8.2,1.28,0.75,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.88,1.53,1.11,0.83,0.3,0.85,0.76,1.22,0.0,3.82,0.0,0.0,0.0
PRES ~ TO INF,0.13,0.34,0.83,1.35,2.21,5.06,4.62,5.77,3.95,4.17,0.0,0.0,0.0
MOD should ~ PRES,1.21,0.75,0.15,2.1,1.02,0.45,2.62,1.33,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,3.2,1.02,0.0,0.54,0.68,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,1.82,0.69,0.51,1.22,0.72,0.49,0.89,0.0,4.24,0.0,0.0,0.0,0.0
MOD must,1.82,0.78,0.78,1.11,0.8,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,1.06,1.24,0.37,0.41,1.69,1.11,0.99,5.05,0.0,0.0,0.0,0.0,0.0
MOD could,0.84,0.78,0.0,0.41,0.0,9.4,0.99,3.26,0.0,0.0,35.6,0.0,0.0
PAST ~ PRES PERF,0.68,0.35,3.33,0.73,1.43,1.29,1.14,0.0,5.44,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.06,0.11,0.0,1.31,46.04,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,1.94,0.67,0.0,1.09,0.0,1.38,0.0,8.77,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,1.05,1.26,1.02,0.52,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.69,0.72,1.38,0.26,2.3,0.0,5.9,4.35,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.21,3.25,2.53,0.54,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,1.4,0.52,0.63,0.7,0.65,0.91,0.0,12.47,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.27,1.22,3.55,1.1,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.68,0.55,5.55,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.73,1.39,0.33,1.22,2.39,1.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.43,0.58,4.09,0.77,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,1.82,0.87,0.74,0.0,0.75,1.05,1.93,3.08,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.21,0.0,0.0,3.39,0.8,2.36,4.32,27.6,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.91,1.33,0.0,1.47,0.0,2.51,0.0,7.34,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.99,0.74,2.04,1.57,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.22,1.42,0.0,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.0,1.16,0.0,16.23,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.61,0.5,0.95,2.45,0.0,2.87,2.44,3.9,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,1.21,0.53,4.43,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.91,3.04,0.47,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,3.28,0.58,1.11,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.0,0.95,0.0,18.44,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,1.37,1.39,0.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
