clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
eng_TAMsimp,,,,,,,,,,,,,
PRES,3.69,7.41,8.12,4.8,26.96,9.39,14.98,50.87,81.7,69.13,207.38,898.67,inf
FUT,2.83,4.44,5.72,10.4,10.54,43.41,86.83,64.56,314.75,1259.0,1259.0,1259.0,2518.0
FUT ~ MOD shall,2.57,2.95,9.36,14.62,18.24,55.28,126.36,93.11,252.71,1769.0,1769.0,inf,inf
IMPV,1.61,3.41,17.84,169.5,48.43,inf,inf,678.0,inf,inf,inf,inf,inf
MOD let,7.21,14.23,2.03,79.29,3.56,inf,277.5,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,1.67,3.0,21.25,63.75,inf,170.0,inf,inf,inf,inf,inf,inf,inf
PAST,4.0,4.57,3.96,11.3,16.14,16.14,32.29,150.67,113.0,75.33,452.0,452.0,452.0
FUT ~ PRES,2.91,4.06,9.23,7.91,15.82,23.32,26.06,63.29,110.75,221.5,inf,443.0,inf
MOD may,5.58,9.57,7.73,6.0,2.72,57.43,44.67,134.0,201.0,inf,inf,inf,inf
MOD must ~ MOD shall,1.82,3.59,7.75,34.1,170.5,341.0,inf,inf,170.5,inf,inf,inf,inf
MOD is to ~ MOD shall,2.06,3.6,9.52,32.78,98.33,12.83,inf,147.5,147.5,inf,inf,inf,inf
MOD can,2.32,4.23,33.88,6.95,271.0,11.29,33.88,38.71,271.0,135.5,inf,inf,inf
MOD shall,1.59,5.39,8.84,17.0,110.5,inf,inf,inf,inf,221.0,inf,inf,inf
FUT ~ MOD may,13.75,6.11,8.25,4.12,2.66,165.0,82.5,inf,inf,inf,inf,165.0,inf
MOD shall ~ PRES,2.51,4.64,7.29,17.0,51.0,7.65,76.5,153.0,153.0,153.0,inf,153.0,inf
IMPV ~ MOD let,3.26,5.6,3.11,140.0,5.83,inf,140.0,inf,inf,inf,inf,140.0,inf
MOD would,2.63,8.56,6.23,13.7,7.61,68.5,68.5,12.45,68.5,137.0,137.0,inf,inf
MOD let ~ MOD may,5.5,11.0,1.97,inf,4.55,inf,inf,inf,inf,inf,inf,inf,inf
