,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,-8.24,-5.92,-29.71,52.72,-7.61,-1.91,-4.94,55.64,-5.94,-1.72,-1.33,0.0,0.07,24.18,0.73,0.73,-1.87,0.53,0.94,0.88,-1.11,15.51,0.0,3.75,0.08,0.89,-0.0,0.0,0.75,1.3,0.0,0.12,2.18,1.38,0.0,0.3,4.25,4.25,0.57,0.37,0.16,0.7,0.18,0.2,0.2,1.02,1.25,2.81,0.23,0.75,0.0,0.23,1.58,0.0,0.31,0.31,0.0,0.99,0.31,0.45,0.0,0.45,0.0,1.41,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0
FUT,0.02,6.18,-0.52,-10.01,1.41,2.33,0.23,-9.88,2.26,0.07,-0.39,5.46,-1.35,-7.25,-1.73,0.24,-0.32,0.12,0.0,0.79,3.2,-2.37,1.65,0.4,-0.19,0.09,-0.09,0.57,-0.8,-0.25,1.0,-0.47,0.12,-0.31,-0.31,0.55,0.0,-0.15,-0.15,0.0,0.71,0.83,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.36,0.36,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0
FUT ~ MOD shall,-11.69,3.61,-0.03,-26.64,33.77,13.33,5.36,-12.12,-2.49,-1.41,-13.61,0.94,19.87,-7.69,5.33,0.68,-2.79,-1.53,1.04,-0.96,0.0,-2.29,-0.09,-0.33,1.19,-0.51,4.42,0.97,-0.99,0.47,-0.81,-0.81,-0.6,0.39,2.26,0.15,-0.41,-0.41,0.18,0.89,0.48,0.0,0.0,0.65,-0.22,0.25,0.0,0.0,1.08,0.0,0.0,0.37,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,63.43,-2.3,2.09,-22.7,-2.53,-9.12,2.51,-13.84,1.44,0.78,-8.59,-4.18,-3.55,-2.86,-2.86,-1.45,-1.47,-1.12,-0.93,-0.28,0.0,-0.58,0.0,0.16,0.0,4.12,0.0,-0.21,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,3.99,7.0,-1.62,-18.85,-7.46,-8.89,4.06,-7.88,15.32,25.51,-7.17,-1.57,-3.03,-2.33,-2.33,-1.29,-1.1,-0.94,-0.13,0.0,1.93,-0.38,0.18,0.0,0.9,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,1.75,1.69,-1.09,-0.9,-0.55,0.0,4.15,0.42,0.14,-0.3,-6.3,-0.06,0.0,-0.09,-0.09,-1.11,-0.92,-0.14,-0.14,-0.58,-0.38,0.0,0.4,-0.19,1.02,0.0,-0.2,0.0,0.0,0.82,0.0,0.0,0.38,0.43,0.0,0.43,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,-3.14,-0.41,-0.47,0.0,2.86,4.04,-0.71,-0.13,-0.27,0.31,-1.28,2.91,0.39,2.85,0.8,-0.43,0.0,-0.14,0.34,3.39,0.0,0.0,-0.19,0.45,0.55,-0.2,0.0,0.28,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,44.44,-6.78,12.81,-11.74,-3.65,0.25,-4.03,-8.3,-0.95,-1.57,-4.06,-1.42,-0.74,-1.63,-0.35,-0.74,-0.75,-0.57,0.0,-0.39,0.0,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.89,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-0.41,6.71,-1.81,-13.53,2.16,-0.2,0.94,-6.27,5.2,5.47,-4.75,0.0,0.46,-1.45,0.36,-0.14,-0.55,0.16,-0.38,0.77,0.44,-0.2,0.0,-0.0,0.0,0.0,0.27,0.35,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-3.96,-2.39,23.68,9.91,-2.52,0.66,-0.34,-1.98,-1.17,0.06,-2.61,-2.25,-1.02,0.55,0.0,0.0,-0.56,-0.38,0.0,-0.19,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
