eng_TAMsimp,V,AV,CV,_W_V,_W_SV,_W_AV,RV,SV,_W_OV,QV,OV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,IV,QOV,CQV,ACV,_W_RV,ISV,IAV,_W_AOV,_W_COV,_W_CSV,ASAV,_W_OSV,CASV,ISAV,RAV,RSV,CSOV,ROV,CCV,COSV,CAOV,OOV,CISV,IOV,COAV,ACAV,_W_OOV,_W_OQV,_W_IV,_W_ACV,ACSV,OSV,QSAV,RASV,CQAV,_W_ASAV,_W_QAV,ASOV,IISOAV,ARV,_W_QOV,_W_SOAV,AOAV,_W_ASOV,CAQV,_W_IAV,OASV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,7.04,9.25,5.87,15.85,23.78,26.37,8.43,21.83,39.16,36.99,38.04,40.35,68.28,29.92,73.97,115.78,332.88,156.65,147.94,166.44,532.6,78.32,332.88,147.94,380.43,443.83,380.43,665.75,332.88,266.3,887.67,665.75,332.88,665.75,1331.5,443.83,665.75,295.89,295.89,887.67,1331.5,1331.5,887.67,1331.5,1331.5,887.67,887.67,665.75,887.67,1331.5,inf,2663.0,2663.0,inf,2663.0,2663.0,inf,2663.0,1331.5,inf,1331.5,inf,2663.0,2663.0,inf,inf,inf,2663.0,inf,2663.0,inf,2663.0,inf,inf,2663.0,2663.0,inf,inf,inf,inf,2663.0,inf,inf
FUT,5.66,5.77,17.32,10.05,12.79,16.92,36.31,14.16,18.15,31.7,28.49,24.47,102.32,450.2,140.69,125.06,187.58,173.15,204.64,160.79,125.06,2251.0,173.15,250.11,562.75,562.75,2251.0,375.17,1125.5,562.75,375.17,2251.0,750.33,562.75,2251.0,2251.0,2251.0,1125.5,2251.0,2251.0,750.33,2251.0,750.33,2251.0,2251.0,2251.0,2251.0,inf,2251.0,inf,2251.0,inf,inf,2251.0,2251.0,inf,inf,2251.0,inf,2251.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2251.0,inf,inf,inf,inf,inf,inf,inf,inf,2251.0,inf,inf,inf
FUT ~ MOD shall,8.18,6.0,35.98,8.34,7.08,12.51,50.79,10.16,33.86,143.92,39.25,33.86,22.72,1727.0,43.18,107.94,863.5,575.67,132.85,575.67,287.83,inf,431.75,575.67,215.88,132.85,inf,287.83,431.75,863.5,inf,inf,inf,863.5,287.83,575.67,863.5,inf,inf,575.67,863.5,1727.0,1727.0,inf,863.5,1727.0,inf,inf,inf,inf,inf,863.5,1727.0,1727.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1727.0,inf,inf,inf,inf,inf,1727.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,4.06,4.5,504.0,10.72,72.0,10.29,168.0,168.0,7.75,inf,7.0,100.8,inf,inf,inf,inf,inf,inf,504.0,252.0,84.0,inf,252.0,504.0,168.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,504.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,4.43,5.73,14.9,10.16,19.43,9.93,16.56,18.62,22.35,inf,37.25,44.7,74.5,111.75,111.75,inf,inf,447.0,447.0,inf,inf,447.0,223.5,inf,149.0,inf,inf,inf,223.5,447.0,inf,inf,447.0,447.0,inf,447.0,inf,inf,inf,447.0,inf,inf,inf,inf,inf,inf,447.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,447.0,447.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,447.0,inf,inf,inf,inf,inf
FUT ~ PRES,9.0,8.12,11.19,9.86,9.41,24.35,20.7,9.63,27.6,59.14,24.35,18.82,59.14,31.85,51.75,414.0,207.0,414.0,138.0,51.75,414.0,414.0,inf,207.0,207.0,inf,inf,414.0,inf,inf,414.0,inf,inf,inf,inf,inf,inf,inf,inf,207.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,6.15,4.17,inf,12.07,9.66,13.52,338.0,21.12,10.24,inf,11.66,42.25,48.29,inf,67.6,338.0,inf,169.0,inf,112.67,169.0,inf,338.0,338.0,inf,338.0,338.0,338.0,inf,inf,inf,inf,inf,inf,inf,inf,169.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,10.89,2.97,294.0,32.67,16.33,7.54,11.76,12.25,15.47,inf,29.4,36.75,98.0,inf,73.5,inf,inf,inf,inf,inf,294.0,inf,294.0,294.0,98.0,294.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,294.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,7.69,29.89,11.7,9.61,33.62,38.43,10.35,67.25,67.25,4.34,inf,38.43,inf,89.67,inf,269.0,10.76,134.5,inf,67.25,inf,inf,134.5,inf,inf,inf,inf,inf,inf,inf,134.5,38.43,269.0,inf,134.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,134.5,inf,inf,269.0,inf,269.0,inf,269.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,269.0,inf,inf,inf,inf,inf,inf,inf,269.0,inf
MOD shall,4.56,6.64,24.33,21.9,16.85,21.9,inf,9.12,14.6,7.06,31.29,36.5,219.0,inf,54.75,73.0,inf,inf,73.0,inf,219.0,inf,inf,inf,inf,inf,219.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
