,yqtl,Ø,qtl,impv,wqtl,wayq,ptcp,infc,infa
PRES,1.18,1.41,1.18,0.32,0.74,0.48,1.35,0.45,0.9
FUT,1.06,0.82,1.0,0.97,1.19,0.94,1.52,0.89,0.75
FUT ~ MOD shall,0.96,1.01,0.97,0.4,2.9,0.32,1.06,0.72,0.0
IMPV,0.63,0.8,0.61,4.15,0.35,2.29,0.86,1.02,0.0
MOD let,0.92,0.71,0.62,3.5,0.08,1.91,0.65,1.26,0.0
IMPV ~ MOD shall,2.22,0.84,0.11,0.42,1.2,0.44,0.11,1.11,5.73
PAST,0.66,1.02,2.26,0.09,0.33,4.94,0.89,0.95,1.1
FUT ~ PRES,1.19,0.97,1.47,0.59,0.59,0.76,1.28,0.67,1.12
MOD may,1.08,0.55,0.28,3.43,1.19,0.62,0.52,0.96,2.58
MOD must ~ MOD shall,1.17,1.83,0.22,0.18,1.19,0.48,0.62,1.41,1.47
MOD is to ~ MOD shall,0.96,1.92,0.09,0.29,1.98,0.35,0.2,1.98,0.0
MOD can,0.78,1.51,1.45,0.65,0.48,0.94,1.78,0.78,0.0
MOD shall,0.74,1.04,0.68,0.34,1.0,2.28,0.83,5.14,13.54
FUT ~ MOD may,0.96,0.18,0.35,4.67,1.85,0.25,1.53,0.51,0.0
MOD shall ~ PRES,0.84,1.6,0.73,0.28,1.83,0.83,0.2,1.73,0.0
IMPV ~ MOD let,0.59,0.59,1.04,3.97,0.08,2.85,0.88,1.23,3.63
MOD would,1.51,0.5,2.11,0.08,0.25,1.26,1.62,1.93,0.0
MOD let ~ MOD may,1.68,0.63,0.52,2.46,0.0,0.8,0.46,0.64,0.0
PAST ~ PRES,0.94,1.64,2.52,0.09,0.0,0.74,0.53,0.74,0.0
PRES ~ PRES PART,1.2,0.92,0.84,0.56,1.3,0.65,1.63,0.88,0.0
PRES ~ PRES PERF,0.61,0.99,1.96,0.24,1.82,1.78,0.7,1.5,5.88
MOD should,0.45,1.98,0.59,1.74,0.14,1.57,1.5,3.25,0.0
TO INF,0.49,0.51,1.85,3.81,0.93,0.8,0.77,1.65,6.49
FUT ~ MOD lest,2.14,0.1,0.13,4.34,0.84,0.0,0.0,0.0,0.0
MOD can ~ PRES,1.22,0.86,2.07,0.61,0.49,0.28,1.76,0.0,0.0
MOD can ~ MOD may,0.63,0.75,0.28,7.7,0.51,0.6,0.0,0.0,0.0
MOD may ~ PRES,1.44,0.84,1.07,0.83,0.9,0.3,0.44,1.27,0.0
FUT ~ MOD can,1.32,1.3,1.27,0.16,0.17,0.95,1.9,0.0,0.0
IMPV ~ PRES,1.6,0.56,1.26,1.4,0.82,0.71,0.0,0.0,0.0
PRES PERF,0.79,0.4,3.22,0.96,1.05,1.48,0.0,1.47,8.74
MOD may ~ MOD shall,0.9,1.51,0.34,0.19,2.42,1.13,1.09,0.0,0.0
PRES PART,0.96,0.67,2.65,0.43,0.72,0.41,1.24,2.68,0.0
MOD may ~ TO INF,1.11,0.16,0.0,9.69,0.25,0.45,0.0,0.0,0.0
MOD can ~ MOD shall,1.44,0.34,1.98,1.27,0.51,1.42,0.66,0.0,0.0
FUT ~ MOD would,1.44,0.75,1.68,0.99,0.25,0.92,0.0,0.93,0.0
PRES ~ TO INF,0.87,0.77,0.67,1.6,1.42,0.46,2.14,1.95,0.0
MOD should ~ PRES,1.05,1.29,0.67,1.6,0.26,0.94,1.39,0.0,0.0
MOD could,0.3,1.84,2.28,0.26,0.0,3.5,4.18,0.0,0.0
MOD must,1.3,1.03,1.66,0.0,0.6,1.65,0.0,1.07,0.0
MOD shall ~ TO INF,0.75,0.54,1.1,0.89,3.03,0.0,0.0,6.41,0.0
IMPV ~ MOD may,0.6,0.61,0.58,2.71,1.1,1.97,0.0,5.62,0.0
PAST ~ PRES PERF,1.28,0.61,3.39,0.0,0.34,1.97,0.0,0.0,0.0
FUT ~ MOD let,0.94,0.63,1.67,1.86,0.73,1.31,0.0,1.31,0.0
MOD shall ~ MOD should,0.28,1.23,1.8,3.05,0.38,2.18,0.99,1.39,0.0
FUT ~ TO INF,1.54,0.24,1.39,0.72,1.21,1.4,0.0,2.89,0.0
MOD let ~ PRES,0.55,0.74,1.5,1.67,0.0,3.26,3.46,1.49,0.0
MOD would ~ PAST,0.3,2.89,0.33,0.0,2.96,2.35,0.0,1.49,0.0
MOD would ~ PRES,1.44,0.51,4.7,0.0,0.0,0.0,1.3,0.0,0.0
FUT ~ IMPV,0.86,1.46,0.0,2.75,0.0,2.91,0.0,0.0,0.0
MOD let ~ TO INF,1.44,1.04,0.0,3.07,0.54,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.72,1.11,2.21,0.0,1.19,3.39,0.0,0.0,0.0
MOD shall ~ PRES PART,1.08,1.11,0.47,1.1,2.67,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.38,3.2,2.5,0.58,0.63,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.38,3.2,0.52,0.0,0.0,2.39,1.66,4.94,0.0
FUT ~ PRES PART,1.3,0.95,0.52,0.0,2.13,1.13,1.66,0.0,0.0
FUT ~ PAST,0.44,0.47,2.89,0.0,4.73,0.0,1.87,2.61,0.0
MOD let ~ MOD shall,1.01,0.47,2.01,1.39,0.0,1.27,1.87,2.61,0.0
MOD lest ~ MOD may,4.33,0.51,0.0,0.69,0.0,0.0,1.99,0.0,0.0
PRES ~ PRES PROG,1.85,0.24,1.34,0.69,0.75,2.9,0.0,0.0,0.0
IMPV ~ MOD must,0.0,1.97,0.72,2.84,0.0,5.55,0.0,6.99,0.0
MOD let ~ MOD must,0.58,2.66,0.72,2.84,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.58,0.27,0.0,7.84,3.09,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.8,0.59,2.56,0.8,0.0,5.55,0.0,0.0,0.0
MOD shall ~ PAST,1.44,0.97,1.56,0.0,1.89,0.0,0.0,0.0,0.0
MOD might,0.64,0.3,2.81,0.0,0.94,6.11,0.0,3.49,0.0
