esv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD shall,1319,697,318,433,506,94,95,64,129,35,0
PRES,1203,330,423,312,227,316,133,100,96,26,16
FUT,921,453,260,305,279,316,257,75,49,33,0
MOD let,83,48,59,58,44,221,177,187,19,59,0
MOD may,174,74,71,45,23,29,258,43,20,52,0
PAST,166,89,71,47,43,98,37,23,14,9,1
IMPV,193,112,10,14,24,18,17,30,2,5,0
IMPV do not,253,124,8,2,5,2,0,0,3,0,0
MOD can,112,55,39,41,29,8,3,0,15,1,0
PRES do not,75,80,19,12,11,2,0,0,9,0,0
MOD would,73,22,9,28,10,26,21,3,5,3,0
MOD should,87,18,27,6,5,3,12,2,7,0,0
MOD lest,66,26,31,1,6,0,2,0,8,0,0
TO INF,43,22,2,2,2,17,45,0,1,1,0
PRES PERF,46,16,21,8,3,15,5,1,3,0,1
PRES PART,49,24,3,8,5,14,5,1,1,0,0
FUT question,59,5,10,3,0,9,1,1,0,0,0
PRES wh-question,45,9,6,1,2,7,3,0,1,0,0
MOD must,37,9,2,6,5,6,2,1,0,0,0
PRES question,36,7,10,5,2,3,2,0,0,0,0
MOD quest shall,30,2,9,8,1,3,2,0,0,0,0
MOD quest can,23,4,16,3,3,3,0,0,0,0,0
MOD could,26,10,5,2,1,2,3,0,2,0,0
MOD might,13,5,4,4,2,3,12,1,1,0,0
PAST did not,7,17,2,0,1,0,0,0,1,0,0
MOD is to,13,0,3,5,1,2,0,0,0,0,0
MOD quest should,4,2,6,5,0,0,1,1,0,0,0
FUT wh-question,9,7,1,0,1,1,0,0,0,0,0
HAB used to,6,2,5,0,2,1,0,0,1,0,0
PAST PERF,3,0,3,1,3,1,0,0,2,0,0
MOD was to,6,1,1,1,2,0,1,0,0,0,0
PRES do-support,4,2,0,0,1,1,0,0,1,0,0
MOD that be,1,1,2,0,1,0,1,0,2,0,0
MOD VB,3,1,2,0,1,0,0,1,0,0,0
PRES PROG,3,0,1,1,1,0,1,1,0,0,0
PAST PROG,1,0,1,0,4,0,0,0,0,0,0
MOD quest would,3,0,1,1,0,0,0,0,0,0,0
?VB,2,2,0,0,0,0,0,0,0,0,0
MOD,1,0,0,1,0,0,2,0,0,0,0
PRES PERF question,2,0,1,0,0,0,0,0,0,0,0
PRES shall,1,2,0,0,0,0,0,0,0,0,0
FUT PROG,0,0,0,1,2,0,0,0,0,0,0
PAST question,2,1,0,0,0,0,0,0,0,0,0
PRES PERF wh-question,3,0,0,0,0,0,0,0,0,0,0
FUT PERF,0,1,1,0,0,0,0,0,0,0,0
PRES do,0,1,0,0,1,0,0,0,0,0,0
MOD need not,1,0,1,0,0,0,0,0,0,0,0
MOD quest could,2,0,0,0,0,0,0,0,0,0,0
PAST wh-question,0,0,1,0,0,0,1,0,0,0,0
IMPV not,0,0,0,0,1,0,0,0,0,0,0
PRES can,0,0,1,0,0,0,0,0,0,0,0
JJ,0,0,0,0,1,0,0,0,0,0,0
PAST PROG keep,1,0,0,0,0,0,0,0,0,0,0
MOD that,0,0,0,0,0,0,1,0,0,0,0
MOD quest must,0,1,0,0,0,0,0,0,0,0,0
