clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
esv_TAM,,,,,,,,,,,,,
MOD shall,1668,1164,372,196,129,92,20,31,13,3,1,1,0
PRES,815,427,402,654,145,350,198,73,45,55,14,4,0
FUT,983,691,487,309,288,73,47,49,10,4,2,4,1
MOD let,175,99,432,9,236,0,3,0,0,0,0,1,0
MOD may,129,100,75,132,309,23,14,4,2,0,1,0,0
PAST,152,122,147,59,45,34,16,9,4,7,1,1,1
IMPV,197,127,68,9,22,0,2,0,0,0,0,0,0
IMPV do not,265,126,3,1,0,0,1,1,0,0,0,0,0
MOD can,117,80,6,39,4,31,14,8,2,2,0,0,0
PRES do not,59,77,0,28,0,16,22,4,0,0,0,2,0
MOD would,68,28,33,17,23,5,4,16,4,1,1,0,0
MOD should,48,19,4,43,10,16,9,14,0,2,2,0,0
MOD lest,5,35,0,93,2,0,5,0,0,0,0,0,0
TO INF,12,22,12,9,46,13,3,11,1,2,0,4,0
PRES PERF,22,19,15,39,4,12,3,1,2,1,1,0,0
PRES PART,44,26,14,6,4,8,4,1,0,2,1,0,0
FUT question,63,3,14,4,1,1,2,0,0,0,0,0,0
PRES wh-question,49,12,10,0,3,0,0,0,0,0,0,0,0
MOD must,31,13,7,8,2,5,0,1,0,1,0,0,0
PRES question,42,9,6,5,2,0,0,0,1,0,0,0,0
MOD quest shall,44,3,3,3,2,0,0,0,0,0,0,0,0
MOD quest can,33,6,3,9,0,0,1,0,0,0,0,0,0
MOD could,14,12,2,4,1,12,1,3,0,0,2,0,0
MOD might,8,4,1,10,11,0,4,2,1,2,1,1,0
PAST did not,7,17,0,1,0,2,1,0,0,0,0,0,0
MOD is to,7,0,4,1,0,6,0,6,0,0,0,0,0
MOD quest should,13,1,2,2,1,0,0,0,0,0,0,0,0
FUT wh-question,11,7,1,0,0,0,0,0,0,0,0,0,0
HAB used to,6,5,0,1,0,3,0,1,0,1,0,0,0
PAST PERF,2,4,1,1,0,2,1,2,0,0,0,0,0
MOD was to,4,3,0,0,1,4,0,0,0,0,0,0,0
PRES do-support,1,1,1,3,0,0,3,0,0,0,0,0,0
MOD that be,1,4,0,2,1,0,0,0,0,0,0,0,0
MOD VB,1,1,1,3,0,0,1,1,0,0,0,0,0
PRES PROG,2,1,1,2,1,1,0,0,0,0,0,0,0
PAST PROG,0,3,0,0,0,1,0,1,0,0,0,0,1
MOD quest would,5,0,0,0,0,0,0,0,0,0,0,0,0
?VB,2,2,0,0,0,0,0,0,0,0,0,0,0
MOD,2,0,0,0,2,0,0,0,0,0,0,0,0
PRES PERF question,3,0,0,0,0,0,0,0,0,0,0,0,0
PRES shall,0,2,0,0,0,1,0,0,0,0,0,0,0
FUT PROG,1,2,0,0,0,0,0,0,0,0,0,0,0
PAST question,2,1,0,0,0,0,0,0,0,0,0,0,0
PRES PERF wh-question,3,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF,0,1,0,1,0,0,0,0,0,0,0,0,0
PRES do,0,1,0,0,0,0,1,0,0,0,0,0,0
MOD need not,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest could,2,0,0,0,0,0,0,0,0,0,0,0,0
PAST wh-question,1,0,0,0,1,0,0,0,0,0,0,0,0
IMPV not,0,1,0,0,0,0,0,0,0,0,0,0,0
PRES can,0,0,0,1,0,0,0,0,0,0,0,0,0
JJ,0,1,0,0,0,0,0,0,0,0,0,0,0
PAST PROG keep,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD that,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD quest must,0,1,0,0,0,0,0,0,0,0,0,0,0
