clause_rela,cltype_simp,MOD shall,PRES,FUT,MOD let,MOD may,PAST,IMPV,IMPV do not,MOD can,PRES do not,MOD would,MOD should,MOD lest,TO INF,PRES PERF,PRES PART,FUT question,PRES wh-question,MOD must,PRES question,MOD quest shall,MOD quest can,MOD could,MOD might,PAST did not,MOD is to,MOD quest should,FUT wh-question,HAB used to,PAST PERF,MOD was to,PRES do-support,MOD that be,MOD VB,PRES PROG,PAST PROG,MOD quest would,?VB,MOD,PRES PERF question,PRES shall,FUT PROG,PAST question,PRES PERF wh-question,FUT PERF,PRES do,MOD need not,MOD quest could,PAST wh-question,IMPV not,PRES can,JJ,PAST PROG keep,MOD that,MOD quest must
Main,x,0.12,-0.08,-0.01,-0.04,-0.04,-0.02,0.02,0.04,0.0,-0.0,0.0,-0.0,-0.01,-0.01,-0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Main,Wx,0.14,-0.1,0.02,-0.04,-0.03,-0.0,0.01,0.02,0.01,0.01,-0.01,-0.01,0.0,-0.0,-0.0,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
Main,Ø,-0.08,-0.03,0.04,0.16,-0.02,0.03,0.0,-0.03,-0.02,-0.02,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,x,-0.15,0.19,-0.02,-0.07,0.03,-0.01,-0.03,-0.03,0.0,0.0,-0.0,0.02,0.05,-0.0,0.02,-0.0,-0.0,-0.01,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Main,W,-0.16,-0.11,0.03,0.13,0.2,-0.01,-0.01,-0.03,-0.02,-0.02,0.0,-0.0,-0.01,0.03,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
SubMod,x,-0.12,0.3,-0.1,-0.07,-0.02,0.01,-0.03,-0.03,0.02,0.01,-0.01,0.01,-0.01,0.01,0.01,0.0,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.0,0.01,-0.0,-0.0,0.0,0.0,0.01,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Wx,-0.2,0.32,-0.07,-0.06,-0.02,0.0,-0.02,-0.02,0.02,0.05,-0.0,0.01,0.0,-0.0,0.0,0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,x,-0.12,0.1,0.01,-0.06,-0.04,-0.0,-0.03,-0.02,0.01,0.0,0.05,0.05,-0.01,0.04,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.01,-0.0,0.02,-0.0,-0.0,0.0,0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Ø,-0.09,0.32,-0.08,-0.06,-0.03,0.01,-0.03,-0.03,0.0,-0.01,0.03,-0.01,-0.01,0.0,0.02,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,Ø,-0.21,0.45,-0.15,-0.06,-0.05,0.04,-0.03,-0.03,0.0,-0.01,-0.0,0.01,-0.01,0.02,0.0,0.02,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,W,-0.21,0.31,-0.12,-0.06,-0.02,-0.0,-0.03,-0.03,-0.02,-0.01,0.02,0.06,-0.01,-0.01,0.03,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.07,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,Ø,-0.19,0.01,0.03,-0.01,-0.05,0.02,-0.03,-0.03,-0.02,0.1,-0.01,-0.01,-0.01,0.21,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,Wx,-0.24,-0.21,0.14,-0.06,-0.05,0.29,-0.03,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
