eng_TAMsimp,0,1
PRES,0.0,-0.0
FUT,0.0,-0.0
FUT ~ MOD shall,-0.02,0.02
IMPV,-0.0,0.0
IMPV ~ MOD shall,0.0,-0.0
PAST,-0.0,0.0
FUT ~ PRES,0.01,-0.01
MOD let,0.01,-0.01
MOD must ~ MOD shall,-0.02,0.02
MOD may,-0.01,0.01
MOD is to ~ MOD shall,-0.02,0.02
MOD can,0.02,-0.02
MOD shall,0.01,-0.01
MOD shall ~ PRES,0.02,-0.02
FUT ~ MOD may,0.01,-0.01
MOD would,0.03,-0.03
IMPV ~ MOD let,0.02,-0.02
PAST ~ PRES,-0.03,0.03
MOD let ~ MOD may,0.02,-0.02
PRES ~ PRES PART,0.01,-0.01
PRES ~ PRES PERF,0.01,-0.01
MOD should,-0.01,0.01
FUT ~ MOD lest,0.02,-0.02
MOD can ~ PRES,0.03,-0.03
TO INF,0.0,-0.0
FUT ~ MOD can,0.01,-0.01
MOD may ~ PRES,0.01,-0.01
PRES PERF,0.01,-0.01
MOD may ~ MOD shall,0.01,-0.01
IMPV ~ PRES,0.03,-0.03
MOD can ~ MOD may,-0.03,0.03
PRES PART,0.03,-0.03
PRES ~ TO INF,0.03,-0.03
MOD should ~ PRES,0.01,-0.01
MOD can ~ MOD shall,0.01,-0.01
FUT ~ MOD would,-0.02,0.02
MOD must,0.0,-0.0
MOD shall ~ TO INF,0.0,-0.0
MOD could,0.03,-0.03
PAST ~ PRES PERF,-0.0,0.0
MOD may ~ TO INF,0.03,-0.03
MOD shall ~ MOD should,-0.0,0.0
IMPV ~ MOD may,-0.0,0.0
FUT ~ TO INF,0.03,-0.03
MOD would ~ PAST,0.03,-0.03
MOD would ~ PRES,0.03,-0.03
FUT ~ IMPV,0.03,-0.03
MOD let ~ PRES,-0.06,0.06
PAST ~ PRES PART,0.03,-0.03
FUT ~ MOD let,-0.02,0.02
MOD shall ~ PRES PART,0.03,-0.03
MOD should ~ TO INF,-0.02,0.02
MOD must ~ PRES,0.03,-0.03
FUT ~ PRES PART,0.03,-0.03
MOD let ~ TO INF,0.03,-0.03
MOD lest ~ MOD may,0.03,-0.03
PRES ~ PRES PROG,-0.03,0.03
MOD let ~ MOD shall,-0.1,0.1
FUT ~ PAST,0.03,-0.03
IMPV ~ MOD must,0.03,-0.03
MOD lest ~ PRES,0.03,-0.03
MOD shall ~ PAST,-0.04,0.04
MOD should ~ MOD would,0.03,-0.03
PAST ~ TO INF,-0.05,0.05
FUT ~ MOD should,0.03,-0.03
HAB used to ~ PAST,-0.14,0.14
MOD might,0.03,-0.03
MOD may ~ MOD must,0.03,-0.03
IMPV ~ MOD can,0.03,-0.03
MOD is to,-0.07,0.07
PAST ~ PAST PERF,0.03,-0.03
MOD let ~ MOD must,-0.08,0.08
MOD was to ~ PAST,-0.08,0.08
MOD is to ~ MOD let,0.03,-0.03
MOD can ~ MOD should,0.03,-0.03
MOD let ~ PAST,-0.1,0.1
MOD let ~ MOD should,0.03,-0.03
MOD can ~ MOD could,0.03,-0.03
IMPV ~ PAST,-0.26,0.26
MOD could ~ MOD would,0.03,-0.03
IMPV ~ MOD should,0.03,-0.03
FUT ~ MOD must,0.03,-0.03
MOD lest,0.03,-0.03
MOD should ~ MOD was to,-0.26,0.26
PAST PERF,-0.11,0.11
IMPV ~ PRES PART,0.03,-0.03
MOD might ~ MOD would,0.03,-0.03
IMPV ~ TO INF,0.03,-0.03
FUT ~ FUT going-to,0.03,-0.03
PRES PART ~ TO INF,0.03,-0.03
MOD lest ~ MOD might,-0.14,0.14
MOD could ~ PAST,0.03,-0.03
FUT ~ PRES PERF,0.03,-0.03
MOD can ~ TO INF,0.03,-0.03
MOD is to ~ MOD may,-0.14,0.14
MOD may ~ PRES PART,-0.14,0.14
MOD could ~ MOD might,0.03,-0.03
FUT going-to ~ MOD shall,0.03,-0.03
MOD shall ~ MOD would,-0.14,0.14
?VB ~ MOD let,0.03,-0.03
PAST ~ PAST PROG,0.03,-0.03
MOD can ~ PRES PART,0.03,-0.03
MOD VB ~ MOD may,-0.17,0.17
MOD is to ~ MOD must,0.03,-0.03
MOD might ~ TO INF,0.03,-0.03
MOD can ~ MOD let,0.03,-0.03
MOD lest ~ TO INF,0.03,-0.03
MOD would ~ TO INF,0.03,-0.03
MOD let ~ PRES PART,0.03,-0.03
MOD might ~ PAST,0.03,-0.03
MOD was to,0.03,-0.03
MOD might ~ MOD should,0.03,-0.03
MOD should ~ PAST,0.03,-0.03
MOD VB ~ PRES,0.03,-0.03
FUT ~ PRES PROG,-0.22,0.22
IMPV ~ MOD lest,0.03,-0.03
HAB used to,0.03,-0.03
PAST PERF ~ PRES,0.03,-0.03
MOD can ~ PAST,0.03,-0.03
FUT ~ MOD is to,0.03,-0.03
?VB ~ PAST,0.03,-0.03
PRES PERF ~ TO INF,0.03,-0.03
MOD could ~ MOD should,0.03,-0.03
?VB,0.03,-0.03
PAST PROG,0.03,-0.03
MOD shall ~ PRES PERF,-0.3,0.3
MOD can ~ MOD might,0.03,-0.03
MOD could ~ MOD must,0.03,-0.03
FUT PROG ~ PRES,0.03,-0.03
MOD lest ~ MOD would,0.03,-0.03
FUT ~ MOD that be,0.03,-0.03
MOD need not ~ MOD shall,0.03,-0.03
MOD may ~ PRES PERF,0.03,-0.03
MOD may ~ PAST,0.03,-0.03
MOD may ~ MOD might,0.03,-0.03
PRES PART ~ PRES PERF,0.03,-0.03
MOD is to ~ PRES PART,0.03,-0.03
MOD let ~ PRES PERF,0.03,-0.03
MOD let ~ MOD would,0.03,-0.03
IMPV ~ MOD is to,0.03,-0.03
MOD would ~ PRES PART,0.03,-0.03
?VB ~ MOD must,0.03,-0.03
?VB ~ MOD shall,0.03,-0.03
??VB ~ MOD let,0.03,-0.03
MOD must ~ MOD should,0.03,-0.03
MOD is to ~ PRES,0.03,-0.03
MOD can ~ MOD must,0.03,-0.03
MOD should ~ PRES PERF,0.03,-0.03
MOD that be,0.03,-0.03
MOD let ~ MOD that be,0.03,-0.03
PAST PROG ~ PRES,0.03,-0.03
MOD lest ~ MOD should,0.03,-0.03
MOD lest ~ MOD shall,-0.47,0.47
MOD is to ~ TO INF,0.03,-0.03
MOD need not ~ PRES,0.03,-0.03
MOD could ~ TO INF,0.03,-0.03
PRES PROG,0.03,-0.03
PRES ~ PRES do,0.03,-0.03
FUT PERF,0.03,-0.03
FUT ~ MOD,0.03,-0.03
MOD quest must,0.03,-0.03
MOD quest must ~ MOD shall,0.03,-0.03
PRES ~ PRES shall,0.03,-0.03
MOD should ~ PRES PART,0.03,-0.03
?VB ~ IMPV,0.03,-0.03
?VB ~ MOD lest,0.03,-0.03
MOD that be ~ TO INF,0.03,-0.03
MOD was to ~ PRES,0.03,-0.03
MOD would ~ PAST PERF,0.03,-0.03
MOD ~ PRES,-0.97,0.97
MOD would ~ PAST PROG,0.03,-0.03
FUT PERF ~ PRES,0.03,-0.03
FUT ~ FUT PROG,0.03,-0.03
PRES ~ PRES can,0.03,-0.03
PRES PERF ~ PRES PROG,0.03,-0.03
MOD must ~ TO INF,0.03,-0.03
FUT going-to ~ MOD is to,0.03,-0.03
PAST PROG ~ PRES PART,0.03,-0.03
FUT PROG ~ MOD shall,0.03,-0.03
PRES PART ~ PRES PROG,0.03,-0.03
FUT going-to ~ MOD lest,0.03,-0.03
MOD can ~ MOD lest,0.03,-0.03
MOD must ~ PRES shall,0.03,-0.03
MOD lest ~ MOD let,0.03,-0.03
MOD could ~ MOD shall,0.03,-0.03
MOD VB ~ TO INF,0.03,-0.03
MOD could ~ PAST PERF,0.03,-0.03
MOD VB ~ MOD shall,0.03,-0.03
MOD could ~ PRES PERF,0.03,-0.03
MOD VB ~ MOD can,0.03,-0.03
JJ ~ PRES,0.03,-0.03
IMPV ~ PRES PERF,0.03,-0.03
MOD is to ~ MOD lest,0.03,-0.03
MOD is to ~ MOD should,0.03,-0.03
MOD is to ~ PRES PROG,0.03,-0.03
IMPV ~ MOD need not,0.03,-0.03
MOD lest ~ MOD must,0.03,-0.03
MOD must ~ PRES PROG,0.03,-0.03
MOD let ~ MOD might,0.03,-0.03
IMPV ~ MOD,0.03,-0.03
MOD let ~ VB,0.03,-0.03
HAB used to ~ PRES PERF,0.03,-0.03
HAB used to ~ PRES,0.03,-0.03
MOD may ~ MOD should,0.03,-0.03
HAB used to ~ MOD would,0.03,-0.03
MOD may ~ MOD would,0.03,-0.03
MOD might ~ PRES PERF,0.03,-0.03
FUT ~ PRES shall,0.03,-0.03
MOD must ~ MOD quest must,0.03,-0.03
MOD must ~ PRES PART,0.03,-0.03
MOD lest ~ MOD that be,0.03,-0.03
