,0,1
PRES,8.64,-8.64
FUT,-10.04,10.04
FUT ~ MOD shall,-4.82,4.82
IMPV,4.67,-4.67
IMPV ~ MOD shall,-2.79,2.79
PAST,-0.16,0.16
FUT ~ PRES,1.31,-1.31
MOD let,0.36,-0.36
MOD must ~ MOD shall,-0.31,0.31
MOD may,-0.04,0.04
MOD is to ~ MOD shall,-5.91,5.91
MOD can,3.39,-3.39
MOD shall,-1.21,1.21
MOD shall ~ PRES,0.41,-0.41
FUT ~ MOD may,-0.0,0.0
MOD would,1.98,-1.98
IMPV ~ MOD let,0.38,-0.38
PAST ~ PRES,0.16,-0.16
MOD let ~ MOD may,1.67,-1.67
PRES ~ PRES PART,0.18,-0.18
PRES ~ PRES PERF,0.31,-0.31
MOD should,0.09,-0.09
FUT ~ MOD lest,1.66,-1.66
MOD can ~ PRES,1.66,-1.66
TO INF,0.35,-0.35
FUT ~ MOD can,0.23,-0.23
MOD may ~ PRES,0.23,-0.23
PRES PERF,0.57,-0.57
MOD may ~ MOD shall,-0.11,0.11
IMPV ~ PRES,0.11,-0.11
MOD can ~ MOD may,-0.65,0.65
PRES PART,0.92,-0.92
PRES ~ TO INF,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
MOD can ~ MOD shall,0.28,-0.28
FUT ~ MOD would,-0.5,0.5
MOD must,-1.12,1.12
MOD shall ~ TO INF,0.14,-0.14
MOD could,0.77,-0.77
PAST ~ PRES PERF,0.58,-0.58
MOD may ~ TO INF,0.58,-0.58
MOD shall ~ MOD should,-0.0,0.0
IMPV ~ MOD may,-0.15,0.15
FUT ~ TO INF,-0.16,0.16
MOD would ~ PAST,0.38,-0.38
MOD would ~ PRES,0.4,-0.4
FUT ~ IMPV,-0.0,0.0
MOD let ~ PRES,0.19,-0.19
PAST ~ PRES PART,0.2,-0.2
FUT ~ MOD let,0.2,-0.2
MOD shall ~ PRES PART,-0.47,0.47
MOD should ~ TO INF,0.2,-0.2
MOD must ~ PRES,0.21,-0.21
FUT ~ PRES PART,0.21,-0.21
MOD let ~ TO INF,0.21,-0.21
MOD lest ~ MOD may,0.21,-0.21
PRES ~ PRES PROG,0.21,-0.21
