niv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,2.57,5.71,8.97,7.3,6.88,12.02,12.31,38.07,31.42,66.13,inf
PRES,1.65,8.95,6.89,8.25,11.67,9.48,25.96,27.67,33.66,115.81,261.83
IMPV do not,0.59,2.27,36.71,112.14,78.2,263.0,791.0,inf,78.2,inf,inf
MOD may,4.95,14.47,8.04,9.71,15.19,18.89,4.04,5.5,42.5,12.13,inf
IMPV,1.25,2.93,53.75,26.38,16.76,15.42,20.9,18.32,108.5,45.93,656.0
MOD let,10.89,17.69,21.55,18.82,31.7,2.8,3.17,4.64,108.0,20.1,inf
PAST,2.61,5.87,7.45,12.89,11.76,4.39,14.24,33.72,51.08,124.0,624.0
MOD can,1.64,4.94,8.31,8.13,10.59,42.18,10.59,inf,28.69,157.33,inf
MOD must,1.21,3.24,22.63,12.61,7.8,36.42,43.9,148.67,39.82,448.0,inf
MOD is to,1.29,5.11,7.0,8.08,11.92,41.0,66.2,111.0,24.85,inf,inf
TO INF,2.33,5.65,29.6,17.0,24.5,10.77,2.29,152.0,101.0,75.5,305.0
PRES PART,1.56,4.32,14.57,17.17,13.53,7.72,12.62,108.0,30.14,217.0,inf
MOD would,1.63,6.79,18.82,8.08,18.82,8.08,8.48,42.6,35.33,71.67,inf
PRES do not,1.71,1.52,10.89,14.29,16.83,213.0,inf,inf,41.8,inf,inf
MOD shall,1.78,4.86,5.81,4.7,14.07,29.14,69.33,104.5,41.2,inf,inf
PRES PERF,1.57,12.55,4.14,23.83,36.25,8.31,12.55,20.29,23.83,inf,148.0
MOD should,1.2,6.94,4.11,16.88,27.6,46.67,14.89,70.5,27.6,inf,inf
FUT question,0.68,9.1,6.77,19.2,inf,11.62,49.5,49.5,inf,100.0,inf
PRES wh-question,0.79,4.77,14.0,inf,24.0,11.5,17.75,inf,74.0,74.0,inf
PRES question,1.08,4.36,4.77,17.75,36.5,24.0,36.5,inf,74.0,inf,inf
MOD could,1.18,5.55,8.0,17.0,13.4,35.0,13.4,inf,17.0,inf,inf
MOD quest can,1.09,23.0,2.69,15.0,47.0,11.0,23.0,inf,inf,inf,inf
MOD might,1.31,14.0,4.0,29.0,inf,14.0,14.0,14.0,29.0,29.0,inf
MOD quest should,1.31,14.0,2.0,14.0,29.0,inf,inf,29.0,29.0,inf,inf
PAST did not,4.0,0.76,29.0,inf,14.0,inf,inf,inf,6.5,inf,inf
MOD quest shall,0.37,25.0,25.0,12.0,inf,7.67,inf,inf,inf,inf,inf
PRES PROG,0.82,inf,9.0,19.0,5.67,19.0,19.0,inf,19.0,inf,inf
FUT wh-question,1.71,2.17,18.0,inf,8.5,18.0,8.5,inf,inf,inf,inf
MOD was to,1.0,17.0,5.0,17.0,5.0,inf,17.0,inf,inf,inf,inf
MOD quest would,0.89,inf,16.0,4.67,16.0,16.0,16.0,16.0,inf,inf,inf
PAST PERF,2.4,16.0,7.5,inf,3.25,7.5,16.0,inf,7.5,inf,inf
FUT going-to,0.6,inf,7.0,15.0,inf,inf,4.33,inf,inf,inf,inf
MOD lest,1.2,inf,1.75,inf,inf,inf,4.5,inf,inf,inf,inf
PAST PROG,3.5,3.5,8.0,8.0,2.0,inf,inf,inf,inf,inf,inf
HAB used to,1.25,8.0,8.0,8.0,3.5,inf,inf,inf,inf,inf,inf
MOD VB,5.0,5.0,5.0,5.0,2.0,inf,inf,inf,inf,inf,inf
PRES do-support,5.0,5.0,5.0,inf,inf,5.0,inf,inf,2.0,inf,inf
PRES PERF wh-question,0.2,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST wh-question,2.0,1.0,inf,inf,inf,inf,5.0,inf,inf,inf,inf
PRES PERF question,4.0,1.5,4.0,inf,inf,4.0,inf,inf,inf,inf,inf
MOD need not,inf,1.5,4.0,4.0,inf,4.0,inf,inf,inf,inf,inf
MOD quest must,inf,3.0,3.0,inf,3.0,3.0,inf,inf,inf,inf,inf
MOD that be,inf,inf,inf,inf,2.0,inf,2.0,inf,2.0,inf,inf
PAST question,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest could,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
FUT PROG,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
JJ,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
PAST do-support,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
VB,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
